model,project,version,min_rank
codeT5plus,Chart,1,587
codeT5plus,Chart,2,645
codeT5plus,Chart,3,348
codeT5plus,Chart,4,717
codeT5plus,Chart,5,184
codeT5plus,Chart,6,41
codeT5plus,Chart,7,215
codeT5plus,Chart,8,250
codeT5plus,Chart,9,241
codeT5plus,Chart,10,6
codeT5plus,Chart,11,100
codeT5plus,Chart,12,177
codeT5plus,Chart,13,223
codeT5plus,Chart,14,635
codeT5plus,Chart,15,293
codeT5plus,Chart,16,132
codeT5plus,Chart,17,243
codeT5plus,Chart,18,76
codeT5plus,Chart,19,824
codeT5plus,Chart,20,11
codeT5plus,Chart,21,18
codeT5plus,Chart,22,48
codeT5plus,Chart,24,40
codeT5plus,Chart,25,133
codeT5plus,Chart,26,388
codeT5plus,Closure,1,365
codeT5plus,Closure,2,275
codeT5plus,Closure,3,18
codeT5plus,Closure,4,36
codeT5plus,Closure,5,181
codeT5plus,Closure,6,19
codeT5plus,Closure,7,221
codeT5plus,Closure,8,57
codeT5plus,Closure,9,8
codeT5plus,Closure,10,1363
codeT5plus,Closure,11,102
codeT5plus,Closure,12,29
codeT5plus,Closure,13,31
codeT5plus,Closure,14,415
codeT5plus,Closure,15,233
codeT5plus,Closure,16,80
codeT5plus,Closure,17,963
codeT5plus,Closure,18,1302
codeT5plus,Closure,19,162
codeT5plus,Closure,20,459
codeT5plus,Closure,21,1
codeT5plus,Closure,22,1
codeT5plus,Closure,23,972
codeT5plus,Closure,24,197
codeT5plus,Closure,25,160
codeT5plus,Closure,26,53
codeT5plus,Closure,27,168
codeT5plus,Closure,28,21
codeT5plus,Closure,29,55
codeT5plus,Closure,30,49
codeT5plus,Closure,31,1106
codeT5plus,Closure,32,142
codeT5plus,Closure,33,373
codeT5plus,Closure,34,190
codeT5plus,Closure,35,18
codeT5plus,Closure,36,254
codeT5plus,Closure,37,364
codeT5plus,Closure,38,152
codeT5plus,Closure,39,194
codeT5plus,Closure,40,512
codeT5plus,Closure,41,258
codeT5plus,Closure,42,235
codeT5plus,Closure,43,52
codeT5plus,Closure,44,47
codeT5plus,Closure,45,313
codeT5plus,Closure,46,2
codeT5plus,Closure,47,97
codeT5plus,Closure,48,429
codeT5plus,Closure,49,71
codeT5plus,Closure,50,263
codeT5plus,Closure,51,146
codeT5plus,Closure,52,437
codeT5plus,Closure,53,151
codeT5plus,Closure,54,443
codeT5plus,Closure,55,184
codeT5plus,Closure,56,125
codeT5plus,Closure,57,112
codeT5plus,Closure,58,68
codeT5plus,Closure,59,1169
codeT5plus,Closure,60,1144
codeT5plus,Closure,61,727
codeT5plus,Closure,62,7
codeT5plus,Closure,63,7
codeT5plus,Closure,64,272
codeT5plus,Closure,65,789
codeT5plus,Closure,66,900
codeT5plus,Closure,67,132
codeT5plus,Closure,68,698
codeT5plus,Closure,69,1062
codeT5plus,Closure,70,1057
codeT5plus,Closure,71,225
codeT5plus,Closure,72,57
codeT5plus,Closure,73,846
codeT5plus,Closure,74,473
codeT5plus,Closure,75,514
codeT5plus,Closure,76,22
codeT5plus,Closure,77,184
codeT5plus,Closure,78,782
codeT5plus,Closure,79,338
codeT5plus,Closure,80,192
codeT5plus,Closure,81,196
codeT5plus,Closure,82,293
codeT5plus,Closure,83,350
codeT5plus,Closure,84,59
codeT5plus,Closure,85,14
codeT5plus,Closure,86,1265
codeT5plus,Closure,87,300
codeT5plus,Closure,88,190
codeT5plus,Closure,89,277
codeT5plus,Closure,90,557
codeT5plus,Closure,91,60
codeT5plus,Closure,92,363
codeT5plus,Closure,93,363
codeT5plus,Closure,94,277
codeT5plus,Closure,95,499
codeT5plus,Closure,96,363
codeT5plus,Closure,97,196
codeT5plus,Closure,98,77
codeT5plus,Closure,99,21
codeT5plus,Closure,100,42
codeT5plus,Closure,101,316
codeT5plus,Closure,102,16
codeT5plus,Closure,103,62
codeT5plus,Closure,104,215
codeT5plus,Closure,105,740
codeT5plus,Closure,106,465
codeT5plus,Closure,107,159
codeT5plus,Closure,108,204
codeT5plus,Closure,109,1420
codeT5plus,Closure,110,503
codeT5plus,Closure,111,94
codeT5plus,Closure,112,297
codeT5plus,Closure,113,356
codeT5plus,Closure,114,589
codeT5plus,Closure,115,107
codeT5plus,Closure,116,269
codeT5plus,Closure,117,110
codeT5plus,Closure,118,174
codeT5plus,Closure,119,576
codeT5plus,Closure,120,188
codeT5plus,Closure,121,90
codeT5plus,Closure,122,1164
codeT5plus,Closure,123,770
codeT5plus,Closure,124,72
codeT5plus,Closure,125,943
codeT5plus,Closure,126,27
codeT5plus,Closure,127,113
codeT5plus,Closure,128,351
codeT5plus,Closure,129,109
codeT5plus,Closure,130,384
codeT5plus,Closure,131,31
codeT5plus,Closure,132,280
codeT5plus,Closure,133,1367
codeT5plus,Lang,1,324
codeT5plus,Lang,2,46
codeT5plus,Lang,3,92
codeT5plus,Lang,4,24
codeT5plus,Lang,5,22
codeT5plus,Lang,6,46
codeT5plus,Lang,7,146
codeT5plus,Lang,8,97
codeT5plus,Lang,9,354
codeT5plus,Lang,10,32
codeT5plus,Lang,11,63
codeT5plus,Lang,12,45
codeT5plus,Lang,13,99
codeT5plus,Lang,14,1310
codeT5plus,Lang,15,194
codeT5plus,Lang,16,591
