model,project,version,min_rank
codebert,Chart,1,64
codebert,Chart,2,641
codebert,Chart,3,63
codebert,Chart,4,1400
codebert,Chart,5,72
codebert,Chart,6,29
codebert,Chart,7,39
codebert,Chart,8,193
codebert,Chart,9,125
codebert,Chart,10,6
codebert,Chart,11,1
codebert,Chart,12,72
codebert,Chart,13,180
codebert,Chart,14,1041
codebert,Chart,15,91
codebert,Chart,16,89
codebert,Chart,17,153
codebert,Chart,18,75
codebert,Chart,19,424
codebert,Chart,20,20
codebert,Chart,21,8
codebert,Chart,22,36
codebert,Chart,24,18
codebert,Chart,25,66
codebert,Chart,26,282
codebert,Closure,1,368
codebert,Closure,2,561
codebert,Closure,3,2
codebert,Closure,4,120
codebert,Closure,5,40
codebert,Closure,6,54
codebert,Closure,7,206
codebert,Closure,8,3
codebert,Closure,9,10
codebert,Closure,10,1426
codebert,Closure,11,990
codebert,Closure,12,92
codebert,Closure,13,60
codebert,Closure,14,489
codebert,Closure,15,62
codebert,Closure,16,92
codebert,Closure,17,251
codebert,Closure,18,770
codebert,Closure,19,155
codebert,Closure,20,241
codebert,Closure,21,6
codebert,Closure,22,20
codebert,Closure,23,291
codebert,Closure,24,49
codebert,Closure,25,288
codebert,Closure,26,13
codebert,Closure,27,195
codebert,Closure,29,25
codebert,Closure,30,133
codebert,Closure,31,527
codebert,Closure,32,31
codebert,Closure,33,109
codebert,Closure,34,69
codebert,Closure,35,105
codebert,Closure,36,96
codebert,Closure,37,6
codebert,Closure,38,17
codebert,Closure,39,102
codebert,Closure,40,135
codebert,Closure,41,67
codebert,Closure,42,414
codebert,Closure,43,799
codebert,Closure,44,79
codebert,Closure,45,62
codebert,Closure,46,2
codebert,Closure,47,82
codebert,Closure,48,215
codebert,Closure,49,27
codebert,Closure,50,102
codebert,Closure,51,17
codebert,Closure,52,330
codebert,Closure,53,95
codebert,Closure,54,109
codebert,Closure,55,224
codebert,Closure,56,33
codebert,Closure,57,39
codebert,Closure,58,114
codebert,Closure,59,753
codebert,Closure,60,560
codebert,Closure,61,115
codebert,Closure,62,37
codebert,Closure,63,64
codebert,Closure,64,57
codebert,Closure,65,230
codebert,Closure,66,435
codebert,Closure,67,147
codebert,Closure,68,639
codebert,Closure,69,613
codebert,Closure,70,367
codebert,Closure,71,6
codebert,Closure,72,167
codebert,Closure,73,24
codebert,Closure,74,858
codebert,Closure,75,658
codebert,Closure,76,1
codebert,Closure,77,33
codebert,Closure,78,556
codebert,Closure,79,94
codebert,Closure,80,86
codebert,Closure,81,72
codebert,Closure,82,41
codebert,Closure,83,2
codebert,Closure,84,318
codebert,Closure,85,14
codebert,Closure,86,770
codebert,Closure,87,271
codebert,Closure,88,74
codebert,Closure,89,70
codebert,Closure,90,25
codebert,Closure,91,22
codebert,Closure,92,5
codebert,Closure,93,5
codebert,Closure,94,848
codebert,Closure,95,10
codebert,Closure,96,96
codebert,Closure,97,382
codebert,Closure,98,111
codebert,Closure,99,9
codebert,Closure,100,23
codebert,Closure,101,232
codebert,Closure,102,193
codebert,Closure,103,17
codebert,Closure,104,42
codebert,Closure,105,1
codebert,Closure,106,284
codebert,Closure,107,587
codebert,Closure,108,50
codebert,Closure,109,849
codebert,Closure,110,100
codebert,Closure,111,112
codebert,Closure,112,113
codebert,Closure,113,54
codebert,Closure,114,533
codebert,Closure,115,78
codebert,Closure,116,132
codebert,Closure,117,60
codebert,Closure,118,72
codebert,Closure,119,22
codebert,Closure,120,281
codebert,Closure,121,160
codebert,Closure,122,208
codebert,Closure,123,515
codebert,Closure,124,25
codebert,Closure,125,378
codebert,Closure,126,29
codebert,Closure,127,29
codebert,Closure,128,64
codebert,Closure,129,23
codebert,Closure,130,156
codebert,Closure,131,37
codebert,Closure,132,158
codebert,Closure,133,243
codebert,Lang,1,147
codebert,Lang,2,20
codebert,Lang,3,29
codebert,Lang,4,18
codebert,Lang,5,8
codebert,Lang,6,27
codebert,Lang,7,29
codebert,Lang,8,15
codebert,Lang,9,353
codebert,Lang,10,10
codebert,Lang,11,2
codebert,Lang,12,1
codebert,Lang,13,23
codebert,Lang,14,1402
codebert,Lang,15,41
codebert,Lang,16,58
codebert,Lang,17,5
codebert,Lang,18,274
codebert,Lang,19,6
codebert,Lang,20,1072
codebert,Lang,21,268
codebert,Lang,22,179
codebert,Lang,23,198
codebert,Lang,24,333
codebert,Lang,25,14
codebert,Lang,26,86
codebert,Lang,27,170
codebert,Lang,28,22
codebert,Lang,29,12
codebert,Lang,30,513
codebert,Lang,31,560
codebert,Lang,32,110
codebert,Lang,33,158
codebert,Lang,34,313
codebert,Lang,35,377
codebert,Lang,36,40
codebert,Lang,37,722
codebert,Lang,38,153
codebert,Lang,39,856
codebert,Lang,40,1274
