model,project,version,min_rank
deepseekcoder,Chart,1,402
deepseekcoder,Chart,2,937
deepseekcoder,Chart,3,482
deepseekcoder,Chart,4,2334
deepseekcoder,Chart,5,253
deepseekcoder,Chart,6,33
deepseekcoder,Chart,7,213
deepseekcoder,Chart,8,242
deepseekcoder,Chart,9,242
deepseekcoder,Chart,10,6
deepseekcoder,Chart,11,242
deepseekcoder,Chart,12,183
deepseekcoder,Chart,13,231
deepseekcoder,Chart,14,1203
deepseekcoder,Chart,15,293
deepseekcoder,Chart,16,308
deepseekcoder,Chart,17,441
deepseekcoder,Chart,18,49
deepseekcoder,Chart,19,1092
deepseekcoder,Chart,20,36
deepseekcoder,Chart,21,34
deepseekcoder,Chart,22,109
deepseekcoder,Chart,24,45
deepseekcoder,Chart,25,171
deepseekcoder,Chart,26,409
deepseekcoder,Closure,1,374
deepseekcoder,Closure,2,1081
deepseekcoder,Closure,3,122
deepseekcoder,Closure,4,170
deepseekcoder,Closure,5,95
deepseekcoder,Closure,6,137
deepseekcoder,Closure,7,439
deepseekcoder,Closure,8,25
deepseekcoder,Closure,9,42
deepseekcoder,Closure,10,1930
deepseekcoder,Closure,11,95
deepseekcoder,Closure,12,61
deepseekcoder,Closure,13,87
deepseekcoder,Closure,14,673
deepseekcoder,Closure,15,237
deepseekcoder,Closure,16,112
deepseekcoder,Closure,17,816
deepseekcoder,Closure,18,1528
deepseekcoder,Closure,19,91
deepseekcoder,Closure,20,491
deepseekcoder,Closure,21,6
deepseekcoder,Closure,22,2
deepseekcoder,Closure,23,979
deepseekcoder,Closure,24,113
deepseekcoder,Closure,25,28
deepseekcoder,Closure,26,83
deepseekcoder,Closure,27,340
deepseekcoder,Closure,28,11
deepseekcoder,Closure,29,54
deepseekcoder,Closure,30,88
deepseekcoder,Closure,31,1004
deepseekcoder,Closure,32,371
deepseekcoder,Closure,33,267
deepseekcoder,Closure,34,642
deepseekcoder,Closure,35,21
deepseekcoder,Closure,36,196
deepseekcoder,Closure,37,440
deepseekcoder,Closure,38,143
deepseekcoder,Closure,39,176
deepseekcoder,Closure,40,481
deepseekcoder,Closure,41,370
deepseekcoder,Closure,42,248
deepseekcoder,Closure,43,342
deepseekcoder,Closure,44,105
deepseekcoder,Closure,45,406
deepseekcoder,Closure,46,15
deepseekcoder,Closure,47,56
deepseekcoder,Closure,48,536
deepseekcoder,Closure,49,110
deepseekcoder,Closure,50,293
deepseekcoder,Closure,51,115
deepseekcoder,Closure,52,286
deepseekcoder,Closure,53,223
deepseekcoder,Closure,54,317
deepseekcoder,Closure,55,175
deepseekcoder,Closure,56,113
deepseekcoder,Closure,57,143
deepseekcoder,Closure,58,179
deepseekcoder,Closure,59,971
deepseekcoder,Closure,60,639
deepseekcoder,Closure,61,825
deepseekcoder,Closure,62,51
deepseekcoder,Closure,63,51
deepseekcoder,Closure,64,541
deepseekcoder,Closure,65,789
deepseekcoder,Closure,66,278
deepseekcoder,Closure,67,168
deepseekcoder,Closure,68,632
deepseekcoder,Closure,69,1207
deepseekcoder,Closure,70,417
deepseekcoder,Closure,71,219
deepseekcoder,Closure,72,81
deepseekcoder,Closure,73,682
deepseekcoder,Closure,74,775
deepseekcoder,Closure,75,807
deepseekcoder,Closure,76,39
deepseekcoder,Closure,77,72
deepseekcoder,Closure,78,1192
deepseekcoder,Closure,79,160
deepseekcoder,Closure,80,258
deepseekcoder,Closure,81,357
deepseekcoder,Closure,82,385
deepseekcoder,Closure,83,313
deepseekcoder,Closure,84,159
deepseekcoder,Closure,85,6
deepseekcoder,Closure,86,404
deepseekcoder,Closure,87,367
deepseekcoder,Closure,88,112
deepseekcoder,Closure,89,127
deepseekcoder,Closure,90,434
deepseekcoder,Closure,91,79
deepseekcoder,Closure,92,411
deepseekcoder,Closure,93,411
deepseekcoder,Closure,94,356
deepseekcoder,Closure,95,503
deepseekcoder,Closure,96,321
deepseekcoder,Closure,97,624
deepseekcoder,Closure,98,118
deepseekcoder,Closure,99,23
deepseekcoder,Closure,100,28
deepseekcoder,Closure,101,230
deepseekcoder,Closure,102,237
deepseekcoder,Closure,103,181
deepseekcoder,Closure,104,161
deepseekcoder,Closure,105,552
deepseekcoder,Closure,106,301
deepseekcoder,Closure,107,627
deepseekcoder,Closure,108,150
deepseekcoder,Closure,109,1440
deepseekcoder,Closure,110,596
deepseekcoder,Closure,111,72
deepseekcoder,Closure,112,677
deepseekcoder,Closure,113,381
deepseekcoder,Closure,114,1032
deepseekcoder,Closure,115,208
deepseekcoder,Closure,116,297
deepseekcoder,Closure,117,149
deepseekcoder,Closure,118,372
deepseekcoder,Closure,119,671
deepseekcoder,Closure,120,59
deepseekcoder,Closure,121,169
deepseekcoder,Closure,122,1151
deepseekcoder,Closure,123,628
deepseekcoder,Closure,124,55
deepseekcoder,Closure,125,501
deepseekcoder,Closure,126,23
deepseekcoder,Closure,127,95
deepseekcoder,Closure,128,483
deepseekcoder,Closure,129,89
deepseekcoder,Closure,130,382
deepseekcoder,Closure,131,3
deepseekcoder,Closure,132,562
deepseekcoder,Closure,133,410
deepseekcoder,Lang,1,538
deepseekcoder,Lang,2,78
deepseekcoder,Lang,3,132
deepseekcoder,Lang,4,32
deepseekcoder,Lang,5,46
deepseekcoder,Lang,6,44
deepseekcoder,Lang,7,123
deepseekcoder,Lang,8,335
deepseekcoder,Lang,9,364
deepseekcoder,Lang,10,32
deepseekcoder,Lang,11,68
deepseekcoder,Lang,12,56
deepseekcoder,Lang,13,93
deepseekcoder,Lang,14,1732
deepseekcoder,Lang,15,288
deepseekcoder,Lang,16,618
deepseekcoder,Lang,17,6
deepseekcoder,Lang,18,189
deepseekcoder,Lang,19,18
deepseekcoder,Lang,20,2094
deepseekcoder,Lang,21,520
deepseekcoder,Lang,22,383
deepseekcoder,Lang,23,136
deepseekcoder,Lang,24,417
deepseekcoder,Lang,25,28
deepseekcoder,Lang,26,618
deepseekcoder,Lang,27,446
deepseekcoder,Lang,28,20
deepseekcoder,Lang,29,87
deepseekcoder,Lang,30,674
deepseekcoder,Lang,31,786
deepseekcoder,Lang,32,4
deepseekcoder,Lang,33,385
deepseekcoder,Lang,34,392
deepseekcoder,Lang,35,822
deepseekcoder,Lang,36,160
deepseekcoder,Lang,37,657
deepseekcoder,Lang,38,669
deepseekcoder,Lang,39,1596
deepseekcoder,Lang,40,1553
deepseekcoder,Lang,41,172
deepseekcoder,Lang,42,224
deepseekcoder,Lang,43,212
deepseekcoder,Lang,44,284
deepseekcoder,Lang,45,99
deepseekcoder,Lang,46,236
deepseekcoder,Lang,47,793
deepseekcoder,Lang,48,323
deepseekcoder,Lang,49,396
deepseekcoder,Lang,50,54
deepseekcoder,Lang,51,128
deepseekcoder,Lang,52,56
deepseekcoder,Lang,53,111
deepseekcoder,Lang,54,59
deepseekcoder,Lang,55,54
deepseekcoder,Lang,56,460
deepseekcoder,Lang,57,65
deepseekcoder,Lang,58,346
deepseekcoder,Lang,59,1020
deepseekcoder,Lang,60,1014
deepseekcoder,Lang,61,988
deepseekcoder,Lang,62,121
deepseekcoder,Lang,63,50
deepseekcoder,Lang,64,27
deepseekcoder,Lang,65,143
deepseekcoder,Math,1,354
deepseekcoder,Math,2,127
deepseekcoder,Math,3,456
deepseekcoder,Math,4,76
deepseekcoder,Math,5,138
deepseekcoder,Math,6,11
deepseekcoder,Math,7,29
deepseekcoder,Math,8,44
deepseekcoder,Math,9,65
deepseekcoder,Math,10,806
deepseekcoder,Math,11,74
deepseekcoder,Math,12,18
deepseekcoder,Math,13,87
deepseekcoder,Math,14,40
deepseekcoder,Math,15,1947
deepseekcoder,Math,16,1069
deepseekcoder,Math,17,710
deepseekcoder,Math,18,500
deepseekcoder,Math,19,484
deepseekcoder,Math,20,51
deepseekcoder,Math,21,32
deepseekcoder,Math,22,27
deepseekcoder,Math,23,13
deepseekcoder,Math,24,42
deepseekcoder,Math,25,105
deepseekcoder,Math,26,168
deepseekcoder,Math,27,160
deepseekcoder,Math,28,51
deepseekcoder,Math,29,147
deepseekcoder,Math,30,48
deepseekcoder,Math,31,13
deepseekcoder,Math,32,121
deepseekcoder,Math,33,266
deepseekcoder,Math,34,34
deepseekcoder,Math,35,26
deepseekcoder,Math,36,130
deepseekcoder,Math,37,180
deepseekcoder,Math,38,903
deepseekcoder,Math,39,67
deepseekcoder,Math,40,172
deepseekcoder,Math,41,148
deepseekcoder,Math,42,179
deepseekcoder,Math,43,159
deepseekcoder,Math,44,44
deepseekcoder,Math,45,67
deepseekcoder,Math,46,260
deepseekcoder,Math,47,143
deepseekcoder,Math,48,40
deepseekcoder,Math,49,409
deepseekcoder,Math,50,13
deepseekcoder,Math,51,31
deepseekcoder,Math,52,121
deepseekcoder,Math,53,227
deepseekcoder,Math,54,170
deepseekcoder,Math,55,197
deepseekcoder,Math,56,11
deepseekcoder,Math,57,52
deepseekcoder,Math,58,124
deepseekcoder,Math,59,1825
deepseekcoder,Math,60,21
deepseekcoder,Math,61,68
deepseekcoder,Math,62,63
deepseekcoder,Math,63,817
deepseekcoder,Math,64,64
deepseekcoder,Math,65,45
deepseekcoder,Math,66,23
deepseekcoder,Math,67,62
deepseekcoder,Math,68,198
deepseekcoder,Math,69,110
deepseekcoder,Math,70,22
deepseekcoder,Math,71,34
deepseekcoder,Math,72,109
deepseekcoder,Math,73,152
deepseekcoder,Math,74,39
deepseekcoder,Math,75,210
deepseekcoder,Math,76,8
deepseekcoder,Math,77,26
deepseekcoder,Math,78,79
deepseekcoder,Math,79,325
deepseekcoder,Math,80,648
deepseekcoder,Math,81,405
deepseekcoder,Math,82,88
