model,project,version,min_rank
incoder,Chart,1,268
incoder,Chart,2,848
incoder,Chart,3,472
incoder,Chart,4,2253
incoder,Chart,5,191
incoder,Chart,6,25
incoder,Chart,7,168
incoder,Chart,8,221
incoder,Chart,9,192
incoder,Chart,10,6
incoder,Chart,11,241
incoder,Chart,12,190
incoder,Chart,13,164
incoder,Chart,14,1605
incoder,Chart,15,371
incoder,Chart,16,272
incoder,Chart,17,368
incoder,Chart,18,67
incoder,Chart,19,924
incoder,Chart,20,34
incoder,Chart,21,52
incoder,Chart,22,74
incoder,Chart,24,40
incoder,Chart,25,237
incoder,Chart,26,551
incoder,Closure,1,527
incoder,Closure,2,951
incoder,Closure,3,77
incoder,Closure,4,89
incoder,Closure,5,108
incoder,Closure,6,59
incoder,Closure,7,377
incoder,Closure,8,25
incoder,Closure,9,37
incoder,Closure,10,1843
incoder,Closure,11,91
incoder,Closure,12,27
incoder,Closure,13,34
incoder,Closure,14,666
incoder,Closure,15,172
incoder,Closure,16,149
incoder,Closure,17,940
incoder,Closure,18,1245
incoder,Closure,19,194
incoder,Closure,20,274
incoder,Closure,21,1
incoder,Closure,22,13
incoder,Closure,23,628
incoder,Closure,24,92
incoder,Closure,25,2
incoder,Closure,26,112
incoder,Closure,27,347
incoder,Closure,28,11
incoder,Closure,29,60
incoder,Closure,30,59
incoder,Closure,31,768
incoder,Closure,32,487
incoder,Closure,33,267
incoder,Closure,34,535
incoder,Closure,35,124
incoder,Closure,36,146
incoder,Closure,37,323
incoder,Closure,38,86
incoder,Closure,39,180
incoder,Closure,40,330
incoder,Closure,41,329
incoder,Closure,42,226
incoder,Closure,43,271
incoder,Closure,44,128
incoder,Closure,45,382
incoder,Closure,46,24
incoder,Closure,47,61
incoder,Closure,48,410
incoder,Closure,49,12
incoder,Closure,50,278
incoder,Closure,51,80
incoder,Closure,52,200
incoder,Closure,53,191
incoder,Closure,54,345
incoder,Closure,55,166
incoder,Closure,56,41
incoder,Closure,57,88
incoder,Closure,58,161
incoder,Closure,59,1051
incoder,Closure,60,593
incoder,Closure,61,1114
incoder,Closure,62,49
incoder,Closure,63,49
incoder,Closure,64,578
incoder,Closure,65,845
incoder,Closure,66,151
incoder,Closure,67,243
incoder,Closure,68,889
incoder,Closure,69,1157
incoder,Closure,70,509
incoder,Closure,71,226
incoder,Closure,72,82
incoder,Closure,73,604
incoder,Closure,74,1023
incoder,Closure,75,1248
incoder,Closure,76,60
incoder,Closure,77,107
incoder,Closure,78,1193
incoder,Closure,79,128
incoder,Closure,80,51
incoder,Closure,81,199
incoder,Closure,82,410
incoder,Closure,83,244
incoder,Closure,84,145
incoder,Closure,85,11
incoder,Closure,86,59
incoder,Closure,87,391
incoder,Closure,88,125
incoder,Closure,89,160
incoder,Closure,90,286
incoder,Closure,91,58
incoder,Closure,92,412
