model,project,version,min_rank
qwen,Chart,1,479
qwen,Chart,2,917
qwen,Chart,3,305
qwen,Chart,4,1994
qwen,Chart,5,278
qwen,Chart,6,26
qwen,Chart,7,194
qwen,Chart,8,196
qwen,Chart,9,291
qwen,Chart,10,8
qwen,Chart,11,185
qwen,Chart,12,244
qwen,Chart,13,182
qwen,Chart,14,959
qwen,Chart,15,306
qwen,Chart,16,222
qwen,Chart,17,363
qwen,Chart,18,58
qwen,Chart,19,846
qwen,Chart,20,33
qwen,Chart,21,17
qwen,Chart,22,86
qwen,Chart,24,47
qwen,Chart,25,162
qwen,Chart,26,455
qwen,Closure,1,309
qwen,Closure,2,1102
qwen,Closure,3,109
qwen,Closure,4,144
qwen,Closure,5,101
qwen,Closure,6,120
qwen,Closure,7,432
qwen,Closure,8,28
qwen,Closure,9,45
qwen,Closure,10,1617
qwen,Closure,11,11
qwen,Closure,12,58
qwen,Closure,13,61
qwen,Closure,14,677
qwen,Closure,15,254
qwen,Closure,16,122
qwen,Closure,17,648
qwen,Closure,18,1558
qwen,Closure,19,79
qwen,Closure,20,535
qwen,Closure,21,6
qwen,Closure,22,15
qwen,Closure,23,1126
qwen,Closure,24,125
qwen,Closure,25,58
qwen,Closure,26,97
qwen,Closure,27,384
qwen,Closure,28,13
qwen,Closure,29,43
qwen,Closure,30,87
qwen,Closure,31,1135
qwen,Closure,32,362
qwen,Closure,33,318
qwen,Closure,34,711
qwen,Closure,35,33
qwen,Closure,36,171
qwen,Closure,37,254
qwen,Closure,38,143
qwen,Closure,39,123
qwen,Closure,40,578
qwen,Closure,41,430
qwen,Closure,42,183
qwen,Closure,43,333
qwen,Closure,44,106
qwen,Closure,45,472
qwen,Closure,46,4
qwen,Closure,47,51
qwen,Closure,48,531
qwen,Closure,49,107
qwen,Closure,50,290
qwen,Closure,51,137
qwen,Closure,52,287
qwen,Closure,53,178
qwen,Closure,54,394
qwen,Closure,55,177
qwen,Closure,56,109
qwen,Closure,57,139
qwen,Closure,58,162
qwen,Closure,59,1105
qwen,Closure,60,713
qwen,Closure,61,1279
qwen,Closure,62,50
qwen,Closure,63,50
qwen,Closure,64,431
qwen,Closure,65,794
qwen,Closure,66,272
qwen,Closure,67,213
qwen,Closure,68,407
qwen,Closure,69,1206
qwen,Closure,70,667
qwen,Closure,71,281
qwen,Closure,72,53
qwen,Closure,73,815
qwen,Closure,74,643
qwen,Closure,75,1214
qwen,Closure,76,25
qwen,Closure,77,128
qwen,Closure,78,1196
qwen,Closure,79,92
qwen,Closure,80,248
qwen,Closure,81,496
qwen,Closure,82,412
qwen,Closure,83,287
qwen,Closure,84,157
qwen,Closure,85,24
qwen,Closure,86,434
qwen,Closure,87,443
qwen,Closure,88,90
qwen,Closure,89,152
qwen,Closure,90,412
qwen,Closure,91,78
qwen,Closure,92,353
qwen,Closure,93,353
qwen,Closure,94,381
qwen,Closure,95,436
qwen,Closure,96,319
qwen,Closure,97,797
qwen,Closure,98,87
qwen,Closure,99,24
qwen,Closure,100,28
qwen,Closure,101,235
qwen,Closure,102,183
qwen,Closure,103,194
qwen,Closure,104,174
qwen,Closure,105,639
qwen,Closure,106,448
qwen,Closure,107,492
qwen,Closure,108,143
qwen,Closure,109,924
qwen,Closure,110,700
qwen,Closure,111,58
qwen,Closure,112,646
qwen,Closure,113,317
qwen,Closure,114,1014
qwen,Closure,115,183
qwen,Closure,116,343
qwen,Closure,117,120
qwen,Closure,118,405
qwen,Closure,119,671
qwen,Closure,120,3
qwen,Closure,121,153
qwen,Closure,122,1171
qwen,Closure,123,548
qwen,Closure,124,53
qwen,Closure,125,772
qwen,Closure,126,15
qwen,Closure,127,82
qwen,Closure,128,393
qwen,Closure,129,96
qwen,Closure,130,392
qwen,Closure,131,7
qwen,Closure,132,518
qwen,Closure,133,393
qwen,Lang,1,519
qwen,Lang,2,73
qwen,Lang,3,168
qwen,Lang,4,31
qwen,Lang,5,50
qwen,Lang,6,43
qwen,Lang,7,85
qwen,Lang,8,292
qwen,Lang,9,308
qwen,Lang,10,29
qwen,Lang,11,77
qwen,Lang,12,73
qwen,Lang,13,92
qwen,Lang,14,1668
qwen,Lang,15,262
qwen,Lang,16,602
qwen,Lang,17,7
qwen,Lang,18,194
qwen,Lang,19,15
qwen,Lang,20,2134
qwen,Lang,21,547
qwen,Lang,22,426
qwen,Lang,23,183
qwen,Lang,24,466
qwen,Lang,25,45
qwen,Lang,26,524
qwen,Lang,27,359
qwen,Lang,28,22
qwen,Lang,29,87
qwen,Lang,30,444
qwen,Lang,31,1274
qwen,Lang,32,11
qwen,Lang,33,353
qwen,Lang,34,292
qwen,Lang,35,1020
qwen,Lang,36,244
