adiff = -adiff;#702,19.007745190670615
this.nans    = nans;#544,18.78864017285799
mantissa &= 0x000fffffffffffffL;#283,18.51875255584717
nans = xdfp.nans;#312,18.486650731828476
break;#1281,18.39361106024848
this.sign    = sign;#542,18.34980852463666
nans  = d.nans;#323,18.310457454008215
this.exp     = 0;#543,18.303295930226643
exp  = xdfp.exp;#311,18.27023349088781
exp   = d.exp;#322,18.25509536266327
x = -x;#227,18.20564864663517
final int r = rl*RADIX + result.mant[i];#1830,18.204463768005372
x = -x;#2379,18.19971252890194
long mantissa = bits & 0x000fffffffffffffL;#266,18.113599569901176
significantDigits--;#471,18.090093688964842
break;#1996,18.087926652696396
break;#1759,18.075848473442925
break;#436,18.024705357021755
tempDfp = tempDfp.multiply(2);#2333,18.02098329250629
sign = xdfp.sign;#310,18.019199788570404
a.nans == FINITE && b.nans == FINITE) {#861,18.00287759715113
rh = r / RADIX;#1154,17.9978921789872
break;#495,17.99624358283149
break;#1479,17.946279419793022
sciexp = -sciexp;#390,17.934264144897462
inc = sign == 1 && n != 0;  // round ceil#1359,17.929459541074692
exp--;#671,17.921395388516512
int adiff = diff;#700,17.91405153274536
xdfp = xdfp.negate();#306,17.913661500682
long mask = 0xffffffffc0000000L;#2392,17.912160271092464
inc = sign == -1 && n != 0;  // round floor#1364,17.89973778878489
sign  = d.sign;#321,17.8928071975708
y = y.multiply(newInstance(4503599627370496l)).rint();#2354,17.883856510293896
result = dotrap(excp, DIVIDE_TRAP, result, result);#1847,17.882584879475257
return -2147483648;#1059,17.88112497329712
rh = r / RADIX;#1259,17.880428715756064
boolean inc = false;#1332,17.88018850179819
break;#441,17.87251959906684
result.sign = sign;#947,17.859829478793674
char rawdigits[]    = new char[mant.length * 4];#1976,17.85463047027588
(striped[q+2] - '0') * 10   +#518,17.853753603421726
result = -result;#1067,17.836179060094498
break;#1718,17.835884974553036
break;#1033,17.834509416060015
d = d.multiply(100);#1128,17.827716387235203
sign = -1;#226,17.82532837811638
result = dotrap(excp, ADD_TRAP, x, result);#1304,17.81657679327603
break;#409,17.81372684902615
x /= RADIX;#236,17.813715087042915
(striped[q+1] - '0') * 100  +#517,17.805224393543444
final int rh = r / divisor;#1840,17.792899521914396
x.exp = this.exp / 2;#1900,17.790592887184836
bextradigit = 0;#1287,17.782646934191387
rl = r - rh * divisor;#1832,17.779168046039082
final int excp = result.round(aextradigit + bextradigit);#1302,17.778522392799115
break;#1942,17.76822461022271
(striped[q+3] - '0');#519,17.767821339999927
d.exp = e / 4 + 1;#1116,17.766801834106445
++x;#221,17.75257657368978
sign = -1;#399,17.752134435317096
if (nans != FINITE || x.nans != FINITE) {#1423,17.751013069152833
d = d.multiply(1000);#1131,17.747995083148663
d = d.multiply(10);#1125,17.7464820421659
final int r = rl * RADIX;        // compute the next digit and put it in#1839,17.743795997218083
inc = false;#1335,17.742609977722168
final int rh = r / divisor;#1831,17.73514292456887
exp = (decimalPos+sciexp) / rsize;#524,17.72637607740319
rl = r - rh * divisor;#1841,17.708327334860098
d.exp = e + 1;#1088,17.702033042907715
dx = dx.divide(2);#1929,17.68505804879325
char outputbuffer[] = new char[mant.length * 4 + 20];#1977,17.68443504333496
outputbuffer[q++] = rawdigits[p++];#2013,17.683964029947916
of the zero number equal to the other one.  This avoids an alignment#1227,17.680808717554267
p--;#498,17.680633290608725
break;#473,17.678625280206855
outputbuffer[q++] = rawdigits[p++];#2009,17.677566088162937
inc = n > 5000;  // round half down#1347,17.67308595445421
break;#423,17.67139646742079
if (nans != FINITE || x.nans != FINITE) {#1176,17.66652770996094
return nans;#2211,17.662314573923748
decimalPos = significantDigits;#446,17.651378507199496
rh = r / RADIX;#1552,17.650112854807002
break;#1123,17.649673144022625
inc = n >= 5000;  // round half up#1343,17.646491474575466
break;#1936,17.642125659518772
return this;#1523,17.63863141913163
lostdigit = result.mant[0];#1558,17.638246622952547
result.exp = result.exp - ERR_SCALE;#2179,17.637678750356038
Dfp result = newInstance(this);#1314,17.625149221981275
rh = r / RADIX;#1468,17.624813245690387
int rh = extra / RADIX;#1150,17.622787654399872
result.sign = y.sign;#2222,17.62095081806183
result = dotrap(excp, ADD_TRAP, x, result);#1274,17.6201645822236
return new Dfp(getField(), x);#576,17.618206871880425
return new Dfp(getField(), x);#584,17.614941544002956
this.field = field;#540,17.613557815551758
char buffer[] = new char[mant.length*4 + 20];#2057,17.60795597235362
mantissa <<= 1;#281,17.606949589469217
return new Dfp(getField(), x);#568,17.596137947506374
dx = newInstance(x);#1926,17.595277334514417
buffer[p++] = '.';#2067,17.591845784868514
dx.sign = -1;#1927,17.59123716856304
exp++;#683,17.589132499694824
return new Dfp(getField(), x);#560,17.58401844236586
rh = r / RADIX;#1690,17.580895883065683
a.exp = b.exp;#1234,17.579065608978272
if (nans != FINITE || divisor.nans != FINITE) {#1602,17.578229197749383
break;#1744,17.575323210822212
return this;#1799,17.57514060171027
max = trial-1;#1697,17.57463290141179
exponent--;#280,17.57227511154978
outputbuffer[q++] = '0';#2020,17.570863767103717
r = r + product[i+j] + rh;  // add to the product digit with carry in#1466,17.57031411391038
p = p / 10;#2046,17.569710943433975
quotient[qd] = trial;#1732,17.563363711039226
break;#246,17.562830448150635
int significantDigits=0;#433,17.553407605489095
p--;#2114,17.55233726501465
break;#1014,17.545495250008322
rh = r / RADIX;#1373,17.54326646224312
return (nans == QNAN) || (nans == SNAN);#808,17.529693756103516
rh = r / RADIX;#1682,17.52137173546685
e--;#2095,17.513827578226724
break;#1340,17.51164001888699
rsign = asign;#1223,17.509210957421196
for (p = 0; p < rawdigits.length; p++) {#1994,17.50627143859863
q--;#2109,17.501049931844076
outputbuffer[q++] = '.';#2017,17.500865762883965
nans = FINITE;#337,17.499377931867325
b.exp = a.exp;#1230,17.498549604415892
result = dotrap(DfpField.FLAG_DIV_ZERO, DIVIDE_TRAP, getZero(), result);#1813,17.49815664291382
x.mant[mant.length-1] = x.mant[mant.length-1]/2+1;#1906,17.496180078257684
outputbuffer[q++] = '-';#2004,17.49203772978349
buffer[p++] = '0';#2075,17.48699447086879
nans = FINITE;#185,17.481231689453125
break;#1365,17.48116948869493
exponent++;#2334,17.481113297598704
break;#1336,17.467876964145237
public int hashCode() {#836,17.46575336456299
final char[] striped = new char[getRadixDigits() * rsize + offset * 2];#343,17.464639091491698
