{#800,20.118016137017143
boolean verbose = false;#101,19.97595296587263
Zone zone = null;#464,19.814003284160908
{#610,19.76106283399794
if (pos == 1) {#245,19.75718822479248
if (zone != null) {#516,19.727122751871743
static {#69,19.718520800272625
if (newPos == ~pos) {#241,19.674838739282944
private Zone iNext;#748,19.666680409358097
if (offset == nextOffset#294,19.547011799282497
if (i >= args.length) {#124,19.50018534940832
if (args.length == 0) {#94,19.42468267328599
if (sources != null) {#367,19.385303497314453
public DateTimeZone buildDateTimeZone(Map ruleSets) {#783,19.344048334204633
public String toString() {#634,19.336041586739675
private static class Zone {#740,19.319337209065754
int pos = 0;#236,19.27422831608699
String line;#465,19.267881220037285
public String toString() {#830,19.256472996303014
if (st.hasMoreTokens()) {#546,19.253841899690173
public static boolean verbose() {#77,19.188438068736684
static DateTimeOfYear getStartOfYear() {#147,19.188246218363442
for (Entry<String, DateTimeZone> entry : zimap.entrySet()) {#170,19.18547739301409
public String toString() {#701,19.17754554748535
if (outputDir != null) {#441,19.161339938640594
for (String id : indexToId.values()) {#193,19.142257308959962
static boolean test(String id, DateTimeZone tz) {#268,19.125716898176407
for (; zone != null; zone = zone.iNext) {#801,19.116230752733017
iMillisOfDay = 0;#534,19.09463710784912
while (true) {#283,19.074057505680965
DateTimeFormatter p = ISODateTimeFormat.hourMinuteSecondFraction();#234,19.070614920722115
char zoneChar = 'w';#544,19.064691643965872
int dayOfWeek = 0;#541,19.062259473298724
"ZoneChar: " + iZoneChar + "\n";#641,19.056422825517327
public final int iMillisOfDay;#526,19.05559595893411
private Zone(String name, StringTokenizer st) {#754,19.04563889503479
if (outputDir != null) {#375,19.04267406463623
if (trans - 1 != millis) {#331,19.035049091685902
public static void main(String[] args) throws Exception {#93,19.02584946155548
for (int pass=0; pass<2; pass++) {#425,19.00735022804954
private static void addToBuilder(Zone zone,#797,18.995603879292805
DateTimeZone tz = original;#394,18.990866947174073
for (Entry<String, DateTimeZone> entry : zimap.entrySet()) {#199,18.97069423539298
dtOfYear = new DateTimeOfYear(st);#766,18.96896792903091
if (index < 0) {#687,18.951068627206904
public final int iSaveMillis;#651,18.944722056388855
iZoneChar = zoneChar;#602,18.93883534481651
void addRule(Rule rule) {#722,18.91160672903061
switch (c) {#252,18.90070005563589
while ((line = in.readLine()) != null) {#466,18.894920984903973
return false;#338,18.894013756199886
if (st.hasMoreTokens()) {#494,18.890625454130628
DateTimeOfYear dtOfYear = getStartOfYear();#761,18.88887387055617
if (str.startsWith("-")) {#237,18.88272802453292
File inputDir = null;#99,18.87381955555507
public final char iZoneChar;#527,18.870747884114582
public final DateTimeOfYear iUntilDateTimeOfYear;#746,18.86538755326044
static class DateTimeOfYear {#521,18.86475485021418
int millis = (int)mdt.getMillis();#244,18.85749725861983
String str =#831,18.85649496714274
boolean advance = false;#543,18.84969133489272
int millis = 0;#542,18.839581065707737
public void parseDataFile(BufferedReader in) throws IOException {#463,18.807702616641397
System.out.println("Writing zoneinfo files");#388,18.80677961048327
File outputDir = null;#100,18.80649471282959
static void writeZoneInfoMap(DataOutputStream dout, Map<String, DateTimeZone> zimap) throws IOException {#164,18.783672535058223
if (index >= 0) {#473,18.777006149291992
return false;#299,18.771733735737048
iNext = new Zone(iName, st);#778,18.764705446031357
iUntilDateTimeOfYear = dtOfYear;#771,18.76193877061208
short count = 0;#169,18.757237361027645
public final int iOffsetMillis;#742,18.75537472963333
if (prev == millis || prev < end) {#323,18.72386105855306
iZoneChar = 'w';#535,18.691023977179277
case 'u': case 'U': case 'g': case 'G': case 'z': case 'Z':#256,18.688224971294403
pos = 1;#238,18.680952489376068
DataOutputStream dout = new DataOutputStream(out);#449,18.67989543914795
Zone(StringTokenizer st) {#750,18.678857564926147
ZoneInfoCompiler zic = new ZoneInfoCompiler();#135,18.66634427933466
return true;#270,18.662346776326498
DateTimeOfYear(StringTokenizer st) {#538,18.65556516145405
static int parseYear(String str, int def) {#207,18.629277646541595
if (!id.equals(tz.getID())) {#269,18.622480912642047
