Project,now,before,Difference
Chart1,1,1,0
Chart2,46,34,-12
Chart3,4,2,-2
Chart4,109,192,83
Chart5,9,5,-4
Chart6,91,96,5
Chart7,44,28,-16
Chart8,8,3,-5
Chart9,5,6,1
Chart10,1,1,0
Chart11,3,2,-1
Chart12,68,41,-27
Chart13,1,1,0
Chart14,1,1,0
Chart15,16,8,-8
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,1,-1
Chart19,4,1,-3
Chart20,7,6,-1
Chart21,3,3,0
Chart22,1,1,0
Chart24,4,1,-3
Chart25,48,12,-36
Chart26,1,1,0
Closure1,20,36,16
Closure2,38,86,48
Closure3,1,41,40
Closure4,3,1,-2
Closure5,8,1,-7
Closure6,2,1,-1
Closure7,67,64,-3
Closure8,1,3,2
Closure9,1,1,0
Closure10,232,222,-10
Closure11,4,3,-1
Closure12,131,332,201
Closure13,900,2227,1327
Closure14,9,1,-8
Closure15,144,108,-36
Closure16,79,126,47
Closure17,3,1,-2
Closure18,561,506,-55
Closure19,26,25,-1
Closure20,40,36,-4
Closure21,1,1,0
Closure22,1,1,0
Closure23,37,7,-30
Closure24,3,1,-2
Closure25,42,32,-10
Closure26,128,15,-113
Closure27,7,5,-2
Closure29,29,22,-7
Closure30,171,143,-28
Closure31,319,294,-25
Closure32,1,1,0
Closure33,9,18,9
Closure34,2,2,0
Closure35,124,75,-49
Closure36,40,53,13
Closure37,367,289,-78
Closure38,1,1,0
Closure39,4,1,-3
Closure40,3,1,-2
Closure41,407,382,-25
Closure42,1,3,2
Closure43,263,177,-86
Closure44,103,154,51
Closure45,33,22,-11
Closure46,1,1,0
Closure47,1,4,3
Closure48,2,2,0
Closure49,185,109,-76
Closure50,6,3,-3
Closure51,1,1,0
Closure52,44,98,54
Closure53,80,53,-27
Closure54,108,40,-68
Closure55,27,33,6
Closure56,15,23,8
Closure57,46,40,-6
Closure58,34,44,10
Closure59,1261,881,-380
Closure60,103,70,-33
Closure61,83,80,-3
Closure62,1,1,0
Closure63,1,1,0
Closure64,598,604,6
Closure65,58,46,-12
Closure66,6,6,0
Closure67,10,8,-2
Closure68,22,4,-18
Closure69,466,508,42
Closure70,1,1,0
Closure71,1,1,0
Closure72,305,207,-98
Closure73,1,1,0
Closure74,6,5,-1
Closure75,23,24,1
Closure76,17,4,-13
Closure77,14,5,-9
Closure78,28,9,-19
Closure79,87,101,14
Closure80,97,97,0
Closure81,5,3,-2
Closure82,2442,2336,-106
Closure83,1,1,0
Closure84,6,8,2
Closure85,4,5,1
Closure86,7,28,21
Closure87,92,78,-14
Closure88,25,1,-24
Closure89,11,7,-4
Closure90,25,19,-6
Closure91,231,133,-98
Closure92,6,2,-4
Closure93,6,2,-4
Closure94,7,19,12
Closure95,1238,1070,-168
Closure96,35,51,16
Closure97,67,88,21
Closure98,61,70,9
Closure99,3,2,-1
Closure100,11,18,7
Closure101,1867,2030,163
Closure102,3213,4087,874
Closure103,418,657,239
Closure104,3,3,0
Closure105,58,14,-44
Closure106,2,2,0
Closure107,1,7,6
