Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,11,1,-10
Chart2,org.jfree.data.general.DatasetUtilities#755,122,117,-5
Chart2,org.jfree.data.general.DatasetUtilities#757,61,51,-10
Chart2,org.jfree.data.general.DatasetUtilities#1242,64,34,-30
Chart2,org.jfree.data.general.DatasetUtilities#1243,97,73,-24
Chart3,org.jfree.data.time.TimeSeries#1056,16,2,-14
Chart3,org.jfree.data.time.TimeSeries#1057,6,4,-2
Chart4,org.jfree.chart.plot.XYPlot#4493,81,192,111
Chart5,org.jfree.data.xy.XYSeries#548,11,5,-6
Chart6,org.jfree.chart.util.ShapeList#111,69,96,27
Chart7,org.jfree.data.time.TimePeriodValues#300,80,29,-51
Chart7,org.jfree.data.time.TimePeriodValues#302,64,28,-36
Chart8,org.jfree.data.time.Week#175,12,3,-9
Chart9,org.jfree.data.time.TimeSeries#944,5,6,1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,2,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,131,41,-90
Chart13,org.jfree.chart.block.BorderArrangement#454,1,1,0
Chart14,org.jfree.chart.plot.XYPlot#2293,11,2,-9
Chart14,org.jfree.chart.plot.XYPlot#2529,1,4,3
Chart14,org.jfree.chart.plot.CategoryPlot#2166,2,1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,4,3,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,28,8,-20
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,3,2,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,25,23,-2
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,7,1,-6
Chart18,org.jfree.data.DefaultKeyedValues#335,36,44,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,17,13,-4
Chart18,org.jfree.data.DefaultKeyedValues2D#458,2,4,2
Chart18,org.jfree.data.DefaultKeyedValues2D#460,13,14,1
Chart19,org.jfree.chart.plot.CategoryPlot#698,27,4,-23
Chart19,org.jfree.chart.plot.CategoryPlot#973,12,1,-11
Chart20,org.jfree.chart.plot.ValueMarker#95,7,6,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,62,76,14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,53,36,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,70,55,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,68,70,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,47,37,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,48,58,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,58,32,-26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,64,53,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,94,96,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,95,95,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,41,13,-28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,3,3,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,12,6,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,10,7,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,50,30,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,44,41,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,29,33,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,38,39,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,14,10,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,11,9,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,13,19,6
Chart22,org.jfree.data.KeyedObjects2D#231,36,78,42
Chart22,org.jfree.data.KeyedObjects2D#233,40,58,18
Chart22,org.jfree.data.KeyedObjects2D#378,1,1,0
Chart22,org.jfree.data.KeyedObjects2D#345,12,30,18
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,9,1,-8
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,136,285,149
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,82,12,-70
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,74,94,20
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,608,948,340
Chart26,org.jfree.chart.axis.Axis#1192,6,1,-5
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,27,36,9
Closure2,com.google.javascript.jscomp.TypeCheck#1574,29,86,57
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,62,42,-20
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,1,41,40
Closure4,com.google.javascript.rhino.jstype.NamedType#190,100,1,-99
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,84,2,-82
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,48,1,-47
Closure6,com.google.javascript.jscomp.TypeValidator#366,600,1,-599
Closure6,com.google.javascript.jscomp.TypeValidator#367,245,33,-212
Closure6,com.google.javascript.jscomp.TypeValidator#405,663,6,-657
Closure6,com.google.javascript.jscomp.TypeValidator#406,75,30,-45
