Project,MinRank1,MinRank2,Difference
Chart1,11,1,-10
Chart2,61,34,-27
Chart3,6,2,-4
Chart4,81,192,111
Chart5,11,5,-6
Chart6,69,96,27
Chart7,64,28,-36
Chart8,12,3,-9
Chart9,5,6,1
Chart10,2,1,-1
Chart11,2,2,0
Chart12,131,41,-90
Chart13,1,1,0
Chart14,1,1,0
Chart15,28,8,-20
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,1,-1
Chart19,12,1,-11
Chart20,7,6,-1
Chart21,3,3,0
Chart22,1,1,0
Chart24,9,1,-8
Chart25,74,12,-62
Chart26,6,1,-5
Closure1,27,36,9
Closure2,29,86,57
Closure3,1,41,40
Closure4,100,1,-99
Closure5,48,1,-47
Closure6,75,1,-74
Closure7,81,64,-17
Closure8,1,3,2
Closure9,3,1,-2
Closure10,233,222,-11
Closure11,107,3,-104
Closure12,57,332,275
Closure13,462,2227,1765
Closure14,37,1,-36
Closure15,229,108,-121
Closure16,43,126,83
Closure17,12,1,-11
Closure18,497,506,9
Closure19,62,25,-37
Closure20,46,36,-10
Closure21,16,1,-15
Closure22,7,1,-6
Closure23,200,7,-193
Closure24,85,1,-84
Closure25,74,32,-42
Closure26,194,15,-179
Closure27,8,5,-3
Closure29,148,22,-126
Closure30,208,143,-65
Closure31,285,294,9
Closure32,1,1,0
Closure33,15,18,3
Closure34,2,2,0
Closure35,234,75,-159
Closure36,33,53,20
Closure37,267,289,22
Closure38,3,1,-2
Closure39,11,1,-10
Closure40,5,1,-4
Closure41,366,382,16
Closure42,2,3,1
Closure43,394,177,-217
Closure44,42,154,112
Closure45,135,22,-113
Closure46,6,1,-5
Closure47,2,4,2
Closure48,1,2,1
Closure49,80,109,29
Closure50,38,3,-35
Closure51,1,1,0
Closure52,14,98,84
Closure53,203,53,-150
Closure54,280,40,-240
Closure55,37,33,-4
Closure56,9,23,14
Closure57,60,40,-20
Closure58,53,44,-9
Closure59,1642,881,-761
Closure60,225,70,-155
Closure61,102,80,-22
Closure62,1,1,0
Closure63,1,1,0
Closure64,403,604,201
Closure65,76,46,-30
Closure66,69,6,-63
Closure67,19,8,-11
Closure68,58,4,-54
Closure69,403,508,105
Closure70,6,1,-5
Closure71,4,1,-3
Closure72,540,207,-333
Closure73,61,1,-60
Closure74,15,5,-10
Closure75,14,24,10
Closure76,87,4,-83
Closure77,13,5,-8
Closure78,96,9,-87
Closure79,78,101,23
Closure80,89,97,8
Closure81,6,3,-3
Closure82,2158,2336,178
Closure83,2,1,-1
Closure84,3,8,5
Closure85,3,5,2
Closure86,7,28,21
Closure87,130,78,-52
Closure88,413,1,-412
Closure89,52,7,-45
Closure90,71,19,-52
Closure91,505,133,-372
Closure92,44,2,-42
Closure93,57,2,-55
Closure94,7,19,12
Closure95,1174,1070,-104
Closure96,49,51,2
Closure97,67,88,21
Closure98,77,70,-7
Closure99,2,2,0
Closure100,14,18,4
Closure101,1571,2030,459
Closure102,3001,4087,1086
Closure103,227,657,430
Closure104,4,3,-1
Closure105,93,14,-79
Closure106,3,2,-1
Closure107,2,7,5
Closure108,68,20,-48
Closure109,43,9,-34
Closure110,54,17,-37
Closure111,15,90,75
Closure112,183,131,-52
Closure113,3,3,0
Closure114,16,12,-4
Closure115,21,3,-18
Closure116,254,115,-139
Closure117,224,15,-209
Closure118,306,51,-255
Closure120,74,702,628
Closure121,8,23,15
Closure122,31,1,-30
Closure123,205,138,-67
Closure124,68,32,-36
Closure125,21,50,29
Closure126,19,1,-18
Closure127,16,14,-2
Closure128,2,4,2
Closure129,661,637,-24
Closure130,309,64,-245
Closure131,647,9,-638
Closure132,237,55,-182
Closure133,27,68,41
Lang1,3,1,-2
Lang2,12,15,3
Lang3,1,2,1
Lang4,3,1,-2
Lang5,3,1,-2
Lang6,11,14,3
Lang7,8,10,2
Lang8,12,4,-8
Lang9,61,41,-20
Lang10,39,31,-8
Lang11,9,10,1
Lang12,5,7,2
Lang13,17,2,-15
Lang14,1,1,0
Lang15,1,1,0
Lang16,57,16,-41
Lang17,8,13,5
Lang18,91,44,-47
Lang19,7,1,-6
Lang20,2,1,-1
Lang21,1,1,0
Lang22,27,1,-26
Lang24,111,45,-66
Lang26,6,1,-5
Lang27,2,1,-1
Lang28,29,2,-27
Lang30,2,13,11
Lang31,1,2,1
Lang32,4,4,0
Lang33,5,1,-4
Lang34,40,1,-39
Lang35,2,2,0
Lang36,29,19,-10
Lang37,1,2,1
Lang38,2,1,-1
Lang39,15,5,-10
Lang40,1,1,0
Lang41,6,5,-1
Lang42,17,12,-5
Lang43,9,12,3
Lang44,12,13,1
Lang45,21,22,1
Lang46,1,1,0
Lang47,3,3,0
Lang48,2,1,-1
Lang49,4,1,-3
Lang50,26,21,-5
Lang53,38,38,0
Lang54,3,2,-1
Lang55,3,1,-2
Lang57,1,1,0
Lang58,2,3,1
Lang59,11,4,-7
Lang60,49,1,-48
Lang61,46,40,-6
Lang62,6,4,-2
Lang63,1,1,0
Lang64,3,1,-2
Lang65,7,8,1
Math1,69,4,-65
Math2,28,16,-12
Math3,10,11,1
Math4,12,9,-3
Math5,1,2,1
Math6,362,133,-229
Math7,5,2,-3
Math8,7,1,-6
Math9,12,4,-8
Math10,64,15,-49
Math11,140,55,-85
Math13,91,53,-38
Math14,72,52,-20
Math15,30,22,-8
Math16,11,1,-10
Math17,31,80,49
Math18,51,35,-16
Math19,6,32,26
Math20,138,608,470
Math21,63,42,-21
Math22,2,1,-1
Math23,7,54,47
Math24,24,55,31
Math25,2,2,0
Math26,2,5,3
Math27,1,1,0
Math28,2,9,7
Math29,1,7,6
Math30,25,4,-21
Math31,47,40,-7
Math32,1,13,12
Math33,33,3,-30
Math34,32,1,-31
Math35,7,5,-2
Math36,2,4,2
Math37,2,10,8
Math38,1,7,6
Math39,106,86,-20
Math40,10,2,-8
Math41,35,14,-21
Math42,6,19,13
Math43,12,10,-2
Math44,153,142,-11
Math45,2,2,0
Math46,2,2,0
Math47,1,2,1
Math48,647,87,-560
Math49,35,17,-18
Math50,5,1,-4
Math51,7,8,1
Math52,2,2,0
Math53,2,1,-1
Math54,27,12,-15
Math55,33,1,-32
Math56,2,6,4
Math57,9,10,1
Math58,251,307,56
Math59,594,1,-593
Math60,13,18,5
Math61,1,1,0
Math62,56,12,-44
Math63,2,1,-1
Math64,76,163,87
Math65,1,1,0
Math66,66,91,25
Math67,5,6,1
Math68,63,68,5
Math69,6,6,0
Math70,1,1,0
Math71,14,36,22
Math72,3,1,-2
Math73,11,4,-7
Math74,509,591,82
Math75,1,3,2
Math76,165,55,-110
Math77,2,1,-1
Math78,21,45,24
Math79,21,28,7
Math80,1,1,0
Math81,2,5,3
Math82,58,46,-12
Math83,2,1,-1
Math84,1,1,0
Math85,32,22,-10
Math86,49,15,-34
Math87,43,36,-7
Math88,1,1,0
Math89,2,1,-1
Math90,3,3,0
Math91,2,2,0
Math92,1,1,0
Math93,2,2,0
Math94,9,9,0
Math95,2,4,2
Math96,6,2,-4
Math97,1,1,0
Math98,13,7,-6
Math99,1,2,1
Math100,5,5,0
Math101,2,6,4
Math102,6,2,-4
Math103,26,14,-12
Math105,10,13,3
Math106,1,4,3
Mockito1,3,17,14
Mockito2,20,3,-17
Mockito3,14,1,-13
Mockito4,3,1,-2
Mockito6,27,21,-6
Mockito7,14,29,15
Mockito8,27,6,-21
Mockito9,1,1,0
Mockito10,1,14,13
Mockito11,1,1,0
Mockito12,4,7,3
Mockito13,120,34,-86
Mockito14,8,9,1
Mockito15,119,102,-17
Mockito16,47,4,-43
Mockito17,17,2,-15
Mockito18,165,15,-150
Mockito19,50,10,-40
Mockito20,184,90,-94
Mockito21,2,3,1
Mockito22,10,10,0
Mockito23,45,4,-41
