Project,now,before,Difference
Chart1,1,1,0
Chart2,29,26,-3
Chart3,4,2,-2
Chart4,48,137,89
Chart5,11,9,-2
Chart6,98,99,1
Chart7,33,26,-7
Chart8,10,5,-5
Chart9,7,11,4
Chart10,2,1,-1
Chart11,2,1,-1
Chart12,302,243,-59
Chart13,2,2,0
Chart14,1,2,1
Chart15,6,4,-2
Chart16,1,1,0
Chart17,1,1,0
Chart18,4,1,-3
Chart19,5,2,-3
Chart20,64,57,-7
Chart21,5,5,0
Chart22,1,2,1
Chart24,3,2,-1
Chart25,356,729,373
Chart26,1457,1533,76
Closure1,818,867,49
Closure2,194,367,173
Closure3,91,260,169
Closure4,1101,1099,-2
Closure5,679,647,-32
Closure6,1086,1205,119
Closure7,498,503,5
Closure8,23,168,145
Closure9,2,1,-1
Closure10,15,30,15
Closure11,815,893,78
Closure12,238,550,312
Closure13,872,1576,704
Closure14,1,1,0
Closure15,1043,955,-88
Closure16,780,763,-17
Closure17,4,1,-3
Closure18,58,41,-17
Closure19,889,848,-41
Closure20,1025,1129,104
Closure21,479,478,-1
Closure22,558,503,-55
Closure23,74,65,-9
Closure24,557,422,-135
Closure25,2,26,24
Closure26,1555,1588,33
Closure27,7,5,-2
Closure29,1387,1323,-64
Closure30,706,484,-222
Closure31,42,41,-1
Closure32,1,1,0
Closure33,1267,1305,38
Closure34,2,2,0
Closure35,144,144,0
Closure36,1589,1657,68
Closure37,844,783,-61
Closure38,25,22,-3
Closure39,197,102,-95
Closure40,435,408,-27
Closure41,160,189,29
Closure42,81,140,59
Closure43,696,617,-79
Closure44,14,63,49
Closure45,543,471,-72
Closure46,10,3,-7
Closure47,1047,1065,18
Closure48,1,1,0
Closure49,168,560,392
Closure50,53,48,-5
Closure51,1,1,0
Closure52,8,47,39
Closure53,191,181,-10
Closure54,34,29,-5
Closure55,970,963,-7
Closure56,4,15,11
Closure57,5,9,4
Closure58,379,380,1
Closure59,1287,1100,-187
Closure60,1535,1537,2
Closure61,35,73,38
Closure62,47,45,-2
Closure63,56,57,1
Closure64,69,76,7
Closure65,28,22,-6
Closure66,142,140,-2
Closure67,1,1,0
Closure68,22,13,-9
Closure69,89,111,22
Closure70,1,1,0
Closure71,333,372,39
Closure72,1142,1142,0
Closure73,1,1,0
Closure74,47,39,-8
Closure75,146,191,45
Closure76,56,89,33
Closure77,2,17,15
Closure78,602,597,-5
Closure79,919,963,44
Closure80,58,141,83
Closure81,2,8,6
Closure82,571,515,-56
Closure83,1,1,0
Closure84,3,9,6
Closure85,167,168,1
Closure86,1,1,0
Closure87,133,147,14
Closure88,773,525,-248
Closure89,2,1,-1
Closure90,421,440,19
Closure91,925,806,-119
Closure92,117,89,-28
Closure93,95,74,-21
Closure94,765,857,92
Closure95,197,214,17
Closure96,1,7,6
Closure97,627,710,83
Closure98,108,119,11
Closure99,282,281,-1
Closure100,646,747,101
Closure101,524,674,150
