Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,69,65,-4
Chart2,org.jfree.data.general.DatasetUtilities#757,29,26,-3
Chart2,org.jfree.data.general.DatasetUtilities#1242,36,31,-5
Chart2,org.jfree.data.general.DatasetUtilities#1243,68,56,-12
Chart3,org.jfree.data.time.TimeSeries#1056,10,2,-8
Chart3,org.jfree.data.time.TimeSeries#1057,4,3,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,48,137,89
Chart5,org.jfree.data.xy.XYSeries#548,11,9,-2
Chart6,org.jfree.chart.util.ShapeList#111,98,99,1
Chart7,org.jfree.data.time.TimePeriodValues#300,56,39,-17
Chart7,org.jfree.data.time.TimePeriodValues#302,33,26,-7
Chart8,org.jfree.data.time.Week#175,10,5,-5
Chart9,org.jfree.data.time.TimeSeries#944,7,11,4
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,302,243,-59
Chart13,org.jfree.chart.block.BorderArrangement#454,2,2,0
Chart14,org.jfree.chart.plot.XYPlot#2293,3,4,1
Chart14,org.jfree.chart.plot.XYPlot#2529,1,2,1
Chart15,org.jfree.chart.plot.PiePlot#2051,6,4,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,16,17,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,3,0
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,4,1,-3
Chart18,org.jfree.data.DefaultKeyedValues#335,14,16,2
Chart19,org.jfree.chart.plot.CategoryPlot#698,9,2,-7
Chart19,org.jfree.chart.plot.CategoryPlot#973,5,3,-2
Chart20,org.jfree.chart.plot.ValueMarker#95,64,57,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,65,66,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,32,25,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,57,36,-21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,74,68,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,30,26,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,41,47,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,33,24,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,59,51,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,82,85,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,85,84,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,96,80,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,106,109,3
