Project,now,before,Difference
Chart5,1,1,0
Chart10,2,1,-1
Chart12,19,16,-3
Chart18,2,2,0
Chart20,3,3,0
Chart21,4,3,-1
Chart22,6,7,1
Chart25,20,23,3
Chart26,14,19,5
Closure6,29,31,2
Closure11,36,30,-6
Closure15,7,4,-3
Closure16,1,1,0
Closure18,12,11,-1
Closure19,9,27,18
Closure20,23,9,-14
Closure21,8,7,-1
Closure22,5,5,0
Closure24,16,6,-10
Closure30,2,1,-1
Closure33,3,2,-1
Closure35,21,16,-5
Closure39,22,22,0
Closure46,9,4,-5
Closure49,1,2,1
Closure50,6,5,-1
Closure51,2,3,1
Closure58,16,15,-1
Closure76,15,15,0
Closure77,16,15,-1
Closure81,8,21,13
Closure83,7,5,-2
Closure85,4,3,-1
Closure90,36,39,3
Closure91,9,5,-4
Closure99,1,1,0
Closure101,15,43,28
Closure102,10,2,-8
Closure103,16,24,8
Closure106,2,2,0
Closure110,7,6,-1
Closure112,30,28,-2
Closure115,20,14,-6
Closure116,40,36,-4
Closure124,7,9,2
Closure126,15,21,6
Closure131,13,13,0
Lang3,2,4,2
Lang4,6,5,-1
Lang5,4,4,0
Lang10,8,7,-1
Lang11,3,3,0
Lang12,1,1,0
Lang17,3,3,0
Lang19,3,3,0
Lang24,9,4,-5
Lang28,2,2,0
Lang30,2,2,0
Lang33,8,7,-1
Lang50,3,3,0
Lang54,1,1,0
Lang55,1,1,0
Lang59,1,1,0
Lang63,9,8,-1
Lang65,2,2,0
Math7,11,11,0
Math9,4,3,-1
Math14,7,7,0
Math16,2,1,-1
Math21,1,1,0
Math26,2,3,1
Math29,8,4,-4
Math31,1,1,0
Math37,2,5,3
Math39,3,1,-2
Math44,5,6,1
Math50,12,12,0
Math51,7,8,1
Math53,1,1,0
Math56,1,1,0
Math57,3,4,1
Math60,1,1,0
Math62,8,7,-1
Math65,12,16,4
Math66,10,7,-3
Math68,18,23,5
Math74,4,4,0
Math76,2,1,-1
Math78,4,3,-1
Math80,10,21,11
Math85,7,8,1
Math87,1,1,0
Math88,1,3,2
Math90,2,2,0
Math92,1,1,0
Math94,2,2,0
Math95,3,2,-1
Math102,8,7,-1
Math103,4,3,-1
Mockito2,6,5,-1
Mockito3,9,5,-4
Mockito8,3,2,-1
Mockito9,1,4,3
Mockito11,1,1,0
Mockito12,7,9,2
Mockito14,7,11,4
Mockito15,8,3,-5
Mockito20,6,5,-1
Mockito21,6,4,-2
Mockito22,9,7,-2
Mockito23,5,4,-1
Mockito25,2,2,0
Mockito28,7,8,1
Mockito30,1,3,2
Mockito31,2,3,1
Mockito35,2,2,0
Mockito37,7,3,-4
Mockito38,6,6,0
Time3,11,11,0
Time4,25,19,-6
Time5,1,1,0
Time9,8,7,-1
Time10,2,1,-1
Time11,23,15,-8
Time17,19,20,1
Time18,19,19,0
Time21,2,1,-1
Time23,3,2,-1
Time24,20,20,0
Time26,20,20,0
