Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,378,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,43,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,140,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1242,92,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1243,148,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1056,83,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1057,20,-1,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,900,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,1,1,0
Chart6,org.jfree.chart.util.ShapeList#111,91,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,11,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#302,59,-1,-1
Chart8,org.jfree.data.time.Week#175,34,-1,-1
Chart9,org.jfree.data.time.TimeSeries#944,11,-1,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,13,-1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,2,16,14
Chart13,org.jfree.chart.block.BorderArrangement#454,60,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,377,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,468,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2166,176,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,458,-1,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,440,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,40,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,32,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,19,-1,-1
Chart17,org.jfree.data.time.TimeSeries#857,18,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#335,5,6,1
Chart18,org.jfree.data.DefaultKeyedValues2D#455,61,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,26,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,45,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#698,151,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#973,150,-1,-1
Chart20,org.jfree.chart.plot.ValueMarker#95,1,3,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,40,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,71,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,76,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,43,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,115,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,86,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,82,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,110,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,53,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,60,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,116,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,79,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,69,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,98,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,22,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,114,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,100,-1,-1
