Project,MinRank1,MinRank2,Difference
Chart1,378,-1,-1
Chart2,43,-1,-1
Chart3,20,-1,-1
Chart4,900,-1,-1
Chart5,1,1,0
Chart6,91,-1,-1
Chart7,11,-1,-1
Chart8,34,-1,-1
Chart9,11,-1,-1
Chart10,2,1,-1
Chart11,13,-1,-1
Chart12,2,16,14
Chart13,60,-1,-1
Chart14,176,-1,-1
Chart15,440,-1,-1
Chart16,19,-1,-1
Chart17,18,-1,-1
Chart18,2,2,0
Chart19,150,-1,-1
Chart20,1,3,2
Chart21,1,3,2
Chart22,6,7,1
Chart24,7,-1,-1
Chart25,10,23,13
Chart26,8,19,11
Closure1,4393,-1,-1
Closure2,1565,-1,-1
Closure3,226,-1,-1
Closure4,3704,-1,-1
Closure5,1945,-1,-1
Closure6,3,31,28
Closure7,100,-1,-1
Closure8,1276,-1,-1
Closure9,15,-1,-1
Closure10,3627,-1,-1
Closure11,8,30,22
Closure12,2354,-1,-1
Closure13,1212,-1,-1
Closure14,1991,-1,-1
Closure15,5,4,-1
Closure16,1,1,0
Closure17,4687,-1,-1
Closure18,6,11,5
Closure19,3,27,24
Closure20,2,9,7
Closure21,3,7,4
Closure22,2,5,3
Closure23,1568,-1,-1
Closure24,7,6,-1
Closure25,1258,-1,-1
Closure26,3284,-1,-1
Closure27,174,-1,-1
Closure29,2702,-1,-1
Closure30,3,1,-2
Closure31,955,-1,-1
Closure32,483,-1,-1
Closure33,2,2,0
Closure34,191,-1,-1
Closure35,8,16,8
Closure36,3131,-1,-1
Closure37,877,-1,-1
Closure38,1134,-1,-1
Closure39,12,22,10
Closure40,1095,-1,-1
Closure41,1073,-1,-1
Closure42,122,-1,-1
Closure43,2849,-1,-1
Closure44,1334,-1,-1
Closure45,319,-1,-1
Closure46,5,4,-1
Closure47,3716,-1,-1
Closure48,3743,-1,-1
Closure49,1,2,1
Closure50,2,5,3
Closure51,3,3,0
Closure52,1598,-1,-1
Closure53,291,-1,-1
Closure54,118,-1,-1
Closure55,234,-1,-1
Closure56,1067,-1,-1
Closure57,1164,-1,-1
Closure58,18,15,-3
Closure59,6131,-1,-1
Closure60,4295,-1,-1
Closure61,1526,-1,-1
Closure62,17,-1,-1
Closure63,17,-1,-1
Closure64,2485,-1,-1
Closure65,1277,-1,-1
Closure66,1038,-1,-1
Closure67,688,-1,-1
Closure68,237,-1,-1
