Project,now,before,Difference
Chart1,1,1,0
Chart2,38,38,0
Chart3,3,3,0
Chart4,125,153,28
Chart5,9,8,-1
Chart6,95,94,-1
Chart7,34,31,-3
Chart8,8,7,-1
Chart9,8,8,0
Chart10,1,1,0
Chart11,1,1,0
Chart12,40,36,-4
Chart13,1,1,0
Chart14,1,1,0
Chart15,17,19,2
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,2,0
Chart19,2,1,-1
Chart20,6,6,0
Chart21,3,3,0
Chart22,1,2,1
Chart24,2,1,-1
Chart25,3,3,0
Chart26,1,1,0
Closure1,22,37,15
Closure2,64,96,32
Closure3,20,42,22
Closure4,1,1,0
Closure5,3,1,-2
Closure6,1,1,0
Closure7,88,93,5
Closure8,1,3,2
Closure9,1,1,0
Closure10,190,195,5
Closure11,3,3,0
Closure12,159,199,40
Closure13,2597,3272,675
Closure14,2,1,-1
Closure15,102,66,-36
Closure16,217,137,-80
Closure17,1,1,0
Closure18,202,205,3
Closure19,28,27,-1
Closure20,44,53,9
Closure21,1,1,0
Closure22,1,1,0
Closure23,80,71,-9
Closure24,1,1,0
Closure25,18,20,2
Closure26,32,17,-15
Closure27,5,5,0
Closure29,21,20,-1
Closure30,167,163,-4
Closure31,236,235,-1
Closure32,1,1,0
Closure33,16,19,3
Closure34,1,1,0
Closure35,150,143,-7
Closure36,66,64,-2
Closure37,395,346,-49
Closure38,1,1,0
Closure39,5,5,0
Closure40,1,1,0
Closure41,546,571,25
Closure42,1,6,5
Closure43,180,168,-12
Closure44,113,130,17
Closure45,29,30,1
Closure46,1,1,0
Closure47,5,5,0
Closure48,2,2,0
Closure49,7,6,-1
Closure50,4,3,-1
Closure51,1,1,0
Closure52,54,73,19
Closure53,75,67,-8
Closure54,85,72,-13
Closure55,28,36,8
Closure56,31,25,-6
Closure57,36,34,-2
Closure58,39,42,3
Closure59,1796,1687,-109
Closure60,47,53,6
Closure61,43,41,-2
Closure62,1,1,0
Closure63,1,1,0
Closure64,406,410,4
Closure65,28,29,1
Closure66,5,4,-1
Closure67,8,8,0
Closure68,13,7,-6
Closure69,468,482,14
Closure70,1,1,0
Closure71,1,1,0
Closure72,233,210,-23
Closure73,1,1,0
Closure74,2,1,-1
Closure75,27,42,15
Closure76,9,6,-3
Closure77,26,29,3
Closure78,24,21,-3
Closure79,104,111,7
Closure80,148,150,2
Closure81,6,12,6
Closure82,1857,1825,-32
Closure83,1,1,0
Closure84,13,17,4
Closure85,8,8,0
Closure86,1,1,0
Closure87,54,55,1
Closure88,3,1,-2
Closure89,11,10,-1
Closure90,32,34,2
Closure91,186,165,-21
Closure92,1,1,0
Closure93,2,1,-1
Closure94,15,26,11
Closure95,1320,1154,-166
Closure96,57,63,6
Closure97,60,69,9
Closure98,33,47,14
Closure99,3,4,1
Closure100,6,7,1
Closure101,1761,1850,89
Closure102,3227,3413,186
Closure103,515,569,54
Closure104,3,3,0
Closure105,37,38,1
Closure106,2,2,0
Closure107,2,4,2
Closure108,16,19,3
Closure109,26,19,-7
Closure110,33,33,0
Closure111,103,134,31
Closure112,134,139,5
Closure113,3,3,0
