Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,9,1,-8
Chart2,org.jfree.data.general.DatasetUtilities#755,100,97,-3
Chart2,org.jfree.data.general.DatasetUtilities#757,43,38,-5
Chart2,org.jfree.data.general.DatasetUtilities#1242,63,49,-14
Chart2,org.jfree.data.general.DatasetUtilities#1243,98,60,-38
Chart3,org.jfree.data.time.TimeSeries#1056,16,3,-13
Chart3,org.jfree.data.time.TimeSeries#1057,5,4,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,52,153,101
Chart5,org.jfree.data.xy.XYSeries#548,13,8,-5
Chart6,org.jfree.chart.util.ShapeList#111,60,94,34
Chart7,org.jfree.data.time.TimePeriodValues#300,87,46,-41
Chart7,org.jfree.data.time.TimePeriodValues#302,70,31,-39
Chart8,org.jfree.data.time.Week#175,12,7,-5
Chart9,org.jfree.data.time.TimeSeries#944,6,8,2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,110,36,-74
Chart13,org.jfree.chart.block.BorderArrangement#454,2,1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,11,2,-9
Chart14,org.jfree.chart.plot.XYPlot#2529,1,4,3
Chart14,org.jfree.chart.plot.CategoryPlot#2166,2,1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,4,3,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,32,19,-13
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,23,22,-1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,8,2,-6
Chart18,org.jfree.data.DefaultKeyedValues#335,42,52,10
Chart18,org.jfree.data.DefaultKeyedValues2D#455,13,12,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,2,4,2
Chart18,org.jfree.data.DefaultKeyedValues2D#460,11,14,3
Chart19,org.jfree.chart.plot.CategoryPlot#698,36,10,-26
Chart19,org.jfree.chart.plot.CategoryPlot#973,18,1,-17
Chart20,org.jfree.chart.plot.ValueMarker#95,7,6,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,65,71,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,49,34,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,64,41,-23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,75,74,-1
