Project,MinRank1,MinRank2,Difference
Chart1,9,1,-8
Chart2,43,38,-5
Chart3,5,3,-2
Chart4,52,153,101
Chart5,13,8,-5
Chart6,60,94,34
Chart7,70,31,-39
Chart8,12,7,-5
Chart9,6,8,2
Chart10,2,1,-1
Chart11,2,1,-1
Chart12,110,36,-74
Chart13,2,1,-1
Chart14,1,1,0
Chart15,32,19,-13
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,2,0
Chart19,18,1,-17
Chart20,7,6,-1
Chart21,3,3,0
Chart22,1,2,1
Chart24,9,1,-8
Chart25,18,3,-15
Chart26,6,1,-5
Closure1,23,37,14
Closure2,32,96,64
Closure3,2,42,40
Closure4,100,1,-99
Closure5,45,1,-44
Closure6,106,1,-105
Closure7,86,93,7
Closure8,1,3,2
Closure9,3,1,-2
Closure10,213,195,-18
Closure11,113,3,-110
Closure12,30,199,169
Closure13,732,3272,2540
Closure14,48,1,-47
Closure15,292,66,-226
Closure16,55,137,82
Closure17,8,1,-7
Closure18,229,205,-24
Closure19,90,27,-63
Closure20,57,53,-4
Closure21,9,1,-8
Closure22,7,1,-6
Closure23,313,71,-242
Closure24,41,1,-40
Closure25,68,20,-48
Closure26,186,17,-169
Closure27,9,5,-4
Closure29,75,20,-55
Closure30,236,163,-73
Closure31,253,235,-18
Closure32,1,1,0
Closure33,18,19,1
Closure34,2,1,-1
Closure35,326,143,-183
Closure36,82,64,-18
Closure37,640,346,-294
Closure38,1,1,0
Closure39,22,5,-17
Closure40,4,1,-3
Closure41,479,571,92
Closure42,1,6,5
Closure43,422,168,-254
Closure44,31,130,99
Closure45,116,30,-86
Closure46,6,1,-5
Closure47,3,5,2
Closure48,1,2,1
Closure49,18,6,-12
Closure50,36,3,-33
Closure51,1,1,0
Closure52,11,73,62
Closure53,248,67,-181
Closure54,331,72,-259
Closure55,21,36,15
Closure56,8,25,17
Closure57,60,34,-26
Closure58,57,42,-15
Closure59,3040,1687,-1353
Closure60,173,53,-120
Closure61,65,41,-24
Closure62,1,1,0
Closure63,1,1,0
Closure64,295,410,115
Closure65,63,29,-34
Closure66,108,4,-104
Closure67,10,8,-2
Closure68,70,7,-63
Closure69,395,482,87
Closure70,5,1,-4
Closure71,4,1,-3
Closure72,580,210,-370
Closure73,75,1,-74
Closure74,14,1,-13
Closure75,17,42,25
Closure76,82,6,-76
Closure77,12,29,17
Closure78,115,21,-94
Closure79,95,111,16
Closure80,131,150,19
Closure81,7,12,5
Closure82,1701,1825,124
Closure83,2,1,-1
Closure84,2,17,15
Closure85,3,8,5
Closure86,5,1,-4
Closure87,140,55,-85
Closure88,479,1,-478
Closure89,108,10,-98
Closure90,117,34,-83
Closure91,651,165,-486
Closure92,52,1,-51
Closure93,37,1,-36
Closure94,7,26,19
Closure95,1298,1154,-144
Closure96,63,63,0
Closure97,59,69,10
Closure98,34,47,13
Closure99,4,4,0
Closure100,9,7,-2
Closure101,1106,1850,744
Closure102,1912,3413,1501
Closure103,181,569,388
Closure104,5,3,-2
Closure105,56,38,-18
Closure106,2,2,0
Closure107,3,4,1
Closure108,40,19,-21
Closure109,59,19,-40
Closure110,81,33,-48
Closure111,22,134,112
Closure112,236,139,-97
Closure113,7,3,-4
Closure114,13,12,-1
Closure115,25,3,-22
Closure116,221,84,-137
Closure117,235,3,-232
Closure118,343,49,-294
Closure120,38,552,514
Closure121,7,28,21
Closure122,26,1,-25
Closure123,177,112,-65
Closure124,73,37,-36
Closure125,23,50,27
Closure126,17,1,-16
Closure127,16,15,-1
Closure128,4,4,0
Closure129,632,612,-20
Closure130,221,59,-162
Closure131,660,7,-653
Closure132,263,71,-192
Closure133,15,64,49
