Project,now,before,Difference
Chart1,55,42,-13
Chart2,56,51,-5
Chart3,10,12,2
Chart4,202,241,39
Chart5,10,8,-2
Chart6,30,29,-1
Chart7,-1,86,-1
Chart8,16,15,-1
Chart9,8,10,2
Chart10,1,1,0
Chart11,5,5,0
Chart12,-1,97,-1
Chart13,10,21,11
Chart14,9,8,-1
Chart15,18,16,-2
Chart16,5,5,0
Chart17,5,5,0
Chart18,6,5,-1
Chart19,1,1,0
Chart20,13,11,-2
Chart21,1,1,0
Chart22,5,5,0
Chart24,4,4,0
Chart25,4,3,-1
Chart26,-1,669,-1
Closure1,109,123,14
Closure2,7,10,3
Closure3,-1,1504,-1
Closure4,-1,4943,-1
Closure5,69,58,-11
Closure6,7,6,-1
Closure7,16,12,-4
Closure8,-1,2441,-1
Closure9,1,1,0
Closure10,-1,1685,-1
Closure11,-1,1827,-1
Closure12,-1,1888,-1
Closure13,-1,5541,-1
Closure14,67,38,-29
Closure15,74,61,-13
Closure16,150,169,19
Closure17,17,10,-7
Closure18,-1,1920,-1
Closure19,7,6,-1
Closure20,-1,2245,-1
Closure21,11,7,-4
Closure22,1,1,0
Closure23,69,67,-2
Closure24,3,3,0
Closure25,-1,2694,-1
Closure26,71,24,-47
Closure27,2,1,-1
Closure29,-1,2938,-1
Closure30,-1,1695,-1
Closure31,-1,713,-1
Closure32,46,50,4
Closure33,-1,2317,-1
Closure34,35,28,-7
Closure35,36,26,-10
Closure36,-1,5948,-1
Closure37,-1,716,-1
Closure38,-1,147,-1
Closure39,7,4,-3
Closure40,-1,3814,-1
Closure41,-1,4104,-1
Closure42,6,11,5
Closure43,-1,2729,-1
Closure44,-1,884,-1
Closure45,-1,1681,-1
Closure46,4,2,-2
Closure47,-1,243,-1
Closure48,132,178,46
Closure49,141,99,-42
Closure50,80,64,-16
Closure51,23,17,-6
Closure52,5,7,2
Closure53,-1,3126,-1
Closure54,86,71,-15
Closure55,-1,1195,-1
Closure56,1,1,0
Closure57,4,4,0
Closure58,13,14,1
Closure59,-1,3588,-1
Closure60,2,2,0
Closure61,-1,1118,-1
Closure62,1,1,0
