Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,275,42,-233
Chart2,org.jfree.data.general.DatasetUtilities#755,113,79,-34
Chart2,org.jfree.data.general.DatasetUtilities#757,107,51,-56
Chart2,org.jfree.data.general.DatasetUtilities#758,333,333,0
Chart2,org.jfree.data.general.DatasetUtilities#761,334,334,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,130,153,23
Chart2,org.jfree.data.general.DatasetUtilities#1243,145,154,9
Chart2,org.jfree.data.general.DatasetUtilities#1245,514,514,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,515,515,0
Chart3,org.jfree.data.time.TimeSeries#1056,93,13,-80
Chart3,org.jfree.data.time.TimeSeries#1057,38,12,-26
Chart4,org.jfree.chart.plot.XYPlot#4493,535,241,-294
Chart5,org.jfree.data.xy.XYSeries#548,39,8,-31
Chart6,org.jfree.chart.util.ShapeList#111,41,29,-12
Chart7,org.jfree.data.time.TimePeriodValues#300,119,86,-33
Chart7,org.jfree.data.time.TimePeriodValues#302,117,87,-30
Chart8,org.jfree.data.time.Week#175,38,15,-23
Chart9,org.jfree.data.time.TimeSeries#944,53,10,-43
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,1,-2
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,5,-3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,487,97,-390
Chart13,org.jfree.chart.block.BorderArrangement#454,101,21,-80
Chart14,org.jfree.chart.plot.XYPlot#2293,244,8,-236
Chart14,org.jfree.chart.plot.XYPlot#2529,84,29,-55
Chart14,org.jfree.chart.plot.CategoryPlot#2166,110,442,332
Chart14,org.jfree.chart.plot.CategoryPlot#2448,149,16,-133
Chart15,org.jfree.chart.plot.PiePlot#1379,5301,5301,0
Chart15,org.jfree.chart.plot.PiePlot#2051,470,16,-454
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,15,13,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,13,11,-2
