Project,MinRank1,MinRank2,Difference
Chart1,275,42,-233
Chart2,107,51,-56
Chart3,38,12,-26
Chart4,535,241,-294
Chart5,39,8,-31
Chart6,41,29,-12
Chart7,117,86,-31
Chart8,38,15,-23
Chart9,53,10,-43
Chart10,3,1,-2
Chart11,8,5,-3
Chart12,487,97,-390
Chart13,101,21,-80
Chart14,84,8,-76
Chart15,470,16,-454
Chart16,13,5,-8
Chart17,54,5,-49
Chart18,24,5,-19
Chart19,297,1,-296
Chart20,26,11,-15
Chart21,29,1,-28
Chart22,22,5,-17
Chart24,11,4,-7
Chart25,465,3,-462
Chart26,2196,669,-1527
Closure1,3598,123,-3475
Closure2,618,10,-608
Closure3,272,1504,1232
Closure4,4346,4943,597
Closure5,2386,58,-2328
Closure6,1763,6,-1757
Closure7,965,12,-953
Closure8,355,2441,2086
Closure9,11,1,-10
Closure10,1468,1685,217
Closure11,147,1827,1680
Closure12,695,1888,1193
Closure13,558,5541,4983
Closure14,2655,38,-2617
Closure15,2702,61,-2641
Closure16,887,169,-718
Closure17,2506,10,-2496
Closure18,2219,1920,-299
Closure19,1877,6,-1871
Closure20,1001,2245,1244
Closure21,305,7,-298
Closure22,123,1,-122
Closure23,2078,67,-2011
Closure24,2233,3,-2230
Closure25,1252,2694,1442
Closure26,3822,24,-3798
Closure27,27,1,-26
Closure29,5983,2938,-3045
Closure30,1302,1695,393
Closure31,1425,713,-712
Closure32,841,50,-791
Closure33,1752,2317,565
Closure34,58,28,-30
Closure35,3122,26,-3096
Closure36,3491,5948,2457
Closure37,251,716,465
Closure38,565,147,-418
Closure39,247,4,-243
Closure40,1925,3814,1889
Closure41,1921,4104,2183
Closure42,115,11,-104
Closure43,3573,2729,-844
Closure44,244,884,640
Closure45,2490,1681,-809
Closure46,37,2,-35
Closure47,1102,243,-859
Closure48,1587,178,-1409
Closure49,298,99,-199
Closure50,1655,64,-1591
Closure51,572,17,-555
Closure52,233,7,-226
Closure53,2124,3126,1002
Closure54,2071,71,-2000
Closure55,1142,1195,53
Closure56,111,1,-110
Closure57,659,4,-655
Closure58,1055,14,-1041
Closure59,6820,3588,-3232
Closure60,4054,2,-4052
Closure61,1145,1118,-27
Closure62,23,1,-22
Closure63,25,1,-24
Closure64,1269,1345,76
Closure65,728,1,-727
Closure66,2783,2785,2
Closure67,1229,2399,1170
Closure68,746,7,-739
Closure69,2116,189,-1927
Closure70,2010,597,-1413
Closure71,1767,3280,1513
Closure72,2713,1608,-1105
Closure73,1189,9,-1180
Closure74,1315,37,-1278
Closure75,419,1,-418
Closure76,990,48,-942
Closure77,280,36,-244
Closure78,1599,3,-1596
Closure79,1087,16,-1071
Closure80,606,7,-599
Closure81,175,4,-171
Closure82,2274,258,-2016
Closure83,113,74,-39
Closure84,45,9,-36
Closure85,459,66,-393
Closure86,1402,13,-1389
Closure87,1131,788,-343
Closure88,6462,55,-6407
Closure89,2219,55,-2164
Closure90,2144,582,-1562
Closure91,2167,1939,-228
Closure92,1984,2107,123
Closure93,1984,2157,173
Closure94,745,4,-741
Closure95,2190,2135,-55
Closure96,1087,37,-1050
Closure97,683,35,-648
Closure98,1151,752,-399
Closure99,344,66,-278
Closure100,924,38,-886
Closure101,1345,3976,2631
Closure102,1365,3147,1782
Closure103,671,20,-651
Closure104,297,9,-288
Closure105,999,42,-957
Closure106,643,27,-616
Closure107,1526,69,-1457
Closure108,628,53,-575
Closure109,687,5,-682
Closure110,1348,35,-1313
Closure111,255,4,-251
Closure112,2723,65,-2658
Closure113,1228,8,-1220
Closure114,1842,90,-1752
Closure115,2707,7,-2700
Closure116,3102,46,-3056
Closure117,5014,153,-4861
Closure118,4259,5618,1359
Closure120,110,2243,2133
Closure121,794,90,-704
Closure122,927,3,-924
Closure123,1074,98,-976
Closure124,1339,18,-1321
Closure125,2168,95,-2073
Closure126,1277,2582,1305
Closure127,1474,2062,588
Closure128,544,2,-542
Closure129,3255,6780,3525
Closure130,3319,3664,345
Closure131,2856,84,-2772
Closure132,2401,1938,-463
Closure133,161,1322,1161
Lang1,7,3,-4
Lang2,10,18,8
Lang3,2,5,3
Lang4,12,5,-7
Lang5,4,1,-3
Lang6,48,72,24
Lang7,10,23,13
Lang8,89,11,-78
Lang9,140,62,-78
Lang10,82,34,-48
Lang11,10,1,-9
Lang12,6,6,0
Lang13,24,4,-20
Lang14,2,1,-1
Lang15,188,249,61
Lang16,89,8,-81
Lang17,3,19,16
Lang18,172,46,-126
Lang19,8,9,1
Lang20,37,4,-33
Lang21,2,1,-1
Lang22,57,27,-30
Lang24,153,153,0
Lang26,83,12,-71
Lang27,53,27,-26
Lang28,31,1,-30
Lang30,1,2,1
Lang31,1,5,4
Lang32,10,4,-6
Lang33,692,692,0
Lang34,269,74,-195
Lang35,2,1,-1
Lang36,102,91,-11
Lang37,1,4,3
Lang38,69,1,-68
Lang39,48,38,-10
Lang40,1,2,1
Lang41,2,6,4
Lang42,83,3,-80
Lang43,10,6,-4
Lang44,13,5,-8
Lang45,18,1,-17
Lang46,4,1,-3
Lang47,19,23,4
Lang48,8,2,-6
Lang49,29,2,-27
Lang50,77,12,-65
Lang53,123,123,0
Lang54,7,1,-6
Lang55,15,9,-6
Lang57,2,1,-1
Lang58,12,27,15
Lang59,12,1,-11
Lang60,63,6,-57
Lang61,50,27,-23
Lang62,63,6,-57
Lang63,7,2,-5
Lang64,17,1,-16
Lang65,1,6,5
Math1,457,6,-451
Math2,78,71,-7
Math3,14,7,-7
Math4,138,2,-136
Math5,2,2,0
Math6,81,285,204
Math7,505,46,-459
Math8,104,3,-101
Math9,69,3,-66
Math10,303,11,-292
Math11,397,60,-337
Math13,183,188,5
Math14,146,43,-103
Math15,578,2,-576
Math16,315,4,-311
Math17,158,508,350
Math18,668,3,-665
Math19,47,18,-29
Math20,60,453,393
Math21,38,6,-32
Math22,35,1,-34
Math23,8,41,33
Math24,33,71,38
Math25,42,2,-40
Math26,48,24,-24
Math27,7,2,-5
Math28,126,22,-104
Math29,23,3,-20
Math30,308,24,-284
Math31,122,81,-41
Math32,318,64,-254
Math33,364,51,-313
Math34,33,1,-32
Math35,12,6,-6
Math36,3,1,-2
Math37,62,1,-61
Math38,52,2,-50
Math39,63,462,399
Math40,135,131,-4
Math41,100,14,-86
Math42,125,331,206
Math43,222,96,-126
Math44,115,13,-102
Math45,4,1,-3
Math46,16,1,-15
Math47,21,1,-20
Math48,735,687,-48
Math49,270,5,-265
Math50,171,1,-170
Math51,102,29,-73
Math52,151,9,-142
Math53,6,2,-4
Math54,315,11,-304
Math55,36,1,-35
Math56,6,5,-1
Math57,57,8,-49
Math58,191,128,-63
Math59,919,1,-918
Math60,135,17,-118
Math61,278,590,312
Math62,315,325,10
Math63,8,1,-7
Math64,36,105,69
Math65,43,70,27
Math66,25,162,137
Math67,60,173,113
Math68,53,83,30
Math69,109,64,-45
Math70,11,1,-10
Math71,99,2,-97
