Project,now,before,Difference
Chart1,241,42,-199
Chart2,138,92,-46
Chart3,6,3,-3
Chart4,491,165,-326
Chart5,9,8,-1
Chart6,55,57,2
Chart7,116,81,-35
Chart8,14,1,-13
Chart9,6,14,8
Chart10,3,3,0
Chart11,8,5,-3
Chart12,88,13,-75
Chart13,17,47,30
Chart14,8,15,7
Chart15,49,29,-20
Chart16,1,1,0
Chart17,2,2,0
Chart18,8,3,-5
Chart19,4,1,-3
Chart20,17,5,-12
Chart21,2,3,1
Chart22,25,51,26
Chart24,4,3,-1
Chart25,2627,2745,118
Chart26,141,134,-7
Closure1,3229,122,-3107
Closure2,286,96,-190
Closure3,278,279,1
Closure4,3959,168,-3791
Closure5,1840,154,-1686
Closure6,1,1,0
Closure7,1,2,1
Closure8,306,123,-183
Closure9,1,1,0
Closure10,1333,264,-1069
Closure11,209,2712,2503
Closure12,857,1081,224
Closure13,754,5651,4897
Closure14,2,1,-1
Closure15,1422,185,-1237
Closure16,89,93,4
Closure17,1157,114,-1043
Closure18,2593,1805,-788
Closure19,10,9,-1
Closure20,17,2,-15
Closure21,332,15,-317
Closure22,5,14,9
Closure23,10,8,-2
Closure24,1,1,0
Closure25,107,107,0
Closure26,21,11,-10
Closure27,5,3,-2
Closure29,4812,357,-4455
Closure30,1029,220,-809
Closure31,1982,1492,-490
Closure32,31,30,-1
Closure33,1784,573,-1211
Closure34,383,199,-184
Closure35,22,6,-16
Closure36,2509,1062,-1447
Closure37,449,967,518
Closure38,1073,284,-789
Closure39,178,73,-105
Closure40,1073,120,-953
Closure41,2043,902,-1141
Closure42,1,1,0
Closure43,3528,465,-3063
Closure44,496,571,75
Closure45,2445,280,-2165
Closure46,1,1,0
Closure47,663,274,-389
Closure48,1630,2192,562
Closure49,357,1090,733
Closure50,114,76,-38
Closure51,1116,274,-842
Closure52,366,138,-228
Closure53,991,47,-944
Closure54,485,31,-454
Closure55,992,329,-663
Closure56,55,50,-5
Closure57,847,50,-797
Closure58,5,7,2
Closure59,7343,5974,-1369
Closure60,2501,26,-2475
Closure61,1241,115,-1126
Closure62,1,4,3
Closure63,1,4,3
Closure64,1481,1556,75
Closure65,1543,283,-1260
Closure66,3332,2784,-548
Closure67,1323,223,-1100
Closure68,4,3,-1
Closure69,2328,2398,70
Closure70,2232,2674,442
Closure71,1932,390,-1542
Closure72,2694,241,-2453
Closure73,1851,1355,-496
Closure74,537,38,-499
Closure75,393,9,-384
Closure76,604,114,-490
Closure77,460,1329,869
Closure78,2,1,-1
Closure79,48,45,-3
Closure80,486,58,-428
Closure81,251,137,-114
Closure82,2541,599,-1942
Closure83,86,10,-76
Closure84,64,172,108
Closure85,219,162,-57
Closure86,1,1,0
Closure87,999,150,-849
Closure88,69,69,0
Closure89,2212,159,-2053
Closure90,628,46,-582
Closure91,1799,284,-1515
Closure92,540,85,-455
Closure93,541,85,-456
Closure94,1,1,0
Closure95,2094,1640,-454
Closure96,1150,424,-726
Closure97,13,1,-12
Closure98,1089,425,-664
Closure99,51,17,-34
Closure100,106,38,-68
Closure101,1608,2775,1167
Closure102,2428,4752,2324
Closure103,553,290,-263
Closure104,65,13,-52
Closure105,42,7,-35
Closure106,145,113,-32
Closure107,1050,132,-918
Closure108,506,237,-269
Closure109,601,33,-568
Closure110,6,2,-4
Closure111,1,1,0
Closure112,404,89,-315
Closure113,172,17,-155
Closure114,1630,215,-1415
Closure115,25,8,-17
Closure116,1361,10,-1351
Closure117,4918,280,-4638
Closure118,5,2,-3
Closure120,112,287,175
Closure121,693,388,-305
Closure122,10,9,-1
Closure123,1258,222,-1036
Closure124,234,10,-224
Closure125,2246,564,-1682
Closure126,33,5,-28
Closure127,666,194,-472
Closure128,758,139,-619
Closure129,3324,2329,-995
Closure130,2887,545,-2342
Closure131,2954,340,-2614
Closure132,311,80,-231
Closure133,160,597,437
Lang1,3,3,0
Lang2,3,3,0
Lang3,2,3,1
Lang4,3,2,-1
Lang5,1,1,0
Lang6,59,98,39
Lang7,14,122,108
Lang8,14,6,-8
Lang9,116,84,-32
Lang10,51,42,-9
Lang11,7,3,-4
Lang12,6,4,-2
Lang13,4,5,1
Lang14,2,4,2
Lang15,54,12,-42
Lang16,55,27,-28
Lang17,5,102,97
Lang18,77,41,-36
Lang19,11,8,-3
Lang20,15,8,-7
Lang21,1,2,1
Lang22,29,26,-3
Lang24,58,64,6
Lang26,81,7,-74
Lang27,137,127,-10
Lang28,4,3,-1
Lang30,1,8,7
Lang31,1,4,3
Lang32,9,26,17
Lang33,6,7,1
Lang34,186,53,-133
Lang35,1,2,1
Lang36,49,42,-7
Lang37,1,6,5
Lang38,2,3,1
Lang39,48,27,-21
Lang40,1,2,1
Lang41,6,6,0
Lang42,14,13,-1
Lang43,2,6,4
Lang44,13,3,-10
Lang45,17,10,-7
Lang46,2,1,-1
Lang47,6,5,-1
Lang48,2,2,0
Lang49,4,1,-3
Lang50,37,15,-22
Lang53,36,16,-20
Lang54,2,3,1
Lang55,12,7,-5
Lang57,2,6,4
Lang58,12,20,8
Lang59,6,6,0
Lang60,4,2,-2
Lang61,11,8,-3
Lang62,5,4,-1
Lang63,1,1,0
Lang64,4,4,0
Lang65,6,7,1
Math1,27,11,-16
Math2,66,44,-22
Math3,14,3,-11
Math4,10,17,7
Math5,1,1,0
Math6,87,64,-23
Math7,50,42,-8
Math8,3,4,1
Math9,3,1,-2
Math10,15,12,-3
Math11,139,31,-108
Math13,186,159,-27
Math14,157,99,-58
Math15,294,211,-83
Math16,214,214,0
Math17,147,258,111
Math18,107,14,-93
Math19,54,56,2
Math20,92,598,506
Math21,41,41,0
Math22,1,1,0
Math23,44,148,104
Math24,66,150,84
Math25,2,1,-1
Math26,54,38,-16
Math27,1,1,0
Math28,54,12,-42
Math29,1,6,5
Math30,85,41,-44
Math31,134,101,-33
Math32,5,4,-1
Math33,337,44,-293
Math34,3,3,0
Math35,6,3,-3
Math36,1,2,1
Math37,12,13,1
Math38,2,5,3
Math39,71,117,46
Math40,130,33,-97
Math41,42,43,1
Math42,53,72,19
Math43,166,52,-114
Math44,99,14,-85
Math45,2,1,-1
Math46,1,1,0
Math47,2,2,0
Math48,638,355,-283
Math49,8,7,-1
Math50,1,1,0
Math51,104,30,-74
Math52,12,22,10
Math53,2,1,-1
Math54,338,306,-32
Math55,1,1,0
Math56,1,20,19
Math57,6,4,-2
Math58,326,545,219
Math59,2,2,0
Math60,97,36,-61
Math61,1,1,0
Math62,315,128,-187
Math63,6,1,-5
Math64,155,143,-12
Math65,7,41,34
Math66,11,37,26
Math67,16,8,-8
Math68,131,127,-4
Math69,60,44,-16
Math70,1,1,0
Math71,1,1,0
Math72,3,1,-2
Math73,2,1,-1
Math74,698,777,79
Math75,1,1,0
Math76,347,99,-248
Math77,2,19,17
Math78,44,117,73
Math79,33,29,-4
Math80,6,14,8
Math81,7,10,3
Math82,223,151,-72
Math83,39,40,1
Math84,26,34,8
Math85,83,77,-6
Math86,104,71,-33
Math87,86,115,29
Math88,1,1,0
Math89,1,1,0
Math90,6,3,-3
Math91,1,1,0
Math92,2,2,0
Math93,3,2,-1
Math94,14,6,-8
Math95,8,15,7
Math96,18,5,-13
Math97,1,1,0
Math98,9,4,-5
Math99,1,4,3
Math100,15,9,-6
Math101,6,12,6
Math102,3,3,0
Math103,52,32,-20
Math105,17,25,8
Math106,4,10,6
Mockito1,1,2,1
Mockito2,4,3,-1
Mockito3,1,1,0
Mockito4,55,24,-31
Mockito5,-1,4060,-1
Mockito6,2,2,0
Mockito7,123,50,-73
Mockito8,34,31,-3
Mockito9,-1,1827,-1
Mockito10,18,12,-6
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,458,85,-373
Mockito14,131,96,-35
Mockito15,331,178,-153
Mockito16,22,4,-18
Mockito17,5,4,-1
Mockito18,8,5,-3
Mockito19,62,12,-50
Mockito20,568,71,-497
Mockito21,1,1,0
Mockito22,164,11,-153
Mockito23,403,317,-86
Mockito24,2,10,8
Mockito25,125,61,-64
Mockito27,179,42,-137
Mockito28,434,198,-236
Mockito29,41,31,-10
Mockito30,2,1,-1
Mockito31,1,2,1
Mockito32,3,2,-1
Mockito33,202,82,-120
Mockito34,420,51,-369
Mockito35,2,1,-1
Mockito36,4,4,0
Mockito37,70,4,-66
Mockito38,5,2,-3
Time1,118,2,-116
Time2,6,3,-3
Time3,2,1,-1
Time4,771,30,-741
Time5,11,2,-9
Time6,1,3,2
Time7,636,16,-620
Time8,105,24,-81
Time9,122,3,-119
Time10,594,191,-403
Time11,498,448,-50
Time12,94,21,-73
Time13,230,19,-211
Time14,5,5,0
Time15,2,2,0
Time16,8,7,-1
Time17,2,5,3
Time18,468,3,-465
Time19,563,620,57
Time20,266,1399,1133
Time21,535,33,-502
Time22,188,16,-172
Time23,160,41,-119
Time24,825,466,-359
Time25,170,276,106
Time26,1608,317,-1291
Time27,536,346,-190
