Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,45,42,-3
Chart2,org.jfree.data.general.DatasetUtilities#755,97,102,5
Chart2,org.jfree.data.general.DatasetUtilities#757,96,104,8
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,91,92,1
Chart2,org.jfree.data.general.DatasetUtilities#1243,95,93,-2
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,9,3,-6
Chart3,org.jfree.data.time.TimeSeries#1057,6,4,-2
Chart4,org.jfree.chart.plot.XYPlot#4493,131,165,34
Chart5,org.jfree.data.xy.XYSeries#548,8,8,0
Chart6,org.jfree.chart.util.ShapeList#111,53,57,4
Chart7,org.jfree.data.time.TimePeriodValues#300,118,81,-37
Chart7,org.jfree.data.time.TimePeriodValues#302,116,82,-34
Chart8,org.jfree.data.time.Week#175,15,1,-14
Chart9,org.jfree.data.time.TimeSeries#944,6,14,8
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,5,-3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,36,13,-23
Chart13,org.jfree.chart.block.BorderArrangement#454,17,47,30
Chart14,org.jfree.chart.plot.XYPlot#2293,22,28,6
Chart14,org.jfree.chart.plot.XYPlot#2529,6,35,29
Chart14,org.jfree.chart.plot.CategoryPlot#2166,8,15,7
Chart14,org.jfree.chart.plot.CategoryPlot#2448,10,22,12
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,33,29,-4
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,41,37,-4
Chart17,org.jfree.data.time.TimeSeries#857,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#318,8,3,-5
Chart18,org.jfree.data.DefaultKeyedValues#335,9,9,0
Chart18,org.jfree.data.DefaultKeyedValues2D#455,15,10,-5
Chart18,org.jfree.data.DefaultKeyedValues2D#458,12,13,1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,13,15,2
Chart19,org.jfree.chart.plot.CategoryPlot#698,6,1,-5
Chart19,org.jfree.chart.plot.CategoryPlot#973,4,2,-2
Chart20,org.jfree.chart.plot.ValueMarker#95,8,5,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,59,80,21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,112,81,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,118,82,-36
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,85,83,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,106,84,-22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,72,85,13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,117,86,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,107,87,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,61,88,27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,67,89,22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,23,24,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,2,3,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,4,4,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,3,5,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,110,90,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,98,91,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,69,92,23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,91,93,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,12,12,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,10,13,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,8,14,6
Chart22,org.jfree.data.KeyedObjects2D#231,52,65,13
Chart22,org.jfree.data.KeyedObjects2D#233,56,67,11
Chart22,org.jfree.data.KeyedObjects2D#378,24,51,27
Chart22,org.jfree.data.KeyedObjects2D#345,78,88,10
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,11,3,-8
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2610,2745,135
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,2761,2764,3
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2857,2956,99
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2741,2937,196
Chart26,org.jfree.chart.axis.Axis#1192,129,134,5
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,102,122,20
Closure2,com.google.javascript.jscomp.TypeCheck#1574,87,96,9
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,492,438,-54
