Project,MinRank1,MinRank2,Difference
Chart1,45,42,-3
Chart2,91,92,1
Chart3,6,3,-3
Chart4,131,165,34
Chart5,8,8,0
Chart6,53,57,4
Chart7,116,81,-35
Chart8,15,1,-14
Chart9,6,14,8
Chart10,3,3,0
Chart11,8,5,-3
Chart12,36,13,-23
Chart13,17,47,30
Chart14,6,15,9
Chart15,33,29,-4
Chart16,1,1,0
Chart17,2,2,0
Chart18,8,3,-5
Chart19,4,1,-3
Chart20,8,5,-3
Chart21,2,3,1
Chart22,24,51,27
Chart24,11,3,-8
Chart25,2610,2745,135
Chart26,129,134,5
Closure1,102,122,20
Closure2,87,96,9
Closure3,257,279,22
Closure4,250,168,-82
Closure5,158,154,-4
Closure6,1,1,0
Closure7,1,2,1
Closure8,114,123,9
Closure9,1,1,0
Closure10,238,264,26
Closure11,1267,2712,1445
Closure12,898,1081,183
Closure13,4926,5651,725
Closure14,2,1,-1
Closure15,174,185,11
Closure16,81,93,12
Closure17,122,114,-8
Closure18,1641,1805,164
Closure19,9,9,0
Closure20,17,2,-15
Closure21,15,15,0
Closure22,7,14,7
Closure23,10,8,-2
Closure24,1,1,0
Closure25,97,107,10
Closure26,21,11,-10
Closure27,5,3,-2
Closure29,363,357,-6
Closure30,193,220,27
Closure31,1346,1492,146
Closure32,29,30,1
Closure33,549,573,24
Closure34,202,199,-3
Closure35,6,6,0
Closure36,1001,1062,61
Closure37,798,967,169
Closure38,285,284,-1
Closure39,65,73,8
Closure40,118,120,2
Closure41,1280,902,-378
Closure42,1,1,0
Closure43,587,465,-122
Closure44,541,571,30
Closure45,479,280,-199
Closure46,1,1,0
Closure47,269,274,5
Closure48,1510,2192,682
Closure49,1029,1090,61
Closure50,85,76,-9
Closure51,275,274,-1
Closure52,121,138,17
Closure53,46,47,1
Closure54,37,31,-6
Closure55,325,329,4
Closure56,36,50,14
Closure57,53,50,-3
Closure58,5,7,2
Closure59,6230,5974,-256
Closure60,35,26,-9
Closure61,109,115,6
Closure62,1,4,3
Closure63,1,4,3
Closure64,1506,1556,50
Closure65,276,283,7
Closure66,3256,2784,-472
Closure67,252,223,-29
Closure68,4,3,-1
Closure69,2345,2398,53
Closure70,2739,2674,-65
Closure71,392,390,-2
Closure72,412,241,-171
Closure73,1536,1355,-181
Closure74,38,38,0
Closure75,13,9,-4
Closure76,106,114,8
Closure77,874,1329,455
Closure78,2,1,-1
Closure79,32,45,13
Closure80,57,58,1
Closure81,136,137,1
Closure82,782,599,-183
Closure83,10,10,0
Closure84,145,172,27
Closure85,143,162,19
Closure86,1,1,0
Closure87,144,150,6
Closure88,71,69,-2
Closure89,319,159,-160
Closure90,49,46,-3
Closure91,1051,284,-767
Closure92,86,85,-1
Closure93,86,85,-1
Closure94,1,1,0
Closure95,1983,1640,-343
Closure96,413,424,11
Closure97,13,1,-12
Closure98,414,425,11
Closure99,37,17,-20
Closure100,44,38,-6
Closure101,2351,2775,424
Closure102,4629,4752,123
Closure103,251,290,39
Closure104,9,13,4
Closure105,42,7,-35
Closure106,94,113,19
Closure107,143,132,-11
Closure108,204,237,33
Closure109,34,33,-1
Closure110,6,2,-4
Closure111,1,1,0
Closure112,88,89,1
Closure113,8,17,9
Closure114,188,215,27
Closure115,8,8,0
Closure116,12,10,-2
Closure117,459,280,-179
Closure118,6,2,-4
Closure120,184,287,103
Closure121,350,388,38
Closure122,10,9,-1
Closure123,225,222,-3
Closure124,9,10,1
Closure125,607,564,-43
Closure126,34,5,-29
Closure127,191,194,3
Closure128,141,139,-2
Closure129,2590,2329,-261
Closure130,859,545,-314
Closure131,1621,340,-1281
Closure132,88,80,-8
Closure133,577,597,20
Lang1,3,3,0
Lang2,3,3,0
Lang3,1,3,2
Lang4,13,2,-11
Lang5,4,1,-3
Lang6,67,98,31
Lang7,13,122,109
Lang8,7,6,-1
Lang9,107,84,-23
Lang10,43,42,-1
Lang11,9,3,-6
Lang12,6,4,-2
Lang13,4,5,1
Lang14,2,4,2
Lang15,34,12,-22
