Project,now,before,Difference
Chart1,233,42,-191
Chart2,128,92,-36
Chart3,6,3,-3
Chart4,271,179,-92
Chart5,9,8,-1
Chart6,57,104,47
Chart7,116,81,-35
Chart8,14,1,-13
Chart9,6,14,8
Chart10,3,3,0
Chart11,8,5,-3
Chart12,95,13,-82
Chart13,17,47,30
Chart14,1,6,5
Chart15,75,29,-46
Chart16,2,1,-1
Chart17,2,2,0
Chart18,9,3,-6
Chart19,4,1,-3
Chart20,17,5,-12
Chart21,2,3,1
Chart22,9,12,3
Chart24,4,3,-1
Chart25,2543,2640,97
Chart26,103,134,31
Closure1,2313,619,-1694
Closure2,114,66,-48
Closure3,231,279,48
Closure4,3927,191,-3736
Closure5,1720,154,-1566
Closure6,1,1,0
Closure7,1,2,1
Closure8,278,123,-155
Closure9,1,1,0
Closure10,996,221,-775
Closure11,186,1147,961
Closure12,858,1081,223
Closure13,763,5651,4888
Closure14,8,4,-4
Closure15,1274,185,-1089
Closure16,177,200,23
Closure17,720,86,-634
Closure18,2645,2060,-585
Closure19,1,1,0
Closure20,17,2,-15
Closure21,39,6,-33
Closure22,2,4,2
Closure23,10,8,-2
Closure24,1,1,0
Closure25,113,107,-6
Closure26,22,5,-17
Closure27,5,3,-2
Closure29,3087,432,-2655
Closure30,863,242,-621
Closure31,2066,1664,-402
Closure32,44,35,-9
Closure33,1731,510,-1221
Closure34,396,230,-166
Closure35,117,6,-111
Closure36,2379,1062,-1317
Closure37,473,1226,753
Closure38,1093,345,-748
Closure39,77,21,-56
Closure40,759,120,-639
Closure41,2026,695,-1331
Closure42,1,1,0
Closure43,3514,506,-3008
Closure44,518,778,260
Closure45,2430,280,-2150
Closure46,1,1,0
Closure47,350,338,-12
Closure48,1617,389,-1228
Closure49,652,1260,608
Closure50,152,88,-64
Closure51,1126,326,-800
Closure52,298,116,-182
Closure53,878,47,-831
Closure54,1101,55,-1046
Closure55,949,329,-620
Closure56,97,65,-32
Closure57,415,25,-390
Closure58,6,7,1
Closure59,7539,6779,-760
Closure60,916,19,-897
Closure61,1097,138,-959
Closure62,1,4,3
Closure63,1,4,3
Closure64,1568,1484,-84
Closure65,747,78,-669
Closure66,3370,2743,-627
Closure67,1224,281,-943
Closure68,4,3,-1
Closure69,2342,1006,-1336
Closure70,2266,2011,-255
Closure71,1594,284,-1310
Closure72,2671,241,-2430
Closure73,1850,305,-1545
Closure74,403,117,-286
Closure75,93,8,-85
Closure76,355,136,-219
Closure77,471,306,-165
Closure78,2,1,-1
Closure79,109,51,-58
Closure80,202,13,-189
Closure81,264,173,-91
Closure82,2579,1092,-1487
Closure83,81,10,-71
Closure84,68,195,127
Closure85,212,164,-48
Closure86,2,2,0
Closure87,971,150,-821
Closure88,70,69,-1
Closure89,1705,164,-1541
Closure90,624,46,-578
Closure91,1789,284,-1505
Closure92,502,85,-417
Closure93,503,85,-418
Closure94,2,4,2
Closure95,2165,1764,-401
Closure96,1144,247,-897
Closure97,13,1,-12
Closure98,1089,425,-664
Closure99,50,19,-31
Closure100,10,7,-3
Closure101,1634,2775,1141
Closure102,2579,4752,2173
Closure103,507,289,-218
Closure104,77,13,-64
Closure105,42,7,-35
Closure106,43,105,62
Closure107,968,132,-836
Closure108,538,237,-301
Closure109,556,33,-523
Closure110,9,2,-7
Closure111,1,1,0
Closure112,1167,109,-1058
Closure113,281,17,-264
Closure114,1630,215,-1415
Closure115,8,8,0
Closure116,839,30,-809
Closure117,4816,225,-4591
Closure118,6,2,-4
Closure120,86,239,153
Closure121,690,388,-302
Closure122,38,9,-29
Closure123,1099,159,-940
Closure124,225,10,-215
Closure125,2164,396,-1768
Closure126,33,5,-28
Closure127,290,210,-80
Closure128,562,102,-460
Closure129,3495,3293,-202
Closure130,2885,545,-2340
Closure131,2952,300,-2652
Closure132,335,80,-255
Closure133,183,516,333
Lang1,3,3,0
Lang2,3,3,0
Lang3,1,3,2
Lang4,3,2,-1
Lang5,3,1,-2
Lang6,59,98,39
Lang7,15,122,107
Lang8,11,6,-5
Lang9,226,142,-84
Lang10,98,56,-42
Lang11,7,3,-4
Lang12,6,5,-1
Lang13,4,5,1
Lang14,2,4,2
Lang15,197,191,-6
Lang16,56,27,-29
Lang17,5,102,97
Lang18,86,41,-45
Lang19,7,8,1
Lang20,16,8,-8
Lang21,1,2,1
Lang22,41,31,-10
Lang24,60,64,4
Lang26,81,7,-74
Lang27,140,127,-13
Lang28,4,3,-1
Lang30,1,8,7
Lang31,1,4,3
Lang32,9,26,17
Lang33,6,7,1
Lang34,153,64,-89
Lang35,1,2,1
Lang36,57,42,-15
Lang37,1,6,5
Lang38,2,3,1
Lang39,48,27,-21
Lang40,1,2,1
Lang41,6,6,0
Lang42,16,13,-3
Lang43,2,6,4
Lang44,13,3,-10
Lang45,17,10,-7
Lang46,2,1,-1
Lang47,3,5,2
Lang48,2,2,0
Lang49,4,1,-3
Lang50,23,8,-15
Lang53,35,16,-19
Lang54,3,3,0
Lang55,12,7,-5
Lang57,2,6,4
Lang58,12,20,8
Lang59,6,6,0
Lang60,5,2,-3
Lang61,24,21,-3
Lang62,5,4,-1
Lang63,1,1,0
Lang64,5,4,-1
Lang65,6,7,1
Math1,20,8,-12
Math2,65,44,-21
Math3,14,3,-11
Math4,10,17,7
Math5,1,1,0
Math6,405,170,-235
Math7,71,42,-29
Math8,3,4,1
Math9,3,1,-2
Math10,18,12,-6
Math11,153,31,-122
Math13,186,159,-27
Math14,157,99,-58
Math15,277,211,-66
Math16,3,1,-2
Math17,131,89,-42
Math18,117,14,-103
Math19,54,56,2
Math20,81,598,517
Math21,42,41,-1
Math22,1,1,0
Math23,44,148,104
Math24,66,150,84
Math25,2,1,-1
Math26,53,38,-15
Math27,1,1,0
Math28,59,12,-47
Math29,1,6,5
Math30,107,41,-66
Math31,156,190,34
Math32,5,4,-1
Math33,326,44,-282
Math34,3,3,0
Math35,6,3,-3
Math36,1,2,1
Math37,5,6,1
Math38,2,5,3
Math39,71,117,46
Math40,125,33,-92
Math41,42,43,1
Math42,57,72,15
Math43,174,72,-102
Math44,117,14,-103
Math45,2,1,-1
Math46,1,1,0
Math47,2,2,0
Math48,624,355,-269
Math49,16,7,-9
Math50,1,1,0
Math51,102,30,-72
Math52,12,22,10
Math53,2,1,-1
Math54,229,136,-93
Math55,1,1,0
Math56,1,20,19
Math57,6,4,-2
Math58,322,545,223
Math59,2,2,0
Math60,94,36,-58
Math61,1,1,0
Math62,315,128,-187
Math63,6,1,-5
Math64,156,144,-12
Math65,7,41,34
Math66,26,54,28
Math67,16,8,-8
Math68,135,127,-8
Math69,59,44,-15
Math70,1,1,0
Math71,1,1,0
Math72,3,1,-2
Math73,2,1,-1
Math74,728,777,49
Math75,1,1,0
Math76,308,99,-209
Math77,2,19,17
Math78,44,117,73
Math79,33,29,-4
Math80,6,14,8
Math81,8,10,2
Math82,223,151,-72
Math83,43,40,-3
Math84,34,45,11
Math85,84,77,-7
Math86,134,75,-59
Math87,86,115,29
Math88,1,1,0
Math89,1,1,0
Math90,6,3,-3
Math91,1,1,0
Math92,2,2,0
Math93,3,2,-1
Math94,14,6,-8
Math95,13,15,2
Math96,18,5,-13
Math97,1,1,0
Math98,9,4,-5
Math99,1,4,3
Math100,21,9,-12
Math101,6,12,6
Math102,3,3,0
Math103,52,32,-20
Math105,17,25,8
Math106,4,10,6
Mockito1,1,2,1
Mockito2,13,8,-5
Mockito3,1,1,0
Mockito4,2,7,5
Mockito5,4060,4060,0
Mockito6,3,1,-2
Mockito7,121,50,-71
Mockito8,37,31,-6
Mockito9,1827,1827,0
Mockito10,20,12,-8
Mockito11,1,1,0
Mockito12,4,2,-2
Mockito13,482,85,-397
Mockito14,131,96,-35
Mockito15,339,178,-161
Mockito16,23,4,-19
Mockito17,5,4,-1
Mockito18,10,5,-5
Mockito19,109,12,-97
Mockito20,604,118,-486
Mockito21,1,1,0
Mockito22,164,11,-153
Mockito23,168,66,-102
Mockito24,1,1,0
Mockito25,72,63,-9
Mockito27,166,37,-129
Mockito28,434,198,-236
Mockito29,47,31,-16
Mockito30,2,1,-1
Mockito31,1,2,1
Mockito32,5,2,-3
Mockito33,216,197,-19
Mockito34,445,62,-383
Mockito35,3,1,-2
Mockito36,60,4,-56
Mockito37,138,4,-134
Mockito38,68,5,-63
Time1,111,2,-109
Time2,3,3,0
Time3,2,1,-1
Time4,734,30,-704
Time5,84,26,-58
Time6,2,4,2
Time7,516,17,-499
Time8,103,24,-79
Time9,114,3,-111
Time10,503,199,-304
Time11,500,448,-52
Time12,3,7,4
Time13,208,19,-189
Time14,5,5,0
Time15,2,2,0
Time16,8,7,-1
Time17,2,5,3
Time18,408,3,-405
Time19,533,620,87
Time20,323,556,233
Time21,114,33,-81
Time22,188,16,-172
