Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,45,42,-3
Chart2,org.jfree.data.general.DatasetUtilities#755,97,102,5
Chart2,org.jfree.data.general.DatasetUtilities#757,95,104,9
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,91,92,1
Chart2,org.jfree.data.general.DatasetUtilities#1243,96,93,-3
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,9,3,-6
Chart3,org.jfree.data.time.TimeSeries#1057,6,4,-2
Chart4,org.jfree.chart.plot.XYPlot#4493,158,179,21
Chart5,org.jfree.data.xy.XYSeries#548,8,8,0
Chart6,org.jfree.chart.util.ShapeList#111,88,104,16
Chart7,org.jfree.data.time.TimePeriodValues#300,118,81,-37
Chart7,org.jfree.data.time.TimePeriodValues#302,116,82,-34
Chart8,org.jfree.data.time.Week#175,15,1,-14
Chart9,org.jfree.data.time.TimeSeries#944,6,14,8
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,5,-3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,42,13,-29
Chart13,org.jfree.chart.block.BorderArrangement#454,17,47,30
Chart14,org.jfree.chart.plot.XYPlot#2293,14,19,5
Chart14,org.jfree.chart.plot.XYPlot#2529,1,26,25
Chart14,org.jfree.chart.plot.CategoryPlot#2166,4,6,2
Chart14,org.jfree.chart.plot.CategoryPlot#2448,5,13,8
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,33,29,-4
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,40,37,-3
Chart17,org.jfree.data.time.TimeSeries#857,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#318,10,3,-7
Chart18,org.jfree.data.DefaultKeyedValues#335,9,9,0
Chart18,org.jfree.data.DefaultKeyedValues2D#455,15,10,-5
Chart18,org.jfree.data.DefaultKeyedValues2D#458,12,13,1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,13,15,2
Chart19,org.jfree.chart.plot.CategoryPlot#698,6,1,-5
Chart19,org.jfree.chart.plot.CategoryPlot#973,4,2,-2
Chart20,org.jfree.chart.plot.ValueMarker#95,8,5,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,59,80,21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,113,81,-32
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,118,82,-36
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,86,83,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,106,84,-22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,72,85,13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,117,86,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,108,87,-21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,63,88,25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,67,89,22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,23,24,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,2,3,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,4,4,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,3,5,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,110,90,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,98,91,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,70,92,22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,91,93,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,13,12,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,11,13,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,8,14,6
Chart22,org.jfree.data.KeyedObjects2D#231,15,19,4
Chart22,org.jfree.data.KeyedObjects2D#233,24,21,-3
Chart22,org.jfree.data.KeyedObjects2D#378,2,12,10
Chart22,org.jfree.data.KeyedObjects2D#345,36,73,37
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,11,3,-8
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2370,2640,270
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,2757,2659,-98
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2792,2956,164
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2510,2937,427
Chart26,org.jfree.chart.axis.Axis#1192,88,134,46
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,430,619,189
Closure2,com.google.javascript.jscomp.TypeCheck#1574,40,66,26
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,494,441,-53
