Project,MinRank1,MinRank2,Difference
Chart1,45,42,-3
Chart2,91,92,1
Chart3,6,3,-3
Chart4,158,179,21
Chart5,8,8,0
Chart6,88,104,16
Chart7,116,81,-35
Chart8,15,1,-14
Chart9,6,14,8
Chart10,3,3,0
Chart11,8,5,-3
Chart12,42,13,-29
Chart13,17,47,30
Chart14,1,6,5
Chart15,33,29,-4
Chart16,2,1,-1
Chart17,2,2,0
Chart18,9,3,-6
Chart19,4,1,-3
Chart20,8,5,-3
Chart21,2,3,1
Chart22,2,12,10
Chart24,11,3,-8
Chart25,2370,2640,270
Chart26,88,134,46
Closure1,430,619,189
Closure2,40,66,26
Closure3,252,279,27
Closure4,283,191,-92
Closure5,158,154,-4
Closure6,1,1,0
Closure7,1,2,1
Closure8,113,123,10
Closure9,1,1,0
Closure10,200,221,21
Closure11,447,1147,700
Closure12,897,1081,184
Closure13,4923,5651,728
Closure14,5,4,-1
Closure15,172,185,13
Closure16,137,200,63
Closure17,80,86,6
Closure18,2044,2060,16
Closure19,2,1,-1
Closure20,17,2,-15
Closure21,9,6,-3
Closure22,2,4,2
Closure23,10,8,-2
Closure24,1,1,0
Closure25,97,107,10
Closure26,23,5,-18
Closure27,5,3,-2
Closure29,503,432,-71
Closure30,212,242,30
Closure31,1567,1664,97
Closure32,34,35,1
Closure33,483,510,27
Closure34,224,230,6
Closure35,6,6,0
Closure36,999,1062,63
Closure37,992,1226,234
Closure38,345,345,0
Closure39,19,21,2
Closure40,117,120,3
Closure41,861,695,-166
Closure42,1,1,0
Closure43,581,506,-75
Closure44,690,778,88
Closure45,482,280,-202
Closure46,1,1,0
Closure47,332,338,6
Closure48,365,389,24
Closure49,1220,1260,40
Closure50,99,88,-11
Closure51,332,326,-6
Closure52,99,116,17
Closure53,46,47,1
Closure54,64,55,-9
Closure55,323,329,6
Closure56,52,65,13
Closure57,27,25,-2
Closure58,6,7,1
Closure59,7818,6779,-1039
Closure60,36,19,-17
Closure61,146,138,-8
Closure62,1,4,3
Closure63,1,4,3
Closure64,1445,1484,39
Closure65,72,78,6
Closure66,3187,2743,-444
Closure67,326,281,-45
Closure68,4,3,-1
Closure69,997,1006,9
Closure70,2117,2011,-106
Closure71,250,284,34
Closure72,413,241,-172
Closure73,413,305,-108
Closure74,108,117,9
Closure75,7,8,1
Closure76,115,136,21
Closure77,289,306,17
Closure78,2,1,-1
Closure79,39,51,12
Closure80,12,13,1
Closure81,152,173,21
Closure82,1548,1092,-456
Closure83,10,10,0
Closure84,170,195,25
Closure85,136,164,28
Closure86,2,2,0
Closure87,144,150,6
Closure88,95,69,-26
Closure89,198,164,-34
Closure90,49,46,-3
Closure91,1067,284,-783
Closure92,86,85,-1
Closure93,86,85,-1
Closure94,2,4,2
Closure95,2177,1764,-413
Closure96,240,247,7
Closure97,13,1,-12
Closure98,414,425,11
Closure99,16,19,3
Closure100,10,7,-3
Closure101,2318,2775,457
Closure102,4629,4752,123
Closure103,248,289,41
Closure104,9,13,4
Closure105,42,7,-35
Closure106,43,105,62
Closure107,143,132,-11
Closure108,204,237,33
Closure109,34,33,-1
Closure110,6,2,-4
Closure111,1,1,0
Closure112,106,109,3
Closure113,8,17,9
Closure114,188,215,27
Closure115,8,8,0
Closure116,30,30,0
Closure117,262,225,-37
Closure118,11,2,-9
Closure120,142,239,97
Closure121,350,388,38
Closure122,10,9,-1
Closure123,171,159,-12
Closure124,12,10,-2
Closure125,392,396,4
Closure126,33,5,-28
Closure127,200,210,10
Closure128,106,102,-4
Closure129,3390,3293,-97
Closure130,861,545,-316
Closure131,592,300,-292
Closure132,88,80,-8
Closure133,416,516,100
Lang1,3,3,0
Lang2,3,3,0
Lang3,1,3,2
Lang4,13,2,-11
Lang5,4,1,-3
Lang6,67,98,31
Lang7,13,122,109
Lang8,11,6,-5
Lang9,165,142,-23
Lang10,78,56,-22
Lang11,9,3,-6
Lang12,6,5,-1
Lang13,4,5,1
Lang14,2,4,2
Lang15,166,191,25
Lang16,66,27,-39
Lang17,20,102,82
