Project,now,before,Difference
Chart1,47,42,-5
Chart2,95,92,-3
Chart3,6,3,-3
Chart4,163,171,8
Chart5,8,8,0
Chart6,55,57,2
Chart7,98,81,-17
Chart8,14,1,-13
Chart9,6,14,8
Chart10,3,3,0
Chart11,8,5,-3
Chart12,26,13,-13
Chart13,17,47,30
Chart14,1,6,5
Chart15,33,29,-4
Chart16,1,1,0
Chart17,2,2,0
Chart18,8,3,-5
Chart19,4,1,-3
Chart20,8,5,-3
Chart21,2,3,1
Chart22,3,12,9
Chart24,4,3,-1
Chart25,2520,2640,120
Chart26,135,134,-1
Closure1,230,240,10
Closure2,89,95,6
Closure3,269,279,10
Closure4,252,168,-84
Closure5,166,154,-12
Closure6,1,1,0
Closure7,1,2,1
Closure8,117,123,6
Closure9,1,1,0
Closure10,244,264,20
Closure11,472,2712,2240
Closure12,1004,1081,77
Closure13,3445,5651,2206
Closure14,4,3,-1
Closure15,187,185,-2
Closure16,107,111,4
Closure17,118,114,-4
Closure18,2220,1805,-415
Closure19,1,1,0
Closure20,17,2,-15
Closure21,11,7,-4
Closure22,2,2,0
Closure23,10,8,-2
Closure24,1,1,0
Closure25,107,107,0
Closure26,19,5,-14
Closure27,5,3,-2
Closure29,398,394,-4
Closure30,219,222,3
Closure31,1928,1492,-436
Closure32,37,35,-2
Closure33,797,573,-224
Closure34,311,199,-112
Closure35,6,6,0
Closure36,1057,1062,5
Closure37,792,967,175
Closure38,593,284,-309
Closure39,58,68,10
Closure40,120,120,0
Closure41,1813,902,-911
Closure42,1,1,0
Closure43,1273,465,-808
Closure44,601,571,-30
Closure45,670,280,-390
Closure46,1,1,0
Closure47,327,336,9
Closure48,1515,2192,677
Closure49,1169,1172,3
Closure50,93,88,-5
Closure51,592,274,-318
Closure52,122,138,16
Closure53,47,47,0
Closure54,40,39,-1
Closure55,338,329,-9
Closure56,50,59,9
Closure57,50,48,-2
Closure58,5,7,2
Closure59,7213,5974,-1239
Closure60,31,29,-2
Closure61,128,115,-13
Closure62,1,4,3
Closure63,1,4,3
Closure64,1744,1556,-188
Closure65,72,71,-1
Closure66,3626,2781,-845
Closure67,264,223,-41
Closure68,4,3,-1
Closure69,2777,2435,-342
Closure70,3070,2674,-396
Closure71,588,383,-205
Closure72,836,241,-595
Closure73,1828,1355,-473
Closure74,70,71,1
Closure75,8,8,0
Closure76,113,116,3
Closure77,668,1329,661
