Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,56,42,-14
Chart2,org.jfree.data.general.DatasetUtilities#755,102,102,0
Chart2,org.jfree.data.general.DatasetUtilities#757,101,104,3
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,99,92,-7
Chart2,org.jfree.data.general.DatasetUtilities#1243,115,93,-22
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,10,3,-7
Chart3,org.jfree.data.time.TimeSeries#1057,6,4,-2
Chart4,org.jfree.chart.plot.XYPlot#4493,121,171,50
Chart5,org.jfree.data.xy.XYSeries#548,8,8,0
Chart6,org.jfree.chart.util.ShapeList#111,54,57,3
Chart7,org.jfree.data.time.TimePeriodValues#300,118,81,-37
Chart7,org.jfree.data.time.TimePeriodValues#302,117,82,-35
Chart8,org.jfree.data.time.Week#175,15,1,-14
Chart9,org.jfree.data.time.TimeSeries#944,6,14,8
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,5,-3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,47,13,-34
Chart13,org.jfree.chart.block.BorderArrangement#454,17,47,30
Chart14,org.jfree.chart.plot.XYPlot#2293,14,19,5
Chart14,org.jfree.chart.plot.XYPlot#2529,1,26,25
Chart14,org.jfree.chart.plot.CategoryPlot#2166,3,6,3
Chart14,org.jfree.chart.plot.CategoryPlot#2448,4,13,9
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,35,29,-6
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,9,1,-8
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,7,2,-5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,35,32,-3
Chart17,org.jfree.data.time.TimeSeries#857,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#318,13,3,-10
Chart18,org.jfree.data.DefaultKeyedValues#335,8,9,1
Chart18,org.jfree.data.DefaultKeyedValues2D#455,16,10,-6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,10,13,3
