Project,MinRank1,MinRank2,Difference
Chart1,56,42,-14
Chart2,99,92,-7
Chart3,6,3,-3
Chart4,121,171,50
Chart5,8,8,0
Chart6,54,57,3
Chart7,117,81,-36
Chart8,15,1,-14
Chart9,6,14,8
Chart10,3,3,0
Chart11,8,5,-3
Chart12,47,13,-34
Chart13,17,47,30
Chart14,1,6,5
Chart15,35,29,-6
Chart16,7,1,-6
Chart17,2,2,0
Chart18,8,3,-5
Chart19,4,1,-3
Chart20,13,5,-8
Chart21,4,3,-1
Chart22,2,12,10
Chart24,11,3,-8
Chart25,1795,2640,845
Chart26,174,134,-40
Closure1,203,240,37
Closure2,68,95,27
Closure3,218,279,61
Closure4,303,168,-135
Closure5,172,154,-18
Closure6,1,1,0
Closure7,1,2,1
Closure8,99,123,24
Closure9,1,1,0
Closure10,226,264,38
Closure11,669,2712,2043
Closure12,794,1081,287
Closure13,3931,5651,1720
Closure14,4,3,-1
Closure15,173,185,12
Closure16,73,111,38
Closure17,119,114,-5
Closure18,1844,1805,-39
Closure19,2,1,-1
Closure20,17,2,-15
Closure21,9,7,-2
Closure22,1,2,1
Closure23,12,8,-4
Closure24,1,1,0
Closure25,93,107,14
Closure26,25,5,-20
Closure27,5,3,-2
Closure29,454,394,-60
Closure30,187,222,35
Closure31,1496,1492,-4
Closure32,32,35,3
Closure33,522,573,51
Closure34,203,199,-4
Closure35,17,6,-11
Closure36,1026,1062,36
Closure37,750,967,217
Closure38,306,284,-22
Closure39,51,68,17
Closure40,112,120,8
Closure41,1616,902,-714
Closure42,1,1,0
Closure43,868,465,-403
Closure44,545,571,26
Closure45,922,280,-642
Closure46,1,1,0
Closure47,331,336,5
Closure48,1321,2192,871
Closure49,847,1172,325
Closure50,98,88,-10
Closure51,316,274,-42
Closure52,111,138,27
Closure53,56,47,-9
Closure54,48,39,-9
Closure55,300,329,29
Closure56,31,59,28
Closure57,54,48,-6
Closure58,7,7,0
Closure59,6312,5974,-338
Closure60,50,29,-21
Closure61,119,115,-4
Closure62,1,4,3
Closure63,1,4,3
Closure64,1401,1556,155
Closure65,64,71,7
Closure66,3318,2781,-537
Closure67,316,223,-93
Closure68,4,3,-1
Closure69,2352,2435,83
Closure70,2803,2674,-129
Closure71,413,383,-30
Closure72,871,241,-630
Closure73,1757,1355,-402
Closure74,75,71,-4
Closure75,7,8,1
Closure76,105,116,11
Closure77,703,1329,626
Closure78,2,1,-1
Closure79,32,49,17
Closure80,34,20,-14
Closure81,130,137,7
Closure82,971,599,-372
Closure83,11,10,-1
Closure84,133,172,39
Closure85,108,162,54
Closure86,2,2,0
Closure87,154,150,-4
Closure88,169,69,-100
Closure89,826,164,-662
Closure90,51,46,-5
Closure91,1604,284,-1320
Closure92,99,85,-14
Closure93,99,85,-14
Closure94,2,4,2
Closure95,1940,1640,-300
Closure96,524,424,-100
Closure97,13,1,-12
Closure98,441,425,-16
Closure99,187,22,-165
Closure100,150,7,-143
Closure101,1962,2775,813
Closure102,4536,4752,216
Closure103,248,290,42
Closure104,13,13,0
Closure105,43,7,-36
Closure106,14,26,12
Closure107,141,132,-9
Closure108,186,237,51
Closure109,31,33,2
Closure110,6,2,-4
Closure111,1,1,0
Closure112,87,89,2
Closure113,8,17,9
Closure114,264,215,-49
Closure115,8,8,0
Closure116,17,14,-3
Closure117,955,279,-676
Closure118,10,2,-8
Closure120,129,285,156
Closure121,319,388,69
Closure122,12,9,-3
Closure123,241,219,-22
Closure124,21,10,-11
Closure125,710,563,-147
Closure126,35,5,-30
Closure127,173,200,27
Closure128,136,133,-3
Closure129,2695,2329,-366
Closure130,1674,545,-1129
Closure131,2367,340,-2027
Closure132,87,80,-7
Closure133,523,597,74
Lang1,4,3,-1
Lang2,3,3,0
Lang3,1,3,2
Lang4,12,2,-10
Lang5,4,1,-3
Lang6,59,98,39
Lang7,11,122,111
Lang8,21,8,-13
Lang9,126,92,-34
