Project,now,before,Difference
Chart1,71,42,-29
Chart2,137,137,0
Chart3,8,3,-5
Chart4,98,17,-81
Chart5,7,8,1
Chart6,9,16,7
Chart7,99,81,-18
Chart8,15,1,-14
Chart9,7,14,7
Chart10,3,3,0
Chart11,8,5,-3
Chart12,59,13,-46
Chart13,24,47,23
Chart14,318,317,-1
Chart15,77,29,-48
Chart16,9,1,-8
Chart17,2,2,0
Chart18,11,3,-8
Chart19,490,474,-16
Chart20,8,5,-3
Chart21,6,3,-3
Chart22,53,61,8
Chart24,4,3,-1
Chart25,2635,2745,110
Chart26,603,134,-469
Closure1,380,121,-259
Closure2,1650,1666,16
Closure3,34,275,241
Closure4,700,157,-543
Closure5,190,154,-36
Closure6,4197,3885,-312
Closure7,875,909,34
Closure8,18,123,105
Closure9,4,1,-3
Closure10,2906,2889,-17
Closure11,1880,2641,761
Closure12,964,1081,117
Closure13,5440,5651,211
Closure14,26,1,-25
Closure15,180,185,5
Closure16,14,2,-12
Closure17,2561,2301,-260
Closure18,745,661,-84
Closure19,2459,2272,-187
Closure20,35,2,-33
Closure21,2791,2788,-3
Closure22,2693,2787,94
Closure23,71,8,-63
Closure24,50,1,-49
Closure25,75,107,32
Closure26,2241,2181,-60
Closure27,147,35,-112
Closure29,526,184,-342
Closure30,151,102,-49
Closure31,406,409,3
Closure32,669,673,4
Closure33,2617,2576,-41
Closure34,3,6,3
Closure35,119,6,-113
Closure36,985,1062,77
Closure37,118,171,53
Closure38,11,7,-4
Closure39,682,662,-20
Closure40,34,35,1
Closure41,2673,2163,-510
Closure42,3,1,-2
Closure43,2808,2222,-586
Closure44,211,153,-58
Closure45,375,280,-95
Closure46,3,1,-2
Closure47,1293,1914,621
Closure48,2487,2324,-163
Closure49,135,96,-39
Closure50,123,76,-47
Closure51,17,13,-4
Closure52,1720,2028,308
Closure53,63,47,-16
Closure54,984,1478,494
Closure55,322,329,7
Closure56,454,593,139
Closure57,1720,1729,9
Closure58,18,7,-11
Closure59,2682,2114,-568
Closure60,2372,2348,-24
Closure61,1913,1895,-18
Closure62,15,13,-2
Closure63,15,13,-2
Closure64,282,364,82
Closure65,2451,2328,-123
Closure66,3333,2557,-776
Closure67,198,116,-82
Closure68,19,3,-16
Closure69,2935,2275,-660
Closure70,2775,2295,-480
Closure71,2974,2498,-476
Closure72,343,241,-102
Closure73,2010,1977,-33
Closure74,21,10,-11
Closure75,2316,2358,42
Closure76,124,79,-45
Closure77,1888,1956,68
Closure78,54,1,-53
Closure79,1694,1676,-18
Closure80,1588,1615,27
Closure81,1,1,0
Closure82,337,164,-173
Closure83,10,10,0
Closure84,5,9,4
Closure85,20,86,66
Closure86,1314,1947,633
Closure87,149,150,1
Closure88,776,69,-707
Closure89,1172,133,-1039
Closure90,2035,1579,-456
Closure91,501,284,-217
Closure92,351,85,-266
Closure93,353,85,-268
Closure94,1058,1463,405
Closure95,1697,1192,-505
Closure96,2143,2028,-115
Closure97,22,1,-21
Closure98,427,425,-2
Closure99,76,4,-72
Closure100,1442,1428,-14
