Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,131,42,-89
Chart2,org.jfree.data.general.DatasetUtilities#755,125,147,22
Chart2,org.jfree.data.general.DatasetUtilities#757,119,149,30
Chart2,org.jfree.data.general.DatasetUtilities#758,1122,1122,0
Chart2,org.jfree.data.general.DatasetUtilities#761,1123,1123,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,138,137,-1
Chart2,org.jfree.data.general.DatasetUtilities#1243,147,138,-9
Chart2,org.jfree.data.general.DatasetUtilities#1245,1115,1115,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,1116,1116,0
Chart3,org.jfree.data.time.TimeSeries#1056,15,3,-12
Chart3,org.jfree.data.time.TimeSeries#1057,8,4,-4
Chart4,org.jfree.chart.plot.XYPlot#4493,113,17,-96
Chart5,org.jfree.data.xy.XYSeries#548,8,8,0
Chart6,org.jfree.chart.util.ShapeList#111,11,16,5
Chart7,org.jfree.data.time.TimePeriodValues#300,118,81,-37
Chart7,org.jfree.data.time.TimePeriodValues#302,115,82,-33
Chart8,org.jfree.data.time.Week#175,15,1,-14
Chart9,org.jfree.data.time.TimeSeries#944,12,14,2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,5,-3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,223,13,-210
Chart13,org.jfree.chart.block.BorderArrangement#454,44,47,3
Chart14,org.jfree.chart.plot.XYPlot#2293,326,330,4
Chart14,org.jfree.chart.plot.XYPlot#2529,271,337,66
Chart14,org.jfree.chart.plot.CategoryPlot#2166,288,317,29
Chart14,org.jfree.chart.plot.CategoryPlot#2448,306,324,18
Chart15,org.jfree.chart.plot.PiePlot#1379,7454,7415,-39
Chart15,org.jfree.chart.plot.PiePlot#2051,254,29,-225
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,11,1,-10
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,10,2,-8
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,42,37,-5
Chart17,org.jfree.data.time.TimeSeries#857,13,2,-11
Chart18,org.jfree.data.DefaultKeyedValues#318,23,3,-20
Chart18,org.jfree.data.DefaultKeyedValues#335,19,26,7
Chart18,org.jfree.data.DefaultKeyedValues2D#455,34,27,-7
Chart18,org.jfree.data.DefaultKeyedValues2D#458,28,30,2
Chart18,org.jfree.data.DefaultKeyedValues2D#460,29,32,3
Chart19,org.jfree.chart.plot.CategoryPlot#698,457,474,17
Chart19,org.jfree.chart.plot.CategoryPlot#973,447,475,28
Chart20,org.jfree.chart.plot.ValueMarker#95,16,5,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,57,80,23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,111,81,-30
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,118,82,-36
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,82,83,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,104,84,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,70,85,15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,117,86,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,106,87,-19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,59,88,29
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,65,89,24
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,49,24,-25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,8,3,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,15,4,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,11,5,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,109,90,-19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,97,91,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,67,92,25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,90,93,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,18,12,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,363,363,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,364,364,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,365,365,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,10,13,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,7,14,7
Chart22,org.jfree.data.KeyedObjects2D#231,50,68,18
Chart22,org.jfree.data.KeyedObjects2D#233,56,70,14
Chart22,org.jfree.data.KeyedObjects2D#378,51,61,10
Chart22,org.jfree.data.KeyedObjects2D#345,80,91,11
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,11,3,-8
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2501,2745,244
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,2848,2764,-84
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2751,2956,205
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2447,2937,490
Chart26,org.jfree.chart.axis.Axis#1192,735,134,-601
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,711,121,-590
Closure2,com.google.javascript.jscomp.TypeCheck#1574,1394,1666,272
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,1240,434,-806
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,34,275,241
Closure4,com.google.javascript.rhino.jstype.NamedType#190,2882,157,-2725
