Project,MinRank1,MinRank2,Difference
Chart1,131,42,-89
Chart2,119,137,18
Chart3,8,3,-5
Chart4,113,17,-96
Chart5,8,8,0
Chart6,11,16,5
Chart7,115,81,-34
Chart8,15,1,-14
Chart9,12,14,2
Chart10,3,3,0
Chart11,8,5,-3
Chart12,223,13,-210
Chart13,44,47,3
Chart14,271,317,46
Chart15,254,29,-225
Chart16,10,1,-9
Chart17,13,2,-11
Chart18,19,3,-16
Chart19,447,474,27
Chart20,16,5,-11
Chart21,7,3,-4
Chart22,50,61,11
Chart24,11,3,-8
Chart25,2447,2745,298
Chart26,735,134,-601
Closure1,711,121,-590
Closure2,1394,1666,272
Closure3,34,275,241
Closure4,2882,157,-2725
Closure5,508,154,-354
Closure6,3921,3885,-36
Closure7,903,909,6
Closure8,20,123,103
Closure9,4,1,-3
Closure10,2741,2889,148
Closure11,1252,2641,1389
Closure12,459,1081,622
Closure13,2569,5651,3082
Closure14,240,1,-239
Closure15,449,185,-264
Closure16,20,2,-18
Closure17,2631,2301,-330
Closure18,1160,661,-499
Closure19,2441,2272,-169
Closure20,70,2,-68
Closure21,2295,2788,493
Closure22,1836,2787,951
Closure23,280,8,-272
Closure24,348,1,-347
Closure25,138,107,-31
Closure26,1695,2181,486
Closure27,197,35,-162
Closure29,1438,184,-1254
Closure30,432,102,-330
Closure31,677,409,-268
Closure32,340,673,333
Closure33,2534,2576,42
Closure34,52,6,-46
Closure35,288,6,-282
Closure36,1500,1062,-438
Closure37,129,171,42
Closure38,265,7,-258
Closure39,652,662,10
Closure40,202,35,-167
Closure41,2648,2163,-485
Closure42,6,1,-5
Closure43,3331,2222,-1109
Closure44,246,153,-93
Closure45,814,280,-534
Closure46,4,1,-3
Closure47,829,1914,1085
Closure48,2418,2324,-94
Closure49,145,96,-49
Closure50,455,76,-379
Closure51,299,13,-286
Closure52,1302,2028,726
Closure53,258,47,-211
Closure54,870,1478,608
Closure55,232,329,97
Closure56,259,593,334
Closure57,1578,1729,151
Closure58,48,7,-41
Closure59,3149,2114,-1035
Closure60,2290,2348,58
Closure61,1698,1895,197
Closure62,17,13,-4
Closure63,17,13,-4
Closure64,388,364,-24
Closure65,2426,2328,-98
Closure66,3205,2557,-648
Closure67,650,116,-534
Closure68,50,3,-47
Closure69,2805,2275,-530
Closure70,2688,2295,-393
Closure71,2789,2498,-291
Closure72,942,241,-701
Closure73,1960,1977,17
Closure74,268,10,-258
Closure75,2001,2358,357
Closure76,486,79,-407
Closure77,1494,1956,462
Closure78,146,1,-145
Closure79,1559,1676,117
Closure80,1476,1615,139
Closure81,44,1,-43
Closure82,540,164,-376
Closure83,11,10,-1
Closure84,2,9,7
Closure85,20,86,66
Closure86,1012,1947,935
Closure87,154,150,-4
Closure88,2581,69,-2512
Closure89,2178,133,-2045
Closure90,2217,1579,-638
Closure91,1380,284,-1096
Closure92,631,85,-546
Closure93,631,85,-546
Closure94,837,1463,626
Closure95,1691,1192,-499
Closure96,2022,2028,6
Closure97,35,1,-34
Closure98,349,425,76
Closure99,404,4,-400
Closure100,1357,1428,71
Closure101,2495,2775,280
Closure102,3487,4752,1265
Closure103,1334,1805,471
Closure104,356,533,177
Closure105,128,7,-121
Closure106,2374,1826,-548
Closure107,98,132,34
Closure108,82,237,155
Closure109,270,137,-133
Closure110,1938,1931,-7
Closure111,5,1,-4
Closure112,277,64,-213
Closure113,161,17,-144
Closure114,344,215,-129
Closure115,1257,8,-1249
Closure116,728,3,-725
Closure117,3490,1845,-1645
Closure118,1759,2,-1757
Closure120,1653,2413,760
Closure121,234,388,154
Closure122,590,233,-357
Closure123,2002,2096,94
Closure124,166,10,-156
Closure125,2062,1913,-149
Closure126,253,5,-248
Closure127,659,187,-472
Closure128,1653,1949,296
Closure129,809,330,-479
Closure130,1534,545,-989
Closure131,2924,1696,-1228
Closure132,449,80,-369
Closure133,455,597,142
Lang1,7,3,-4
Lang2,3,3,0
Lang3,2,3,1
Lang4,13,2,-11
Lang5,4,1,-3
Lang6,53,98,45
Lang7,10,122,112
Lang8,142,189,47
Lang9,67,55,-12
Lang10,36,17,-19
Lang11,9,3,-6
Lang12,6,4,-2
Lang13,28,5,-23
Lang14,2,4,2
Lang15,59,12,-47
Lang16,76,27,-49
Lang17,10,102,92
Lang18,104,41,-63
Lang19,10,6,-4
Lang20,39,27,-12
Lang21,1,2,1
Lang22,32,14,-18
Lang24,133,64,-69
Lang26,44,7,-37
Lang27,52,127,75
Lang28,31,3,-28
Lang30,2,30,28
Lang31,1,4,3
Lang32,8,26,18
Lang33,6,7,1
Lang34,131,5,-126
Lang35,2,2,0
Lang36,45,42,-3
Lang37,1,6,5
Lang38,10,3,-7
Lang39,48,27,-21
Lang40,1,2,1
Lang41,7,38,31
Lang42,31,13,-18
Lang43,3,6,3
Lang44,13,3,-10
Lang45,18,10,-8
Lang46,3,1,-2
Lang47,23,35,12
Lang48,2,2,0
Lang49,15,1,-14
Lang50,81,134,53
Lang53,35,16,-19
Lang54,3,3,0
Lang55,11,7,-4
Lang57,2,6,4
Lang58,12,20,8
Lang59,12,6,-6
Lang60,63,2,-61
Lang61,31,8,-23
Lang62,15,4,-11
Lang63,2,1,-1
Lang64,17,4,-13
Lang65,1,7,6
Math1,454,356,-98
Math2,39,44,5
Math3,14,3,-11
Math4,80,76,-4
Math5,1,1,0
Math6,64,70,6
Math7,221,42,-179
Math8,42,4,-38
Math9,9,1,-8
Math10,197,12,-185
Math11,169,31,-138
Math13,185,159,-26
Math14,154,99,-55
Math15,290,217,-73
Math16,248,252,4
Math17,156,258,102
Math18,118,14,-104
Math19,12,56,44
Math20,69,598,529
Math21,24,41,17
Math22,40,53,13
Math23,13,148,135
Math24,48,150,102
Math25,38,1,-37
Math26,28,38,10
Math27,1,1,0
Math28,18,12,-6
Math29,74,194,120
Math30,204,41,-163
Math31,29,28,-1
Math32,35,4,-31
Math33,244,44,-200
Math34,33,3,-30
Math35,9,3,-6
Math36,6,356,350
Math37,217,249,32
Math38,2,5,3
Math39,79,117,38
Math40,101,33,-68
Math41,65,43,-22
Math42,65,72,7
Math43,134,44,-90
Math44,148,14,-134
Math45,3,1,-2
Math46,1,1,0
Math47,1,2,1
Math48,731,355,-376
Math49,85,7,-78
Math50,3,1,-2
Math51,38,30,-8
Math52,17,22,5
Math53,2,1,-1
Math54,317,306,-11
Math55,36,1,-35
Math56,1,20,19
Math57,21,4,-17
Math58,305,545,240
Math59,908,2,-906
Math60,27,36,9
Math61,46,1,-45
Math62,315,128,-187
Math63,7,1,-6
Math64,95,143,48
Math65,28,41,13
Math66,6,35,29
Math67,18,8,-10
Math68,58,127,69
Math69,67,44,-23
Math70,5,1,-4
Math71,121,277,156
Math72,5,1,-4
Math73,20,1,-19
Math74,725,777,52
Math75,3,1,-2
Math76,341,99,-242
Math77,7,21,14
Math78,50,117,67
Math79,11,29,18
Math80,33,14,-19
Math81,53,10,-43
Math82,221,151,-70
Math83,33,40,7
Math84,46,34,-12
Math85,62,77,15
Math86,108,18,-90
Math87,100,115,15
Math88,3,1,-2
Math89,4,1,-3
Math90,5,3,-2
Math91,1,1,0
Math92,4,2,-2
Math93,3,2,-1
Math94,14,6,-8
Math95,7,15,8
Math96,15,5,-10
Math97,1,1,0
Math98,25,4,-21
Math99,10,27,17
Math100,47,9,-38
Math101,4,12,8
Math102,20,3,-17
Math103,34,32,-2
Math105,17,25,8
Math106,6,10,4
Mockito1,60,2,-58
Mockito2,13,3,-10
Mockito3,374,1,-373
Mockito4,622,633,11
Mockito5,3066,3066,0
Mockito6,793,856,63
Mockito7,40,50,10
Mockito8,40,31,-9
Mockito9,597,1683,1086
Mockito10,8,12,4
Mockito11,26,1,-25
Mockito12,18,2,-16
Mockito13,250,85,-165
Mockito14,71,96,25
Mockito15,326,178,-148
Mockito16,144,4,-140
Mockito17,12,4,-8
Mockito18,270,5,-265
Mockito19,172,12,-160
Mockito20,308,29,-279
Mockito21,3,1,-2
Mockito22,61,11,-50
Mockito23,565,567,2
Mockito24,448,619,171
Mockito25,69,46,-23
Mockito26,3017,-1,-1
Mockito27,540,507,-33
Mockito28,424,198,-226
Mockito29,137,31,-106
Mockito30,8,1,-7
Mockito31,7,2,-5
Mockito32,96,2,-94
Mockito33,66,52,-14
Mockito34,284,27,-257
Mockito35,351,423,72
Mockito36,314,1,-313
Mockito37,58,3,-55
Mockito38,23,1,-22
Time1,15,2,-13
Time2,20,3,-17
Time3,1498,1,-1497
Time4,90,30,-60
Time5,502,2,-500
Time6,296,24,-272
Time7,348,16,-332
Time8,31,24,-7
Time9,85,3,-82
Time10,597,188,-409
Time11,244,448,204
Time12,1509,1581,72
Time13,68,19,-49
Time14,725,4,-721
Time15,1,2,1
Time16,703,7,-696
Time17,27,5,-22
Time18,171,3,-168
Time19,497,620,123
Time20,1589,1702,113
Time21,318,309,-9
Time22,70,15,-55
Time23,142,40,-102
Time24,647,458,-189
Time25,73,187,114
Time26,701,398,-303
Time27,300,346,46
