Project,now,before,Difference
Chart1,5012,4997,-15
Chart2,1030,1010,-20
Chart3,7,367,360
Chart4,21697,22992,1295
Chart5,157,137,-20
Chart6,643,650,7
Chart7,460,435,-25
Chart8,141,116,-25
Chart9,6,411,405
Chart10,3,3,0
Chart11,145,142,-3
Chart12,2871,2328,-543
Chart13,23,47,24
Chart14,11,6,-5
Chart15,5068,5674,606
Chart16,1,1,0
Chart17,680,626,-54
Chart18,12,3,-9
Chart19,18,1,-17
Chart20,451,448,-3
Chart21,5,3,-2
Chart22,7,12,5
Chart24,4,3,-1
Chart25,2520,2640,120
Chart26,446,134,-312
Closure1,22087,21998,-89
Closure2,70,5968,5898
Closure3,80,11851,11771
Closure4,11291,11222,-69
Closure5,9850,9551,-299
Closure6,160,1,-159
Closure7,125,2,-123
Closure8,40,8719,8679
Closure9,2172,1,-2171
Closure10,7094,7124,30
Closure11,13319,14008,689
Closure12,15009,15178,169
Closure13,23758,24214,456
Closure14,7654,6287,-1367
Closure15,10653,10348,-305
Closure16,79,11567,11488
Closure17,7221,6665,-556
Closure18,17329,17361,32
Closure19,5732,1,-5731
Closure20,31,2,-29
Closure21,129,51,-78
Closure22,10,2,-8
Closure23,8756,8,-8748
Closure24,7937,1,-7936
Closure25,8745,8962,217
Closure26,953,5,-948
Closure27,85,3,-82
Closure29,20142,18968,-1174
Closure30,11522,11758,236
Closure31,16512,16568,56
Closure32,138,7508,7370
Closure33,10417,11392,975
Closure34,1569,1603,34
Closure35,5749,5691,-58
Closure36,16420,17315,895
Closure37,16473,16628,155
Closure38,11109,11140,31
Closure39,51,789,738
Closure40,10558,11391,833
Closure41,13125,12952,-173
Closure42,3,1852,1849
Closure43,12450,12326,-124
Closure44,11108,11138,30
Closure45,10989,10809,-180
Closure46,4,817,813
Closure47,369,336,-33
Closure48,11610,11706,96
Closure49,14399,14368,-31
Closure50,7188,6829,-359
Closure51,10513,10526,13
Closure52,49,5924,5875
Closure53,8305,7967,-338
Closure54,11283,9207,-2076
Closure55,11901,11935,34
Closure56,49,5824,5775
Closure57,6072,4194,-1878
Closure58,5596,5694,98
Closure59,26238,25904,-334
Closure60,15590,9727,-5863
Closure61,9128,9300,172
Closure62,11,40,29
Closure63,11,40,29
Closure64,14232,15912,1680
Closure65,5864,13,-5851
Closure66,13456,12718,-738
Closure67,9873,9850,-23
Closure68,1763,48,-1715
Closure69,11773,11783,10
Closure70,13207,13038,-169
Closure71,6607,8694,2087
Closure72,7034,7045,11
Closure73,9912,9280,-632
Closure74,8089,8071,-18
Closure75,74,8,-66
Closure76,99,5796,5697
Closure77,276,188,-88
Closure78,1756,1,-1755
Closure79,5924,6210,286
Closure80,3714,3361,-353
Closure81,2913,3041,128
Closure82,14527,14561,34
Closure83,15009,14934,-75
Closure84,2527,2530,3
Closure85,3010,3009,-1
Closure86,182,5505,5323
Closure87,8926,8924,-2
Closure88,216,69,-147
Closure89,11674,11574,-100
Closure90,6168,6238,70
Closure91,12363,11997,-366
Closure92,8145,5866,-2279
Closure93,8223,5879,-2344
Closure94,103,863,760
Closure95,14982,14561,-421
Closure96,9946,10100,154
Closure97,34,1,-33
Closure98,11503,11500,-3
Closure99,367,345,-22
Closure100,7203,6873,-330
Closure101,22032,21984,-48
Closure102,21880,21975,95
Closure103,126,10288,10162
Closure104,1050,939,-111
Closure105,92,7,-85
Closure106,38,26,-12
Closure107,23297,23500,203
Closure108,11795,12844,1049
Closure109,2910,2804,-106
Closure110,95,4586,4491
Closure111,1,2748,2747
Closure112,10394,10505,111
Closure113,6870,7843,973
Closure114,15347,15351,4
Closure115,11806,8,-11798
Closure116,15761,15601,-160
Closure117,10035,9975,-60
Closure118,11770,6331,-5439
Closure120,16,10121,10105
Closure121,14815,14822,7
Closure122,2528,1599,-929
Closure123,9539,9114,-425
Closure124,8827,8857,30
Closure125,12718,13046,328
Closure126,132,5,-127
Closure127,8497,9473,976
Closure128,109,6110,6001
Closure129,25418,25226,-192
Closure130,16897,16546,-351
Closure131,13153,11860,-1293
Closure132,9924,7561,-2363
Closure133,3835,4229,394
Lang1,4,1564,1560
Lang2,79,78,-1
Lang3,1,1570,1569
Lang4,45,20,-25
Lang5,6,6,0
Lang6,2759,2781,22
Lang7,11,1471,1460
Lang8,139,64,-75
Lang9,651,648,-3
Lang10,487,486,-1
Lang11,41,20,-21
Lang12,7,6,-1
Lang13,11,5,-6
Lang14,2,1289,1287
Lang15,1917,1910,-7
Lang16,1754,1446,-308
Lang17,1140,1221,81
Lang18,272,223,-49
Lang19,14,20,6
Lang20,1131,39,-1092
Lang21,1,2,1
Lang22,236,229,-7
Lang24,1502,64,-1438
Lang26,267,245,-22
Lang27,61,1353,1292
Lang28,18,10,-8
Lang30,1,208,207
Lang31,1,1585,1584
Lang32,1114,1160,46
Lang33,6,7,1
Lang34,658,627,-31
Lang35,2,2,0
Lang36,87,46,-41
Lang37,1,767,766
Lang38,2,3,1
Lang39,1010,47,-963
Lang40,1,2,1
Lang41,128,121,-7
Lang42,362,350,-12
Lang43,2,6,4
Lang44,102,12,-90
Lang45,18,10,-8
Lang46,2,7,5
Lang47,410,134,-276
Lang48,212,212,0
Lang49,4,1,-3
Lang50,19,3,-16
Lang53,170,158,-12
Lang54,3,8,5
Lang55,45,42,-3
Lang57,2,6,4
Lang58,11,937,926
Lang59,632,96,-536
Lang60,648,2,-646
Lang61,662,583,-79
Lang62,71,71,0
Lang63,1,1,0
Lang64,1093,1093,0
Lang65,12,158,146
Math1,1662,30,-1632
Math2,1785,1777,-8
Math3,392,257,-135
Math4,2089,2098,9
Math5,1,1,0
Math6,241,170,-71
Math7,1470,1451,-19
Math8,8,4,-4
Math9,3,1,-2
Math10,507,479,-28
Math11,4513,4295,-218
Math13,5614,5559,-55
Math14,4757,4603,-154
Math15,2427,2364,-63
Math16,1073,1139,66
Math17,606,648,42
Math18,1584,1579,-5
Math19,1630,1669,39
Math20,3560,4161,601
Math21,35,1901,1866
Math22,3,1,-2
Math23,1918,1880,-38
Math24,1970,1977,7
Math25,459,455,-4
Math26,1850,1858,8
Math27,1,22,21
Math28,3025,3020,-5
Math29,1,6,5
Math30,2294,433,-1861
Math31,612,587,-25
Math32,5,4,-1
Math33,3035,2967,-68
Math34,75,46,-29
Math35,115,110,-5
Math36,1,24,23
Math37,7,4,-3
Math38,2,5,3
Math39,1956,2042,86
Math40,1527,1514,-13
Math41,1462,1265,-197
Math42,2987,3005,18
Math43,2135,2092,-43
Math44,1792,1739,-53
Math45,1057,1067,10
Math46,2,3,1
Math47,2,3,1
Math48,2609,2589,-20
Math49,765,753,-12
Math50,1,1,0
Math51,2221,2216,-5
Math52,12,51,39
Math53,696,697,1
Math54,5,1,-4
Math55,1571,1304,-267
Math56,1,20,19
Math57,2011,2017,6
Math58,2116,2083,-33
Math59,2239,2,-2237
Math60,67,67,0
Math61,1,1,0
Math62,1839,150,-1689
Math63,1203,1,-1202
Math64,177,177,0
Math65,15,41,26
Math66,503,710,207
Math67,16,8,-8
Math68,224,209,-15
Math69,1405,1422,17
Math70,1,1,0
Math71,3,1,-2
Math72,5,1,-4
Math73,130,1,-129
Math74,2073,2028,-45
Math75,1,1,0
Math76,1801,1798,-3
Math77,4,19,15
Math78,276,366,90
Math79,12,343,331
Math80,8,14,6
Math81,1850,2086,236
Math82,1880,1804,-76
Math83,1646,1662,16
Math84,112,123,11
Math85,286,282,-4
Math86,427,406,-21
Math87,1654,1640,-14
Math88,1520,1590,70
Math89,2,1,-1
Math90,67,54,-13
Math91,1,1,0
Math92,4,6,2
Math93,3,7,4
Math94,213,204,-9
Math95,127,145,18
Math96,114,107,-7
Math97,1,99,98
Math98,464,246,-218
Math99,1,4,3
Math100,323,329,6
Math101,59,71,12
Math102,3,3,0
Math103,193,191,-2
Math105,60,68,8
Math106,29,50,21
Mockito1,9,2,-7
Mockito2,1175,1191,16
Mockito3,1673,1216,-457
Mockito4,3,5,2
Mockito5,2952,2952,0
Mockito6,8,1,-7
Mockito7,1093,1111,18
Mockito8,164,156,-8
Mockito9,815,1076,261
Mockito10,7,872,865
Mockito11,93,93,0
Mockito12,1,2,1
Mockito13,1104,1030,-74
Mockito14,888,868,-20
Mockito15,996,859,-137
Mockito16,448,197,-251
Mockito17,418,385,-33
Mockito18,697,647,-50
Mockito19,806,658,-148
Mockito20,182,163,-19
Mockito21,1,399,398
Mockito22,649,608,-41
Mockito23,987,915,-72
Mockito24,3,796,793
Mockito25,23,1261,1238
Mockito27,628,590,-38
Mockito28,1067,853,-214
Mockito29,773,730,-43
Mockito30,2,204,202
Mockito31,5,141,136
Mockito32,273,444,171
Mockito33,1121,1120,-1
Mockito34,1635,1590,-45
Mockito35,5,85,80
Mockito36,1181,1019,-162
Mockito37,817,810,-7
Mockito38,672,647,-25
Time1,4,1230,1226
Time2,6,1988,1982
Time3,13,1567,1554
Time4,4369,4327,-42
Time5,2079,1772,-307
Time6,32,14,-18
Time7,3605,3795,190
Time8,21,1233,1212
Time9,1978,1192,-786
