Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,81,4997,4916
Chart2,org.jfree.data.general.DatasetUtilities#755,81,1058,977
Chart2,org.jfree.data.general.DatasetUtilities#757,78,1060,982
Chart2,org.jfree.data.general.DatasetUtilities#758,1116,1066,-50
Chart2,org.jfree.data.general.DatasetUtilities#761,1117,1067,-50
Chart2,org.jfree.data.general.DatasetUtilities#1242,103,1010,907
Chart2,org.jfree.data.general.DatasetUtilities#1243,113,1011,898
Chart2,org.jfree.data.general.DatasetUtilities#1245,1109,1050,-59
Chart2,org.jfree.data.general.DatasetUtilities#1248,1110,1051,-59
Chart3,org.jfree.data.time.TimeSeries#1056,13,367,354
Chart3,org.jfree.data.time.TimeSeries#1057,8,368,360
Chart4,org.jfree.chart.plot.XYPlot#4493,607,22992,22385
Chart5,org.jfree.data.xy.XYSeries#548,7,137,130
Chart6,org.jfree.chart.util.ShapeList#111,87,650,563
Chart7,org.jfree.data.time.TimePeriodValues#300,95,435,340
Chart7,org.jfree.data.time.TimePeriodValues#302,94,436,342
Chart8,org.jfree.data.time.Week#175,15,116,101
Chart9,org.jfree.data.time.TimeSeries#944,7,411,404
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,142,134
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,164,2328,2164
Chart13,org.jfree.chart.block.BorderArrangement#454,26,47,21
Chart14,org.jfree.chart.plot.XYPlot#2293,63,19,-44
Chart14,org.jfree.chart.plot.XYPlot#2529,16,26,10
Chart14,org.jfree.chart.plot.CategoryPlot#2166,25,6,-19
Chart14,org.jfree.chart.plot.CategoryPlot#2448,33,13,-20
Chart15,org.jfree.chart.plot.PiePlot#1379,7447,6501,-946
Chart15,org.jfree.chart.plot.PiePlot#2051,104,5674,5570
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,8,4,-4
Chart17,org.jfree.data.time.TimeSeries#857,3,626,623
Chart18,org.jfree.data.DefaultKeyedValues#318,28,3,-25
Chart18,org.jfree.data.DefaultKeyedValues#335,15,9,-6
Chart18,org.jfree.data.DefaultKeyedValues2D#455,20,10,-10
Chart18,org.jfree.data.DefaultKeyedValues2D#458,12,13,1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,13,15,2
Chart19,org.jfree.chart.plot.CategoryPlot#698,50,1,-49
Chart19,org.jfree.chart.plot.CategoryPlot#973,37,2,-35
Chart20,org.jfree.chart.plot.ValueMarker#95,19,448,429
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,52,544,492
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,89,545,456
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,95,546,451
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,71,547,476
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,84,548,464
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,61,549,488
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,94,550,456
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,85,551,466
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,54,552,498
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,57,553,496
