Project,MinRank1,MinRank2,Difference
Chart1,81,4997,4916
Chart2,78,1010,932
Chart3,8,367,359
Chart4,607,22992,22385
Chart5,7,137,130
Chart6,87,650,563
Chart7,94,435,341
Chart8,15,116,101
Chart9,7,411,404
Chart10,3,3,0
Chart11,8,142,134
Chart12,164,2328,2164
Chart13,26,47,21
Chart14,16,6,-10
Chart15,104,5674,5570
Chart16,1,1,0
Chart17,3,626,623
Chart18,12,3,-9
Chart19,37,1,-36
Chart20,19,448,429
Chart21,6,3,-3
Chart22,8,12,4
Chart24,6,3,-3
Chart25,1819,2640,821
Chart26,1045,134,-911
Closure1,3584,21998,18414
Closure2,84,5968,5884
Closure3,44,11851,11807
Closure4,588,11222,10634
Closure5,226,9551,9325
Closure6,238,1,-237
Closure7,165,2,-163
Closure8,18,8719,8701
Closure9,4,1,-3
Closure10,315,7124,6809
Closure11,452,14008,13556
Closure12,887,15178,14291
Closure13,5399,24214,18815
Closure14,234,6287,6053
Closure15,203,10348,10145
Closure16,61,11567,11506
Closure17,272,6665,6393
Closure18,2749,17361,14612
Closure19,231,1,-230
Closure20,36,2,-34
Closure21,80,51,-29
Closure22,11,2,-9
Closure23,95,8,-87
Closure24,133,1,-132
Closure25,84,8962,8878
Closure26,1504,5,-1499
Closure27,92,3,-89
Closure29,2192,18968,16776
Closure30,176,11758,11582
Closure31,2223,16568,14345
Closure32,191,7508,7317
Closure33,321,11392,11071
Closure34,279,1603,1324
Closure35,167,5691,5524
Closure36,1031,17315,16284
Closure37,1982,16628,14646
Closure38,446,11140,10694
Closure39,62,789,727
Closure40,111,11391,11280
Closure41,1021,12952,11931
Closure42,4,1852,1848
Closure43,793,12326,11533
Closure44,932,11138,10206
Closure45,455,10809,10354
Closure46,4,817,813
Closure47,405,336,-69
Closure48,334,11706,11372
Closure49,2256,14368,12112
Closure50,159,6829,6670
Closure51,426,10526,10100
Closure52,55,5924,5869
Closure53,76,7967,7891
Closure54,606,9207,8601
Closure55,285,11935,11650
Closure56,52,5824,5772
Closure57,177,4194,4017
Closure58,25,5694,5669
Closure59,8828,25904,17076
Closure60,2143,9727,7584
Closure61,234,9300,9066
Closure62,12,40,28
Closure63,12,40,28
Closure64,1028,15912,14884
Closure65,288,13,-275
Closure66,1722,12718,10996
Closure67,460,9850,9390
Closure68,29,48,19
Closure69,871,11783,10912
Closure70,1714,13038,11324
Closure71,334,8694,8360
Closure72,411,7045,6634
Closure73,469,9280,8811
Closure74,168,8071,7903
Closure75,82,8,-74
Closure76,72,5796,5724
Closure77,194,188,-6
Closure78,75,1,-74
Closure79,220,6210,5990
Closure80,167,3361,3194
Closure81,171,3041,2870
Closure82,4350,14561,10211
Closure83,11,14934,14923
Closure84,186,2530,2344
Closure85,75,3009,2934
Closure86,243,5505,5262
Closure87,142,8924,8782
Closure88,977,69,-908
Closure89,235,11574,11339
Closure90,277,6238,5961
Closure91,569,11997,11428
Closure92,581,5866,5285
Closure93,582,5879,5297
Closure94,147,863,716
Closure95,2479,14561,12082
Closure96,173,10100,9927
Closure97,45,1,-44
Closure98,477,11500,11023
Closure99,28,345,317
Closure100,31,6873,6842
Closure101,21984,21984,0
Closure102,4661,21975,17314
Closure103,119,10288,10169
Closure104,85,939,854
Closure105,117,7,-110
Closure106,56,26,-30
Closure107,225,23500,23275
Closure108,124,12844,12720
Closure109,67,2804,2737
Closure110,155,4586,4431
Closure111,2,2748,2746
Closure112,139,10505,10366
Closure113,64,7843,7779
Closure114,305,15351,15046
Closure115,938,8,-930
Closure116,619,15601,14982
Closure117,598,9975,9377
Closure118,476,6331,5855
Closure120,14,10121,10107
Closure121,460,14822,14362
Closure122,98,1599,1501
Closure123,239,9114,8875
Closure124,146,8857,8711
Closure125,321,13046,12725
Closure126,191,5,-186
Closure127,313,9473,9160
Closure128,129,6110,5981
Closure129,4291,25226,20935
Closure130,789,16546,15757
Closure131,857,11860,11003
Closure132,262,7561,7299
Closure133,290,4229,3939
Lang1,5,1564,1559
Lang2,14,78,64
Lang3,1,1570,1569
Lang4,6,20,14
Lang5,4,6,2
Lang6,58,2781,2723
Lang7,11,1471,1460
Lang8,21,64,43
Lang9,355,648,293
Lang10,174,486,312
Lang11,8,20,12
Lang12,7,6,-1
Lang13,16,5,-11
Lang14,2,1289,1287
Lang15,216,1910,1694
Lang16,76,1446,1370
Lang17,30,1221,1191
Lang18,77,223,146
Lang19,4,20,16
Lang20,25,39,14
Lang21,1,2,1
Lang22,42,229,187
Lang24,133,64,-69
Lang26,13,245,232
Lang27,50,1353,1303
Lang28,38,10,-28
Lang30,1,208,207
Lang31,1,1585,1584
Lang32,9,1160,1151
Lang33,6,7,1
Lang34,203,627,424
Lang35,2,2,0
Lang36,88,46,-42
Lang37,1,767,766
Lang38,2,3,1
Lang39,48,47,-1
Lang40,1,2,1
Lang41,8,121,113
Lang42,27,350,323
Lang43,2,6,4
Lang44,13,12,-1
Lang45,18,10,-8
Lang46,2,7,5
Lang47,3,134,131
Lang48,2,212,210
Lang49,4,1,-3
Lang50,19,3,-16
Lang53,35,158,123
Lang54,3,8,5
Lang55,7,42,35
Lang57,2,6,4
Lang58,12,937,925
Lang59,102,96,-6
Lang60,37,2,-35
Lang61,24,583,559
Lang62,11,71,60
Lang63,1,1,0
Lang64,6,1093,1087
Lang65,4,158,154
Math1,90,30,-60
Math2,51,1777,1726
Math3,14,257,243
Math4,19,2098,2079
Math5,1,1,0
Math6,124,170,46
Math7,150,1451,1301
Math8,20,4,-16
Math9,4,1,-3
Math10,134,479,345
Math11,121,4295,4174
Math13,167,5559,5392
Math14,121,4603,4482
Math15,500,2364,1864
Math16,269,1139,870
Math17,163,648,485
Math18,29,1579,1550
Math19,25,1669,1644
Math20,113,4161,4048
Math21,25,1901,1876
Math22,3,1,-2
Math23,118,1880,1762
Math24,131,1977,1846
Math25,11,455,444
Math26,31,1858,1827
Math27,1,22,21
Math28,13,3020,3007
Math29,1,6,5
Math30,90,433,343
Math31,184,587,403
Math32,7,4,-3
Math33,78,2967,2889
Math34,73,46,-27
Math35,6,110,104
Math36,1,24,23
Math37,14,4,-10
Math38,2,5,3
Math39,77,2042,1965
Math40,89,1514,1425
Math41,47,1265,1218
Math42,38,3005,2967
Math43,195,2092,1897
Math44,103,1739,1636
Math45,2,1067,1065
Math46,2,3,1
Math47,3,3,0
Math48,398,2589,2191
Math49,43,753,710
Math50,2,1,-1
Math51,27,2216,2189
Math52,12,51,39
Math53,2,697,695
Math54,133,1,-132
Math55,1324,1304,-20
Math56,1,20,19
Math57,6,2017,2011
Math58,538,2083,1545
Math59,635,2,-633
Math60,33,67,34
Math61,13,1,-12
Math62,315,150,-165
Math63,6,1,-5
Math64,143,177,34
Math65,22,41,19
Math66,412,710,298
Math67,16,8,-8
Math68,128,209,81
Math69,26,1422,1396
Math70,3,1,-2
Math71,3,1,-2
Math72,5,1,-4
Math73,14,1,-13
Math74,758,2028,1270
Math75,1,1,0
Math76,104,1798,1694
Math77,5,19,14
Math78,57,366,309
Math79,12,343,331
Math80,12,14,2
Math81,10,2086,2076
Math82,1804,1804,0
Math83,13,1662,1649
Math84,43,123,80
Math85,73,282,209
Math86,135,406,271
Math87,111,1640,1529
Math88,1,1590,1589
Math89,4,1,-3
Math90,3,54,51
Math91,1,1,0
Math92,5,6,1
Math93,3,7,4
Math94,14,204,190
Math95,6,145,139
Math96,12,107,95
Math97,1,99,98
Math98,21,246,225
Math99,1,4,3
Math100,13,329,316
Math101,4,71,67
Math102,3,3,0
Math103,30,191,161
Math105,68,68,0
Math106,4,50,46
Mockito1,23,2,-21
Mockito2,98,1191,1093
Mockito3,77,1216,1139
Mockito4,5,5,0
Mockito5,3065,2952,-113
Mockito6,20,1,-19
Mockito7,31,1111,1080
Mockito8,34,156,122
Mockito9,10,1076,1066
Mockito10,7,872,865
Mockito11,1,93,92
Mockito12,4,2,-2
Mockito13,163,1030,867
Mockito14,96,868,772
Mockito15,179,859,680
Mockito16,36,197,161
Mockito17,8,385,377
Mockito18,45,647,602
Mockito19,152,658,506
Mockito20,567,163,-404
Mockito21,1,399,398
Mockito22,11,608,597
Mockito23,79,915,836
Mockito24,3,796,793
Mockito25,22,1261,1239
Mockito26,3017,-1,-1
Mockito27,92,590,498
Mockito28,256,853,597
Mockito29,77,730,653
Mockito30,3,204,201
Mockito31,6,141,135
Mockito32,50,444,394
Mockito33,258,1120,862
Mockito34,164,1590,1426
Mockito35,6,85,79
Mockito36,102,1019,917
Mockito37,53,810,757
Mockito38,49,647,598
Time1,8,1230,1222
Time2,8,1988,1980
Time3,18,1567,1549
Time4,32,4327,4295
Time5,175,1772,1597
Time6,45,14,-31
Time7,75,3795,3720
Time8,21,1233,1212
Time9,53,1192,1139
Time10,306,4378,4072
Time11,378,3411,3033
Time12,7,3,-4
Time13,37,2684,2647
Time14,124,2448,2324
Time15,1,104,103
Time16,89,1687,1598
Time17,12,639,627
Time18,17,2268,2251
Time19,1036,5379,4343
Time20,110,1551,1441
Time21,111,21,-90
Time22,19,2791,2772
Time23,37,1301,1264
Time24,405,5554,5149
Time25,815,5329,4514
Time26,1802,2097,295
Time27,324,4502,4178
