Project,now,before,Difference
Chart1,110,42,-68
Chart2,107,92,-15
Chart3,6,3,-3
Chart4,229,311,82
Chart5,8,8,0
Chart6,636,650,14
Chart7,452,435,-17
Chart8,15,1,-14
Chart9,6,14,8
Chart10,-1,53,-1
Chart11,8,5,-3
Chart12,54,13,-41
Chart13,17,47,30
Chart14,3,6,3
Chart15,37,29,-8
Chart16,1,1,0
Chart17,2,2,0
Chart18,9,3,-6
Chart19,4,1,-3
Chart20,451,448,-3
Chart21,4,3,-1
Chart22,7,12,5
Chart24,4,3,-1
Chart25,2522,2640,118
Chart26,124,134,10
Closure1,1884,1744,-140
Closure2,59,66,7
Closure3,178,279,101
Closure4,11579,9518,-2061
Closure5,271,154,-117
Closure6,3,1,-2
Closure7,2,2,0
Closure8,91,123,32
Closure9,1,1,0
Closure10,352,215,-137
Closure11,255,14008,13753
Closure12,14244,15178,934
Closure13,23149,24214,1065
Closure14,27,4,-23
Closure15,231,185,-46
Closure16,133,205,72
Closure17,238,86,-152
Closure18,17270,17361,91
Closure19,4,1,-3
Closure20,17,2,-15
Closure21,23,6,-17
Closure22,1,4,3
Closure23,10,8,-2
Closure24,1,1,0
Closure25,104,107,3
Closure26,26,5,-21
Closure27,7,3,-4
Closure29,1278,447,-831
Closure30,277,242,-35
Closure31,16445,16568,123
Closure32,57,35,-22
Closure33,530,10413,9883
Closure34,1665,1644,-21
Closure35,55,6,-49
Closure36,1358,1062,-296
Closure37,16442,16628,186
Closure38,11092,11132,40
Closure39,41,21,-20
Closure40,151,120,-31
Closure41,13283,12951,-332
Closure42,6,1,-5
Closure43,12824,12296,-528
Closure44,11072,11138,66
Closure45,11804,10793,-1011
Closure46,2,1,-1
Closure47,362,338,-24
Closure48,11040,11694,654
Closure49,13940,13810,-130
Closure50,109,88,-21
Closure51,10498,10525,27
Closure52,106,116,10
Closure53,72,47,-25
Closure54,416,55,-361
Closure55,311,9947,9636
Closure56,59,65,6
Closure57,111,25,-86
Closure58,7,7,0
Closure59,26279,25904,-375
Closure60,515,21,-494
Closure61,296,146,-150
Closure62,1,4,3
