Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,111,42,-69
Chart2,org.jfree.data.general.DatasetUtilities#755,111,102,-9
Chart2,org.jfree.data.general.DatasetUtilities#757,107,104,-3
Chart2,org.jfree.data.general.DatasetUtilities#758,1116,1077,-39
Chart2,org.jfree.data.general.DatasetUtilities#761,1117,1078,-39
Chart2,org.jfree.data.general.DatasetUtilities#1242,115,92,-23
Chart2,org.jfree.data.general.DatasetUtilities#1243,130,93,-37
Chart2,org.jfree.data.general.DatasetUtilities#1245,1109,1070,-39
Chart2,org.jfree.data.general.DatasetUtilities#1248,1110,1071,-39
Chart3,org.jfree.data.time.TimeSeries#1056,13,3,-10
Chart3,org.jfree.data.time.TimeSeries#1057,7,4,-3
Chart4,org.jfree.chart.plot.XYPlot#4493,179,311,132
Chart5,org.jfree.data.xy.XYSeries#548,8,8,0
Chart6,org.jfree.chart.util.ShapeList#111,74,650,576
Chart7,org.jfree.data.time.TimePeriodValues#300,95,435,340
Chart7,org.jfree.data.time.TimePeriodValues#302,94,436,342
Chart8,org.jfree.data.time.Week#175,15,1,-14
Chart9,org.jfree.data.time.TimeSeries#944,6,14,8
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,53,53,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,5,-3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,142,13,-129
Chart13,org.jfree.chart.block.BorderArrangement#454,19,47,28
Chart14,org.jfree.chart.plot.XYPlot#2293,45,19,-26
Chart14,org.jfree.chart.plot.XYPlot#2529,9,26,17
Chart14,org.jfree.chart.plot.CategoryPlot#2166,12,6,-6
Chart14,org.jfree.chart.plot.CategoryPlot#2448,18,13,-5
Chart15,org.jfree.chart.plot.PiePlot#1379,7447,6542,-905
Chart15,org.jfree.chart.plot.PiePlot#2051,50,29,-21
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,1,-1
