Project,MinRank1,MinRank2,Difference
Chart1,111,42,-69
Chart2,107,92,-15
Chart3,7,3,-4
Chart4,179,311,132
Chart5,8,8,0
Chart6,74,650,576
Chart7,94,435,341
Chart8,15,1,-14
Chart9,6,14,8
Chart10,53,53,0
Chart11,8,5,-3
Chart12,142,13,-129
Chart13,19,47,28
Chart14,9,6,-3
Chart15,50,29,-21
Chart16,1,1,0
Chart17,2,2,0
Chart18,9,3,-6
Chart19,6,1,-5
Chart20,20,448,428
Chart21,6,3,-3
Chart22,7,12,5
Chart24,6,3,-3
Chart25,1602,2640,1038
Chart26,233,134,-99
Closure1,1770,1744,-26
Closure2,73,66,-7
Closure3,120,279,159
Closure4,1475,9518,8043
Closure5,317,154,-163
Closure6,52,1,-51
Closure7,10,2,-8
Closure8,71,123,52
Closure9,4,1,-3
Closure10,399,215,-184
Closure11,174,14008,13834
Closure12,666,15178,14512
Closure13,4929,24214,19285
Closure14,113,4,-109
Closure15,279,185,-94
Closure16,88,205,117
Closure17,478,86,-392
Closure18,2624,17361,14737
Closure19,29,1,-28
Closure20,19,2,-17
Closure21,55,6,-49
Closure22,1,4,3
Closure23,39,8,-31
Closure24,20,1,-19
Closure25,126,107,-19
Closure26,42,5,-37
Closure27,23,3,-20
Closure29,1936,447,-1489
Closure30,233,242,9
Closure31,2091,16568,14477
Closure32,79,35,-44
Closure33,579,10413,9834
Closure34,250,1644,1394
Closure35,169,6,-163
Closure36,1320,1062,-258
Closure37,1897,16628,14731
Closure38,400,11132,10732
Closure39,56,21,-35
Closure40,148,120,-28
Closure41,1156,12951,11795
Closure42,7,1,-6
Closure43,1395,12296,10901
Closure44,919,11138,10219
Closure45,511,10793,10282
Closure46,2,1,-1
Closure47,274,338,64
Closure48,503,11694,11191
Closure49,1961,13810,11849
Closure50,132,88,-44
Closure51,395,10525,10130
Closure52,87,116,29
Closure53,113,47,-66
Closure54,1048,55,-993
Closure55,271,9947,9676
Closure56,47,65,18
Closure57,160,25,-135
Closure58,11,7,-4
Closure59,8829,25904,17075
Closure60,1144,21,-1123
Closure61,308,146,-162
Closure62,3,4,1
Closure63,3,4,1
Closure64,1239,1481,242
Closure65,296,78,-218
Closure66,1955,12664,10709
Closure67,407,9571,9164
Closure68,8,3,-5
Closure69,1044,11744,10700
Closure70,1631,13035,11404
Closure71,521,227,-294
Closure72,593,7121,6528
Closure73,593,9137,8544
Closure74,139,123,-16
Closure75,38,8,-30
Closure76,124,138,14
Closure77,159,370,211
Closure78,7,1,-6
Closure79,184,51,-133
Closure80,128,13,-115
Closure81,117,3026,2909
Closure82,4329,14561,10232
Closure83,11,12732,12721
Closure84,105,2543,2438
Closure85,90,164,74
Closure86,19,2,-17
Closure87,151,8724,8573
Closure88,450,69,-381
Closure89,311,142,-169
Closure90,374,46,-328
Closure91,571,11997,11426
Closure92,379,85,-294
Closure93,380,85,-295
Closure94,7,4,-3
Closure95,2476,14561,12085
Closure96,276,10045,9769
Closure97,14,1,-13
Closure98,443,11498,11055
Closure99,17,16,-1
Closure100,10,7,-3
Closure101,21984,21984,0
Closure102,4398,21975,17577
Closure103,173,288,115
Closure104,75,13,-62
Closure105,53,7,-46
Closure106,25,105,80
Closure107,186,132,-54
Closure108,111,11732,11621
Closure109,95,33,-62
Closure110,71,2,-69
Closure111,1,1,0
Closure112,208,110,-98
Closure113,117,17,-100
Closure114,332,15347,15015
Closure115,276,8,-268
Closure116,456,31,-425
Closure117,2170,10050,7880
Closure118,398,2,-396
Closure120,22,226,204
Closure121,321,14779,14458
Closure122,141,9,-132
Closure123,357,139,-218
Closure124,72,10,-62
Closure125,615,12959,12344
Closure126,36,5,-31
Closure127,207,210,3
Closure128,175,102,-73
Closure129,4111,25226,21115
Closure130,834,16541,15707
Closure131,1075,11546,10471
Closure132,175,80,-95
Closure133,193,4229,4036
Lang1,4,3,-1
Lang2,4,3,-1
Lang3,1,3,2
Lang4,6,17,11
Lang5,4,1,-3
Lang6,57,2766,2709
Lang7,12,122,110
Lang8,19,6,-13
Lang9,356,648,292
Lang10,142,480,338
Lang11,8,3,-5
Lang12,7,5,-2
Lang13,6,5,-1
Lang14,2,4,2
Lang15,189,217,28
Lang16,78,27,-51
Lang17,21,1221,1200
Lang18,72,41,-31
Lang19,5,8,3
Lang20,22,8,-14
Lang21,1,2,1
Lang22,42,35,-7
Lang24,131,64,-67
Lang26,18,245,227
Lang27,72,127,55
Lang28,31,3,-28
Lang30,1,8,7
Lang31,1,6,5
Lang32,8,26,18
Lang33,6,7,1
Lang34,174,475,301
Lang35,1,2,1
Lang36,82,42,-40
Lang37,1,6,5
Lang38,2,3,1
Lang39,48,27,-21
Lang40,1,2,1
Lang41,6,6,0
Lang42,19,13,-6
Lang43,2,6,4
Lang44,13,3,-10
Lang45,18,10,-8
Lang46,2,1,-1
Lang47,3,5,2
Lang48,2,167,165
Lang49,4,1,-3
Lang50,20,8,-12
Lang53,35,16,-19
Lang54,3,3,0
