Project,now,before,Difference
Chart1,260,350,90
Chart2,126,108,-18
Chart3,39,86,47
Chart4,103,331,228
Chart5,39,44,5
Chart6,14,38,24
Chart7,116,80,-36
Chart8,38,8,-30
Chart9,55,146,91
Chart10,3,3,0
Chart11,8,5,-3
Chart12,325,151,-174
Chart13,108,147,39
Chart14,318,329,11
Chart15,460,399,-61
Chart16,10,19,9
Chart17,55,63,8
Chart18,23,20,-3
Chart19,493,487,-6
Chart20,20,22,2
Chart21,30,106,76
Chart22,52,65,13
Chart24,11,10,-1
Chart25,2622,2879,257
Chart26,611,172,-439
Closure1,990,1426,436
Closure2,2037,2237,200
Closure3,269,1432,1163
Closure4,3982,4379,397
Closure5,2388,1153,-1235
Closure6,4518,4377,-141
Closure7,1593,1482,-111
Closure8,356,526,170
Closure9,11,10,-1
Closure10,2942,2883,-59
Closure11,1883,2770,887
Closure12,696,1797,1101
Closure13,559,4076,3517
Closure14,742,440,-302
Closure15,2706,1356,-1350
Closure16,370,1131,761
Closure17,3718,3832,114
Closure18,1373,550,-823
Closure19,3121,3558,437
Closure20,1000,1350,350
Closure21,2836,2852,16
Closure22,2809,2852,43
Closure23,2086,981,-1105
Closure24,2248,1309,-939
Closure25,1254,1594,340
Closure26,2287,2294,7
Closure27,321,43,-278
Closure29,2088,1122,-966
Closure30,1173,1209,36
Closure31,823,402,-421
Closure32,704,718,14
Closure33,3236,5170,1934
Closure34,58,26,-32
Closure35,3194,2308,-886
Closure36,3498,3702,204
Closure37,167,660,493
Closure38,551,107,-444
Closure39,815,989,174
Closure40,1211,1012,-199
Closure41,2763,2116,-647
Closure42,124,165,41
Closure43,4029,3486,-543
Closure44,241,90,-151
Closure45,2495,1763,-732
Closure46,26,690,664
Closure47,1864,2560,696
Closure48,3009,3583,574
Closure49,138,673,535
Closure50,1585,1190,-395
Closure51,566,104,-462
Closure52,2016,2024,8
Closure53,2127,1016,-1111
Closure54,761,1634,873
Closure55,1141,928,-213
Closure56,597,633,36
Closure57,1747,1730,-17
Closure58,1104,775,-329
Closure59,2132,473,-1659
Closure60,2652,2771,119
Closure61,1933,1918,-15
Closure62,20,47,27
Closure63,20,47,27
Closure64,547,521,-26
Closure65,2465,2378,-87
Closure66,3225,2746,-479
Closure67,1188,99,-1089
Closure68,770,145,-625
Closure69,3134,2907,-227
Closure70,2794,3013,219
Closure71,3197,2552,-645
Closure72,2718,1086,-1632
Closure73,2010,1964,-46
Closure74,813,927,114
Closure75,2392,2418,26
Closure76,1084,961,-123
Closure77,1933,1940,7
Closure78,1666,1058,-608
Closure79,1730,1805,75
Closure80,1661,1629,-32
Closure81,165,123,-42
Closure82,337,207,-130
Closure83,112,96,-16
Closure84,48,107,59
Closure85,352,1066,714
Closure86,1969,1996,27
Closure87,1132,1011,-121
Closure88,2595,915,-1680
Closure89,2410,990,-1420
Closure90,2937,1922,-1015
Closure91,1820,62,-1758
Closure92,1717,955,-762
Closure93,1717,955,-762
Closure94,1470,1467,-3
Closure95,1469,1556,87
Closure96,2565,2670,105
Closure97,615,702,87
Closure98,1043,1282,239
Closure99,761,28,-733
Closure100,1446,1435,-11
Closure101,1226,573,-653
Closure102,1265,2811,1546
Closure103,1958,1969,11
Closure104,729,886,157
Closure105,944,636,-308
Closure106,2299,2011,-288
Closure107,1383,585,-798
Closure108,647,1442,795
Closure109,823,162,-661
Closure110,2127,2645,518
Closure111,300,1314,1014
Closure112,2643,2379,-264
Closure113,1281,1207,-74
Closure114,1665,1176,-489
Closure115,1734,878,-856
Closure116,567,383,-184
Closure117,5179,3025,-2154
Closure118,4102,1470,-2632
Closure120,2307,2913,606
Closure121,688,968,280
Closure122,870,239,-631
Closure123,2175,2062,-113
Closure124,1142,812,-330
Closure125,3196,2672,-524
Closure126,948,910,-38
Closure127,1038,1286,248
Closure128,1988,1958,-30
Closure129,979,1000,21
Closure130,2884,462,-2422
Closure131,2861,2230,-631
Closure132,2028,1152,-876
Closure133,571,617,46
Lang1,7,33,26
Lang2,3,4,1
Lang3,2,48,46
Lang4,12,3,-9
Lang5,5,6,1
Lang6,45,71,26
Lang7,9,139,130
Lang8,219,262,43
Lang9,56,27,-29
Lang10,30,48,18
Lang11,10,6,-4
Lang12,7,4,-3
Lang13,29,33,4
Lang14,2,5,3
Lang15,69,184,115
Lang16,91,47,-44
Lang17,3,56,53
Lang18,169,47,-122
Lang19,16,14,-2
Lang20,45,28,-17
Lang21,2,4,2
Lang22,26,22,-4
Lang24,153,159,6
Lang26,82,87,5
Lang27,52,151,99
Lang28,31,30,-1
Lang30,23,30,7
Lang31,1,26,25
Lang32,10,24,14
Lang33,19,58,39
Lang34,118,118,0
Lang35,2,22,20
Lang36,46,42,-4
Lang37,1,25,24
Lang38,82,103,21
Lang39,48,26,-22
Lang40,1,4,3
Lang41,33,38,5
Lang42,38,7,-31
