Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,260,350,90
Chart2,org.jfree.data.general.DatasetUtilities#755,129,108,-21
Chart2,org.jfree.data.general.DatasetUtilities#757,124,110,-14
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,139,124,-15
Chart2,org.jfree.data.general.DatasetUtilities#1243,150,125,-25
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,97,86,-11
Chart3,org.jfree.data.time.TimeSeries#1057,39,87,48
Chart4,org.jfree.chart.plot.XYPlot#4493,117,331,214
Chart5,org.jfree.data.xy.XYSeries#548,39,44,5
Chart6,org.jfree.chart.util.ShapeList#111,14,38,24
Chart7,org.jfree.data.time.TimePeriodValues#300,118,80,-38
Chart7,org.jfree.data.time.TimePeriodValues#302,116,81,-35
Chart8,org.jfree.data.time.Week#175,38,8,-30
Chart9,org.jfree.data.time.TimeSeries#944,55,146,91
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,8,5,-3
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,325,151,-174
Chart13,org.jfree.chart.block.BorderArrangement#454,108,147,39
Chart14,org.jfree.chart.plot.XYPlot#2293,329,349,20
Chart14,org.jfree.chart.plot.XYPlot#2529,309,356,47
Chart14,org.jfree.chart.plot.CategoryPlot#2166,314,329,15
Chart14,org.jfree.chart.plot.CategoryPlot#2448,319,336,17
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,460,399,-61
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,12,19,7
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,10,20,10
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,43,37,-6
Chart17,org.jfree.data.time.TimeSeries#857,55,63,8
Chart18,org.jfree.data.DefaultKeyedValues#318,26,20,-6
Chart18,org.jfree.data.DefaultKeyedValues#335,24,26,2
Chart18,org.jfree.data.DefaultKeyedValues2D#455,41,55,14
Chart18,org.jfree.data.DefaultKeyedValues2D#458,33,58,25
Chart18,org.jfree.data.DefaultKeyedValues2D#460,36,60,24
Chart19,org.jfree.chart.plot.CategoryPlot#698,481,487,6
Chart19,org.jfree.chart.plot.CategoryPlot#973,476,502,26
Chart20,org.jfree.chart.plot.ValueMarker#95,20,22,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,49,106,57
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,112,107,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,119,108,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,86,109,23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,106,110,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,64,111,47
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,118,112,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,107,113,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,53,114,61
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,57,115,58
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,124,116,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,52,117,65
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,83,118,35
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,70,119,49
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,110,120,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,99,121,22
