Project,now,before,Difference
Chart1,46,42,-4
Chart2,96,92,-4
Chart3,6,3,-3
Chart4,575,660,85
Chart5,8,8,0
Chart6,97,104,7
Chart7,99,81,-18
Chart8,15,1,-14
Chart9,6,14,8
Chart10,3,3,0
Chart11,8,5,-3
Chart12,47,13,-34
Chart13,21,47,26
Chart14,4,6,2
Chart15,31,29,-2
Chart16,3,2,-1
Chart17,2,2,0
Chart18,10,3,-7
Chart19,7,1,-6
Chart20,7,5,-2
Chart21,3,3,0
Chart22,8,22,14
Chart24,4,3,-1
Chart25,29,154,125
Chart26,613,666,53
Closure1,795,870,75
Closure2,33,37,4
Closure3,112,279,167
Closure4,336,192,-144
Closure5,160,154,-6
Closure6,46,1,-45
Closure7,48,2,-46
Closure8,79,123,44
Closure9,2,1,-1
Closure10,163,215,52
Closure11,537,1147,610
Closure12,986,1081,95
Closure13,5507,5651,144
Closure14,100,5,-95
Closure15,174,185,11
Closure16,80,208,128
Closure17,95,76,-19
Closure18,2057,2060,3
Closure19,69,1,-68
Closure20,28,2,-26
Closure21,67,3,-64
Closure22,4,1,-3
Closure23,53,8,-45
Closure24,8,1,-7
Closure25,81,107,26
Closure26,222,16,-206
Closure27,58,1,-57
Closure29,675,536,-139
Closure30,235,242,7
Closure31,1621,1664,43
Closure32,36,43,7
Closure33,484,510,26
Closure34,228,230,2
Closure35,65,6,-59
Closure36,994,1062,68
Closure37,1098,1226,128
Closure38,353,345,-8
Closure39,37,19,-18
Closure40,114,120,6
Closure41,772,695,-77
Closure42,2,1,-1
Closure43,566,506,-60
Closure44,742,778,36
Closure45,321,280,-41
Closure46,3,13,10
Closure47,262,160,-102
Closure48,394,389,-5
Closure49,1780,1734,-46
Closure50,115,94,-21
Closure51,334,326,-8
Closure52,38,116,78
Closure53,46,47,1
Closure54,146,56,-90
Closure55,335,329,-6
Closure56,19,65,46
Closure57,61,25,-36
Closure58,10,7,-3
Closure59,7476,6782,-694
Closure60,587,21,-566
Closure61,151,143,-8
Closure62,4,4,0
Closure63,4,4,0
Closure64,1296,1484,188
Closure65,54,1,-53
Closure66,3072,2743,-329
Closure67,338,308,-30
Closure68,13,3,-10
Closure69,1029,1006,-23
Closure70,2095,2011,-84
Closure71,237,250,13
Closure72,300,241,-59
Closure73,347,305,-42
Closure74,179,178,-1
Closure75,35,1,-34
Closure76,113,112,-1
Closure77,293,306,13
Closure78,16,1,-15
Closure79,81,57,-24
Closure80,62,10,-52
Closure81,156,173,17
Closure82,1407,1092,-315
Closure83,10,10,0
Closure84,175,195,20
Closure85,131,172,41
Closure86,102,21,-81
Closure87,152,150,-2
Closure88,219,196,-23
Closure89,184,154,-30
Closure90,86,46,-40
Closure91,489,284,-205
Closure92,166,85,-81
Closure93,167,85,-82
Closure94,41,5,-36
Closure95,2224,1764,-460
Closure96,245,246,1
Closure97,18,1,-17
Closure98,429,425,-4
Closure99,16,16,0
Closure100,5,6,1
Closure101,3075,2775,-300
Closure102,4705,4752,47
Closure103,200,289,89
Closure104,47,13,-34
Closure105,62,7,-55
Closure106,16,24,8
Closure107,144,132,-12
Closure108,211,237,26
Closure109,33,33,0
Closure110,54,2,-52
Closure111,1,1,0
Closure112,103,109,6
Closure113,15,17,2
Closure114,215,215,0
Closure115,56,8,-48
Closure116,82,42,-40
Closure117,256,225,-31
Closure118,216,2,-214
Closure120,13,239,226
Closure121,398,388,-10
Closure122,30,9,-21
Closure123,174,159,-15
Closure124,41,10,-31
Closure125,397,396,-1
Closure126,68,5,-63
Closure127,227,277,50
Closure128,85,102,17
Closure129,3401,3293,-108
Closure130,631,545,-86
Closure131,365,300,-65
Closure132,95,80,-15
Closure133,454,516,62
Lang1,4,3,-1
Lang2,3,3,0
Lang3,1,3,2
Lang4,3,2,-1
Lang5,1,1,0
Lang6,95,98,3
Lang7,11,122,111
Lang8,18,10,-8
Lang9,172,153,-19
Lang10,86,77,-9
Lang11,7,3,-4
Lang12,7,5,-2
Lang13,4,5,1
Lang14,2,4,2
Lang15,216,217,1
Lang16,67,27,-40
Lang17,35,102,67
Lang18,63,41,-22
Lang19,7,8,1
Lang20,20,8,-12
Lang21,1,2,1
Lang22,35,34,-1
Lang24,98,64,-34
Lang26,18,7,-11
Lang27,89,127,38
Lang28,5,3,-2
Lang30,1,10,9
Lang31,1,6,5
Lang32,9,26,17
Lang33,6,7,1
Lang34,177,145,-32
