Project,MinRank1,MinRank2,Difference
Chart1,123,42,-81
Chart2,94,92,-2
Chart3,8,3,-5
Chart4,284,660,376
Chart5,8,8,0
Chart6,62,104,42
Chart7,117,81,-36
Chart8,17,1,-16
Chart9,11,14,3
Chart10,3,3,0
Chart11,8,5,-3
Chart12,203,13,-190
Chart13,37,47,10
Chart14,16,6,-10
Chart15,207,29,-178
Chart16,4,2,-2
Chart17,14,2,-12
Chart18,11,3,-8
Chart19,67,1,-66
Chart20,14,5,-9
Chart21,7,3,-4
Chart22,9,22,13
Chart24,11,3,-8
Chart25,288,154,-134
Chart26,1337,666,-671
Closure1,847,870,23
Closure2,52,37,-15
Closure3,35,279,244
Closure4,1494,192,-1302
Closure5,426,154,-272
Closure6,184,1,-183
Closure7,121,2,-119
Closure8,15,123,108
Closure9,4,1,-3
Closure10,290,215,-75
Closure11,232,1147,915
Closure12,554,1081,527
Closure13,2574,5651,3077
Closure14,214,5,-209
Closure15,363,185,-178
Closure16,52,208,156
Closure17,217,76,-141
Closure18,2254,2060,-194
Closure19,174,1,-173
Closure20,49,2,-47
Closure21,107,3,-104
Closure22,11,1,-10
Closure23,235,8,-227
Closure24,386,1,-385
Closure25,114,107,-7
Closure26,1183,16,-1167
Closure27,93,1,-92
Closure29,1572,536,-1036
Closure30,194,242,48
Closure31,1712,1664,-48
Closure32,73,43,-30
Closure33,314,510,196
Closure34,224,230,6
Closure35,262,6,-256
Closure36,1334,1062,-272
Closure37,787,1226,439
Closure38,388,345,-43
Closure39,62,19,-43
Closure40,132,120,-12
Closure41,1297,695,-602
Closure42,5,1,-4
Closure43,1084,506,-578
Closure44,614,778,164
Closure45,1157,280,-877
Closure46,5,13,8
Closure47,331,160,-171
Closure48,395,389,-6
Closure49,782,1734,952
Closure50,212,94,-118
Closure51,415,326,-89
Closure52,30,116,86
Closure53,219,47,-172
Closure54,690,56,-634
Closure55,259,329,70
Closure56,29,65,36
Closure57,124,25,-99
Closure58,34,7,-27
Closure59,7892,6782,-1110
Closure60,1820,21,-1799
Closure61,188,143,-45
Closure62,5,4,-1
Closure63,5,4,-1
Closure64,1071,1484,413
Closure65,231,1,-230
Closure66,3221,2743,-478
Closure67,493,308,-185
Closure68,39,3,-36
Closure69,1122,1006,-116
Closure70,2197,2011,-186
Closure71,318,250,-68
Closure72,1298,241,-1057
Closure73,1048,305,-743
Closure74,160,178,18
Closure75,52,1,-51
Closure76,84,112,28
Closure77,201,306,105
Closure78,120,1,-119
Closure79,159,57,-102
Closure80,123,10,-113
Closure81,100,173,73
Closure82,1896,1092,-804
Closure83,20,10,-10
Closure84,79,195,116
Closure85,52,172,120
Closure86,220,21,-199
Closure87,196,150,-46
Closure88,1375,196,-1179
Closure89,607,154,-453
Closure90,265,46,-219
Closure91,1637,284,-1353
Closure92,609,85,-524
Closure93,610,85,-525
Closure94,110,5,-105
Closure95,2132,1764,-368
Closure96,181,246,65
Closure97,30,1,-29
Closure98,425,425,0
Closure99,14,16,2
Closure100,21,6,-15
Closure101,1941,2775,834
Closure102,3883,4752,869
Closure103,106,289,183
Closure104,86,13,-73
Closure105,117,7,-110
Closure106,68,24,-44
Closure107,106,132,26
Closure108,88,237,149
Closure109,54,33,-21
Closure110,182,2,-180
Closure111,4,1,-3
Closure112,172,109,-63
Closure113,122,17,-105
Closure114,441,215,-226
Closure115,719,8,-711
Closure116,333,42,-291
Closure117,919,225,-694
Closure118,1012,2,-1010
Closure120,12,239,227
Closure121,292,388,96
Closure122,93,9,-84
Closure123,234,159,-75
Closure124,110,10,-100
Closure125,320,396,76
Closure126,166,5,-161
Closure127,267,277,10
Closure128,100,102,2
Closure129,3338,3293,-45
Closure130,1924,545,-1379
Closure131,2570,300,-2270
Closure132,330,80,-250
Closure133,341,516,175
Lang1,7,3,-4
Lang2,3,3,0
Lang3,2,3,1
Lang4,12,2,-10
Lang5,4,1,-3
Lang6,53,98,45
Lang7,10,122,112
Lang8,27,10,-17
Lang9,204,153,-51
Lang10,89,77,-12
Lang11,9,3,-6
Lang12,7,5,-2
Lang13,28,5,-23
Lang14,2,4,2
Lang15,225,217,-8
Lang16,76,27,-49
Lang17,8,102,94
Lang18,107,41,-66
Lang19,4,8,4
Lang20,26,8,-18
Lang21,2,2,0
Lang22,49,34,-15
Lang24,133,64,-69
Lang26,55,7,-48
Lang27,52,127,75
Lang28,31,3,-28
Lang30,1,10,9
Lang31,1,6,5
Lang32,8,26,18
Lang33,7,7,0
Lang34,202,145,-57
Lang35,2,2,0
Lang36,88,94,6
Lang37,1,6,5
Lang38,3,3,0
Lang39,48,27,-21
Lang40,1,2,1
Lang41,6,6,0
Lang42,31,13,-18
Lang43,3,6,3
Lang44,13,3,-10
Lang45,18,10,-8
Lang46,3,1,-2
Lang47,5,5,0
Lang48,5,2,-3
Lang49,19,1,-18
Lang50,20,2,-18
Lang53,35,16,-19
Lang54,3,3,0
Lang55,13,7,-6
Lang57,2,6,4
Lang58,12,20,8
Lang59,12,6,-6
