Project,now,before,Difference
Chart1,3,1,-2
Chart2,72,51,-21
Chart3,3,2,-1
Chart4,203,431,228
Chart5,12,9,-3
Chart6,49,56,7
Chart7,58,29,-29
Chart8,9,5,-4
Chart9,7,11,4
Chart10,1,1,0
Chart11,3,2,-1
Chart12,48,16,-32
Chart13,2,1,-1
Chart14,1,1,0
Chart15,13,7,-6
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,1,-1
Chart19,5,1,-4
Chart20,6,6,0
Chart21,7,4,-3
Chart22,1,1,0
Chart24,3,2,-1
Chart25,6,3,-3
Chart26,5,2,-3
Closure1,21,29,8
Closure2,36,69,33
Closure3,2,41,39
Closure4,10,1,-9
Closure5,26,1,-25
Closure6,26,1,-25
Closure7,72,52,-20
Closure8,2,10,8
Closure9,1,1,0
Closure10,167,138,-29
Closure11,43,3,-40
Closure12,38,162,124
Closure13,779,2704,1925
Closure14,15,2,-13
Closure15,247,116,-131
Closure16,67,185,118
Closure17,6,1,-5
Closure18,444,372,-72
Closure19,130,77,-53
Closure20,140,193,53
Closure21,6,1,-5
Closure22,4,1,-3
Closure23,137,38,-99
Closure24,10,1,-9
Closure25,41,3,-38
Closure26,665,82,-583
Closure27,5,4,-1
Closure29,59,25,-34
Closure30,161,140,-21
Closure31,273,243,-30
Closure32,1,1,0
Closure33,34,54,20
Closure34,2,2,0
Closure35,251,114,-137
Closure36,73,58,-15
Closure37,340,551,211
Closure38,4,1,-3
Closure39,10,1,-9
Closure40,7,2,-5
Closure41,528,499,-29
Closure42,1,1,0
Closure43,405,223,-182
Closure44,32,130,98
Closure45,69,18,-51
Closure46,5,1,-4
Closure47,4,5,1
Closure48,1,1,0
Closure49,43,112,69
Closure50,8,5,-3
Closure51,1,1,0
Closure52,25,71,46
Closure53,75,11,-64
Closure54,199,46,-153
Closure55,21,32,11
Closure56,52,29,-23
Closure57,39,21,-18
Closure58,132,89,-43
Closure59,2441,1482,-959
Closure60,172,54,-118
Closure61,110,86,-24
Closure62,1,1,0
Closure63,1,1,0
Closure64,741,700,-41
Closure65,28,2,-26
Closure66,13,2,-11
Closure67,15,13,-2
Closure68,42,4,-38
Closure69,213,229,16
Closure70,4,1,-3
Closure71,1,1,0
Closure72,363,200,-163
Closure73,8,1,-7
Closure74,10,3,-7
Closure75,36,78,42
Closure76,30,7,-23
Closure77,6,12,6
Closure78,101,11,-90
Closure79,109,86,-23
Closure80,232,235,3
Closure81,7,4,-3
Closure82,3083,2817,-266
Closure83,1,1,0
Closure84,4,5,1
Closure85,3,10,7
Closure86,9,38,29
Closure87,77,53,-24
Closure88,62,2,-60
Closure89,29,9,-20
Closure90,105,24,-81
Closure91,418,189,-229
Closure92,8,1,-7
Closure93,9,3,-6
Closure94,8,16,8
Closure95,1912,984,-928
Closure96,40,24,-16
Closure97,65,52,-13
Closure98,58,71,13
Closure99,4,3,-1
Closure100,13,10,-3
Closure101,1277,1807,530
Closure102,3304,4169,865
Closure103,281,584,303
Closure104,5,4,-1
Closure105,45,14,-31
Closure106,2,2,0
Closure107,4,4,0
Closure108,39,18,-21
Closure109,83,59,-24
Closure110,103,68,-35
Closure111,24,112,88
Closure112,244,158,-86
Closure113,11,6,-5
Closure114,16,12,-4
Closure115,12,2,-10
Closure116,330,113,-217
Closure117,34,5,-29
Closure118,290,83,-207
Closure120,41,592,551
Closure121,14,22,8
Closure122,8,1,-7
Closure123,187,137,-50
Closure124,79,62,-17
Closure125,30,47,17
Closure126,14,1,-13
Closure127,18,17,-1
Closure128,2,1,-1
Closure129,1299,933,-366
Closure130,148,52,-96
Closure131,52,9,-43
Closure132,247,111,-136
Closure133,47,77,30
Lang1,2,1,-1
Lang2,16,18,2
Lang3,1,2,1
Lang4,4,2,-2
Lang5,3,1,-2
Lang6,17,17,0
