Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,5,1,-4
Chart2,org.jfree.data.general.DatasetUtilities#755,109,102,-7
Chart2,org.jfree.data.general.DatasetUtilities#757,56,62,6
Chart2,org.jfree.data.general.DatasetUtilities#1242,66,51,-15
Chart2,org.jfree.data.general.DatasetUtilities#1243,122,100,-22
Chart3,org.jfree.data.time.TimeSeries#1056,15,4,-11
Chart3,org.jfree.data.time.TimeSeries#1057,3,2,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,142,431,289
Chart5,org.jfree.data.xy.XYSeries#548,13,9,-4
Chart6,org.jfree.chart.util.ShapeList#111,41,56,15
Chart7,org.jfree.data.time.TimePeriodValues#300,82,50,-32
Chart7,org.jfree.data.time.TimePeriodValues#302,68,29,-39
Chart8,org.jfree.data.time.Week#175,12,5,-7
Chart9,org.jfree.data.time.TimeSeries#944,6,11,5
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,2,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,85,16,-69
Chart13,org.jfree.chart.block.BorderArrangement#454,3,1,-2
Chart14,org.jfree.chart.plot.XYPlot#2293,7,2,-5
Chart14,org.jfree.chart.plot.XYPlot#2529,1,4,3
Chart14,org.jfree.chart.plot.CategoryPlot#2166,2,1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,4,3,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,16,7,-9
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,10,9,-1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,8,1,-7
Chart18,org.jfree.data.DefaultKeyedValues#335,37,52,15
Chart18,org.jfree.data.DefaultKeyedValues2D#455,14,11,-3
Chart18,org.jfree.data.DefaultKeyedValues2D#458,2,5,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,13,16,3
Chart19,org.jfree.chart.plot.CategoryPlot#698,27,6,-21
Chart19,org.jfree.chart.plot.CategoryPlot#973,15,1,-14
Chart20,org.jfree.chart.plot.ValueMarker#95,6,6,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,76,79,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,46,35,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,55,38,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,86,80,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,41,34,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,40,50,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,48,36,-12
