Project,MinRank1,MinRank2,Difference
Chart1,5,1,-4
Chart2,56,51,-5
Chart3,3,2,-1
Chart4,142,431,289
Chart5,13,9,-4
Chart6,41,56,15
Chart7,68,29,-39
Chart8,12,5,-7
Chart9,6,11,5
Chart10,2,1,-1
Chart11,3,2,-1
Chart12,85,16,-69
Chart13,3,1,-2
Chart14,1,1,0
Chart15,16,7,-9
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,1,-1
Chart19,15,1,-14
Chart20,6,6,0
Chart21,3,4,1
Chart22,1,1,0
Chart24,9,2,-7
Chart25,39,3,-36
Chart26,10,2,-8
Closure1,34,29,-5
Closure2,25,69,44
Closure3,2,41,39
Closure4,119,1,-118
Closure5,105,1,-104
Closure6,130,1,-129
Closure7,76,52,-24
Closure8,2,10,8
Closure9,4,1,-3
Closure10,173,138,-35
Closure11,174,3,-171
Closure12,30,162,132
Closure13,631,2704,2073
Closure14,38,2,-36
Closure15,260,116,-144
Closure16,36,185,149
Closure17,13,1,-12
Closure18,373,372,-1
Closure19,153,77,-76
Closure20,121,193,72
Closure21,16,1,-15
Closure22,8,1,-7
Closure23,296,38,-258
Closure24,73,1,-72
Closure25,60,3,-57
Closure26,723,82,-641
Closure27,5,4,-1
Closure29,133,25,-108
Closure30,167,140,-27
Closure31,225,243,18
Closure32,1,1,0
Closure33,36,54,18
Closure34,2,2,0
Closure35,318,114,-204
Closure36,62,58,-4
Closure37,303,551,248
Closure38,6,1,-5
Closure39,16,1,-15
Closure40,5,2,-3
Closure41,448,499,51
Closure42,1,1,0
Closure43,573,223,-350
Closure44,23,130,107
Closure45,203,18,-185
Closure46,7,1,-6
Closure47,3,5,2
Closure48,2,1,-1
Closure49,40,112,72
Closure50,44,5,-39
Closure51,1,1,0
Closure52,16,71,55
Closure53,167,11,-156
Closure54,343,46,-297
Closure55,24,32,8
Closure56,38,29,-9
Closure57,57,21,-36
Closure58,119,89,-30
Closure59,2481,1482,-999
Closure60,295,54,-241
Closure61,97,86,-11
Closure62,1,1,0
Closure63,1,1,0
Closure64,575,700,125
Closure65,47,2,-45
Closure66,103,2,-101
Closure67,20,13,-7
Closure68,78,4,-74
Closure69,211,229,18
Closure70,5,1,-4
Closure71,4,1,-3
Closure72,553,200,-353
Closure73,71,1,-70
Closure74,17,3,-14
Closure75,25,78,53
Closure76,90,7,-83
Closure77,6,12,6
Closure78,170,11,-159
Closure79,88,86,-2
Closure80,189,235,46
Closure81,7,4,-3
Closure82,2756,2817,61
Closure83,2,1,-1
Closure84,2,5,3
Closure85,2,10,8
Closure86,7,38,31
Closure87,85,53,-32
Closure88,472,2,-470
Closure89,82,9,-73
Closure90,142,24,-118
Closure91,644,189,-455
Closure92,43,1,-42
Closure93,72,3,-69
Closure94,8,16,8
Closure95,1706,984,-722
Closure96,52,24,-28
Closure97,59,52,-7
Closure98,59,71,12
Closure99,4,3,-1
Closure100,9,10,1
Closure101,1112,1807,695
Closure102,3209,4169,960
Closure103,201,584,383
Closure104,5,4,-1
Closure105,52,14,-38
Closure106,2,2,0
Closure107,3,4,1
Closure108,50,18,-32
Closure109,84,59,-25
Closure110,116,68,-48
Closure111,19,112,93
Closure112,249,158,-91
Closure113,30,6,-24
Closure114,20,12,-8
Closure115,27,2,-25
Closure116,406,113,-293
Closure117,219,5,-214
Closure118,466,83,-383
Closure120,36,592,556
Closure121,11,22,11
Closure122,34,1,-33
Closure123,211,137,-74
Closure124,82,62,-20
Closure125,26,47,21
Closure126,43,1,-42
Closure127,22,17,-5
Closure128,3,1,-2
Closure129,1076,933,-143
Closure130,380,52,-328
Closure131,568,9,-559
Closure132,333,111,-222
Closure133,30,77,47
Lang1,3,1,-2
Lang2,17,18,1
Lang3,1,2,1
Lang4,3,2,-1
Lang5,4,1,-3
Lang6,14,17,3
Lang7,13,10,-3
Lang8,14,3,-11
Lang9,57,34,-23
Lang10,41,38,-3
Lang11,9,10,1
Lang12,3,2,-1
Lang13,16,2,-14
Lang14,2,3,1
Lang15,12,1,-11
Lang16,58,23,-35
Lang17,9,13,4
Lang18,115,55,-60
Lang19,8,2,-6
Lang20,3,1,-2
Lang21,1,1,0
Lang22,19,1,-18
Lang24,106,49,-57
Lang26,3,1,-2
Lang27,4,1,-3
Lang28,29,1,-28
Lang30,2,14,12
Lang31,2,1,-1
Lang32,4,6,2
Lang33,5,1,-4
Lang34,48,1,-47
Lang35,2,2,0
Lang36,42,33,-9
Lang37,1,2,1
Lang38,4,2,-2
Lang39,14,4,-10
Lang40,1,1,0
Lang41,9,8,-1
Lang42,16,11,-5
Lang43,3,6,3
Lang44,9,12,3
Lang45,17,8,-9
Lang46,1,1,0
Lang47,6,6,0
Lang48,2,1,-1
Lang49,8,1,-7
Lang50,17,24,7
Lang53,38,39,1
Lang54,2,2,0
Lang55,3,1,-2
Lang57,1,1,0
Lang58,2,3,1
Lang59,11,5,-6
Lang60,49,1,-48
Lang61,37,34,-3
Lang62,7,3,-4
Lang63,1,1,0
Lang64,2,1,-1
Lang65,9,10,1
Math1,63,3,-60
Math2,20,16,-4
Math3,9,7,-2
Math4,13,12,-1
Math5,1,3,2
Math6,285,94,-191
Math7,4,2,-2
Math8,9,2,-7
Math9,8,4,-4
Math10,57,14,-43
Math11,64,20,-44
Math13,95,90,-5
Math14,67,43,-24
Math15,21,11,-10
Math16,13,3,-10
Math17,35,81,46
Math18,72,37,-35
Math19,8,45,37
Math20,250,702,452
Math21,53,48,-5
Math22,2,3,1
Math23,14,52,38
Math24,21,54,33
Math25,2,1,-1
Math26,2,3,1
Math27,1,1,0
Math28,1,9,8
Math29,1,8,7
Math30,31,8,-23
Math31,49,47,-2
Math32,2,9,7
Math33,21,2,-19
Math34,32,1,-31
Math35,5,6,1
Math36,1,3,2
Math37,1,9,8
Math38,3,7,4
Math39,71,64,-7
Math40,12,2,-10
Math41,41,11,-30
Math42,6,20,14
Math43,11,10,-1
Math44,118,119,1
Math45,3,3,0
Math46,3,14,11
Math47,1,2,1
Math48,665,85,-580
Math49,43,22,-21
Math50,5,1,-4
Math51,7,11,4
Math52,3,2,-1
Math53,2,1,-1
Math54,30,17,-13
Math55,33,1,-32
Math56,2,8,6
Math57,11,12,1
Math58,215,331,116
Math59,369,2,-367
Math60,17,18,1
Math61,1,1,0
Math62,31,2,-29
Math63,3,1,-2
Math64,95,171,76
Math65,1,1,0
Math66,59,105,46
Math67,10,17,7
Math68,68,58,-10
Math69,8,9,1
Math70,1,1,0
Math71,26,43,17
Math72,3,1,-2
Math73,12,4,-8
Math74,667,765,98
Math75,1,2,1
Math76,207,70,-137
Math77,2,1,-1
Math78,29,71,42
Math79,16,21,5
Math80,2,2,0
Math81,4,5,1
Math82,58,47,-11
Math83,2,1,-1
Math84,2,1,-1
Math85,17,11,-6
Math86,27,7,-20
Math87,51,56,5
Math88,1,1,0
Math89,2,1,-1
Math90,2,2,0
Math91,2,1,-1
Math92,1,1,0
Math93,2,2,0
Math94,11,13,2
Math95,2,3,1
Math96,8,2,-6
