Project,now,before,Difference
Chart1,1,1,0
Chart2,36,34,-2
Chart3,2,2,0
Chart4,507,192,-315
Chart5,4,5,1
Chart6,97,96,-1
Chart7,27,28,1
Chart8,1,3,2
Chart9,8,6,-2
Chart10,1,1,0
Chart11,1,2,1
Chart12,76,41,-35
Chart13,2,1,-1
Chart14,1,1,0
Chart15,20,8,-12
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,1,-1
Chart19,1,1,0
Chart20,6,6,0
Chart21,5,3,-2
Chart22,2,1,-1
Chart24,1,1,0
Chart25,55,12,-43
Chart26,19,1,-18
Closure1,100,36,-64
Closure2,98,86,-12
Closure3,55,41,-14
Closure4,2,1,-1
Closure5,2,1,-1
Closure6,2,1,-1
Closure7,47,64,17
Closure8,1,3,2
Closure9,1,1,0
Closure10,176,222,46
Closure11,5,3,-2
Closure12,497,332,-165
Closure13,3617,2227,-1390
Closure14,26,1,-25
Closure15,53,108,55
Closure16,164,126,-38
Closure17,5,1,-4
Closure18,520,506,-14
Closure19,25,25,0
Closure20,66,36,-30
Closure21,1,1,0
Closure22,1,1,0
Closure23,13,7,-6
Closure24,1,1,0
Closure25,22,32,10
Closure26,27,15,-12
Closure27,12,5,-7
Closure29,17,22,5
Closure30,232,143,-89
Closure31,335,294,-41
Closure32,2,1,-1
Closure33,43,18,-25
Closure34,11,2,-9
Closure35,50,75,25
Closure36,36,53,17
Closure37,293,289,-4
Closure38,1,1,0
Closure39,2,1,-1
Closure40,3,1,-2
Closure41,731,382,-349
Closure42,5,3,-2
Closure43,295,177,-118
Closure44,156,154,-2
Closure45,36,22,-14
Closure46,2,1,-1
Closure47,20,4,-16
Closure48,1,2,1
Closure49,117,109,-8
Closure50,6,3,-3
Closure51,1,1,0
Closure52,160,98,-62
Closure53,87,53,-34
Closure54,120,40,-80
Closure55,35,33,-2
Closure56,19,23,4
Closure57,53,40,-13
Closure58,114,44,-70
Closure59,760,881,121
Closure60,24,70,46
Closure61,82,80,-2
Closure62,1,1,0
Closure63,1,1,0
Closure64,452,604,152
Closure65,100,46,-54
Closure66,5,6,1
Closure67,30,8,-22
Closure68,9,4,-5
Closure69,298,508,210
Closure70,9,1,-8
Closure71,1,1,0
Closure72,59,207,148
Closure73,2,1,-1
Closure74,6,5,-1
Closure75,18,24,6
Closure76,10,4,-6
Closure77,79,5,-74
Closure78,41,9,-32
Closure79,236,101,-135
Closure80,13,97,84
Closure81,11,3,-8
Closure82,2428,2336,-92
Closure83,1,1,0
Closure84,14,8,-6
Closure85,3,5,2
Closure86,1,28,27
Closure87,146,78,-68
Closure88,31,1,-30
Closure89,5,7,2
Closure90,185,19,-166
Closure91,94,133,39
Closure92,2,2,0
Closure93,2,2,0
Closure94,2,19,17
Closure95,2085,1070,-1015
Closure96,26,51,25
Closure97,132,88,-44
Closure98,13,70,57
Closure99,12,2,-10
Closure100,37,18,-19
Closure101,2237,2030,-207
Closure102,2993,4087,1094
Closure103,829,657,-172
Closure104,1,3,2
Closure105,5,14,9
Closure106,6,2,-4
Closure107,5,7,2
Closure108,34,20,-14
Closure109,44,9,-35
Closure110,15,17,2
Closure111,166,90,-76
Closure112,178,131,-47
Closure113,1,3,2
Closure114,21,12,-9
Closure115,3,3,0
Closure116,100,115,15
Closure117,4,15,11
Closure118,101,51,-50
Closure120,1269,702,-567
Closure121,28,23,-5
Closure122,1,1,0
Closure123,352,138,-214
Closure124,48,32,-16
Closure125,24,50,26
Closure126,1,1,0
Closure127,11,14,3
Closure128,3,4,1
Closure129,503,637,134
Closure130,45,64,19
Closure131,7,9,2
Closure132,15,55,40
Closure133,47,68,21
Lang1,3,1,-2
Lang2,12,15,3
Lang3,4,2,-2
Lang4,2,1,-1
Lang5,1,1,0
Lang6,27,14,-13
Lang7,9,10,1
Lang8,5,4,-1
Lang9,40,41,1
Lang10,40,31,-9
Lang11,7,10,3
Lang12,6,7,1
Lang13,3,2,-1
Lang14,1,1,0
Lang15,1,1,0
Lang16,8,16,8
Lang17,19,13,-6
Lang18,72,44,-28
Lang19,1,1,0
Lang20,1,1,0
Lang21,1,1,0
Lang22,4,1,-3
Lang24,15,45,30
Lang26,5,1,-4
Lang27,2,1,-1
Lang28,2,2,0
Lang30,21,13,-8
Lang31,3,2,-1
Lang32,3,4,1
Lang33,1,1,0
Lang34,1,1,0
Lang35,3,2,-1
Lang36,29,19,-10
Lang37,1,2,1
Lang38,1,1,0
Lang39,4,5,1
Lang40,1,1,0
Lang41,6,5,-1
Lang42,13,12,-1
Lang43,10,12,2
Lang44,11,13,2
Lang45,22,22,0
Lang46,1,1,0
Lang47,7,3,-4
Lang48,1,1,0
Lang49,1,1,0
Lang50,16,21,5
Lang53,35,38,3
Lang54,5,2,-3
Lang55,1,1,0
Lang57,1,1,0
Lang58,10,3,-7
Lang59,4,4,0
Lang60,5,1,-4
Lang61,40,40,0
Lang62,2,4,2
