Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,112,117,5
Chart2,org.jfree.data.general.DatasetUtilities#757,85,51,-34
Chart2,org.jfree.data.general.DatasetUtilities#1242,33,34,1
Chart2,org.jfree.data.general.DatasetUtilities#1243,75,73,-2
Chart3,org.jfree.data.time.TimeSeries#1056,7,2,-5
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,464,192,-272
Chart5,org.jfree.data.xy.XYSeries#548,4,5,1
Chart6,org.jfree.chart.util.ShapeList#111,97,96,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,25,29,4
Chart7,org.jfree.data.time.TimePeriodValues#302,31,28,-3
Chart8,org.jfree.data.time.Week#175,1,3,2
Chart9,org.jfree.data.time.TimeSeries#944,8,6,-2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,2,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,60,41,-19
Chart13,org.jfree.chart.block.BorderArrangement#454,2,1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,7,2,-5
Chart14,org.jfree.chart.plot.XYPlot#2529,1,4,3
Chart14,org.jfree.chart.plot.CategoryPlot#2166,2,1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,8,3,-5
Chart15,org.jfree.chart.plot.PiePlot#2051,19,8,-11
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,22,23,1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,2,1,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,52,44,-8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,16,13,-3
Chart18,org.jfree.data.DefaultKeyedValues2D#458,5,4,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,13,14,1
Chart19,org.jfree.chart.plot.CategoryPlot#698,5,4,-1
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,1,0
Chart20,org.jfree.chart.plot.ValueMarker#95,6,6,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,76,76,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,41,36,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,75,55,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,65,70,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,31,37,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,56,58,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,33,32,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,50,53,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,95,96,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,94,95,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,17,13,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,4,3,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,7,6,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,6,7,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,30,30,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,46,41,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,38,33,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,40,39,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,11,10,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,8,9,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,15,19,4
Chart22,org.jfree.data.KeyedObjects2D#231,73,78,5
Chart22,org.jfree.data.KeyedObjects2D#233,69,58,-11
Chart22,org.jfree.data.KeyedObjects2D#378,2,1,-1
Chart22,org.jfree.data.KeyedObjects2D#345,41,30,-11
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,1,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,259,285,26
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,55,12,-43
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,95,94,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,881,948,67
Chart26,org.jfree.chart.axis.Axis#1192,24,1,-23
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,92,36,-56
Closure2,com.google.javascript.jscomp.TypeCheck#1574,85,86,1
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,54,42,-12
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,107,41,-66
Closure4,com.google.javascript.rhino.jstype.NamedType#190,2,1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,8,2,-6
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,2,1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#366,2,1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#367,26,33,7
Closure6,com.google.javascript.jscomp.TypeValidator#405,17,6,-11
Closure6,com.google.javascript.jscomp.TypeValidator#406,41,30,-11
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,39,64,25
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,1,3,2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,6,3,-3
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,1,1,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,3,11,8
Closure10,com.google.javascript.jscomp.NodeUtil#1417,184,222,38
Closure11,com.google.javascript.jscomp.TypeCheck#1314,4,3,-1
Closure11,com.google.javascript.jscomp.TypeCheck#1315,2970,2288,-682
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,462,332,-130
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,4250,2569,-1681
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,5543,5476,-67
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,3139,2227,-912
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,30,1,-29
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,73,112,39
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,56,109,53
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,125,108,-17
Closure16,com.google.javascript.jscomp.ScopedAliases#174,546,377,-169
Closure16,com.google.javascript.jscomp.ScopedAliases#180,387,291,-96
Closure16,com.google.javascript.jscomp.ScopedAliases#468,147,126,-21
Closure16,com.google.javascript.jscomp.ScopedAliases#175,377,439,62
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,6,2,-4
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,16,1,-15
Closure18,com.google.javascript.jscomp.Compiler#1288,492,506,14
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,25,25,0
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,57,36,-21
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,137,195,58
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,144,192,48
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,91,99,8
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,619,414,-205
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,1,3,2
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,2,1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,138,26,-112
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,4,4,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,3,2,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,37,64,27
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,156,167,11
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,975,543,-432
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,221,84,-137
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,169,231,62
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,116,11,-105
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,64,77,13
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,1,2,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,2,1,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,129,61,-68
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,4,3,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,1042,770,-272
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,3,4,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,941,672,-269
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,137,190,53
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,150,174,24
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,117,106,-11
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,136,119,-17
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,13,7,-6
Closure24,com.google.javascript.jscomp.ScopedAliases#278,1,1,0
Closure24,com.google.javascript.jscomp.ScopedAliases#279,14,22,8
Closure24,com.google.javascript.jscomp.ScopedAliases#293,8,2,-6
Closure25,com.google.javascript.jscomp.TypeInference#1038,81,84,3
Closure25,com.google.javascript.jscomp.TypeInference#1054,258,218,-40
Closure25,com.google.javascript.jscomp.TypeInference#1059,108,53,-55
Closure25,com.google.javascript.jscomp.TypeInference#1060,20,32,12
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#127,102,145,43
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#208,24,15,-9
Closure27,com.google.javascript.rhino.IR#224,13,13,0
Closure27,com.google.javascript.rhino.IR#233,11,5,-6
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#157,15,22,7
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#217,439,496,57
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#396,494,527,33
Closure30,com.google.javascript.jscomp.FlowSensitiveInlineVariables#157,222,143,-79
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#398,629,517,-112
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#397,320,305,-15
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#431,412,446,34
Closure31,com.google.javascript.jscomp.Compiler#1284,300,294,-6
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1414,2,1,-1
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1415,3,2,-1
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1362,202,118,-84
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1382,62,39,-23
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1391,34,29,-5
Closure33,com.google.javascript.rhino.jstype.PrototypeObjectType#567,42,18,-24
Closure34,com.google.javascript.jscomp.CodeGenerator#122,11,2,-9
Closure34,com.google.javascript.jscomp.CodeGenerator#123,579,-1,-1
Closure34,com.google.javascript.jscomp.CodeGenerator#124,263,-1,-1
Closure35,com.google.javascript.jscomp.TypeInference#1121,565,625,60
Closure35,com.google.javascript.jscomp.TypeInference#1122,96,108,12
Closure35,com.google.javascript.jscomp.TypeInference#1123,48,75,27
Closure36,com.google.javascript.jscomp.InlineVariables#569,35,53,18
Closure37,com.google.javascript.jscomp.NodeTraversal#540,278,289,11
Closure37,com.google.javascript.jscomp.parsing.IRFactory#670,1214,881,-333
Closure37,com.google.javascript.jscomp.parsing.IRFactory#671,933,990,57
Closure38,com.google.javascript.jscomp.CodeConsumer#245,1,1,0
Closure39,com.google.javascript.rhino.jstype.PrototypeObjectType#380,2,1,-1
Closure39,com.google.javascript.rhino.jstype.PrototypeObjectType#383,6,22,16
Closure39,com.google.javascript.rhino.jstype.PrototypeObjectType#394,57,30,-27
Closure40,com.google.javascript.jscomp.NameAnalyzer#635,3,1,-2
Closure40,com.google.javascript.jscomp.NameAnalyzer#636,172,48,-124
Closure41,com.google.javascript.jscomp.FunctionTypeBuilder#293,615,382,-233
Closure41,com.google.javascript.jscomp.FunctionTypeBuilder#484,1245,1460,215
Closure42,com.google.javascript.jscomp.parsing.IRFactory#570,5,3,-2
Closure43,com.google.javascript.jscomp.TypedScopeCreator#580,278,177,-101
Closure44,com.google.javascript.jscomp.CodeConsumer#201,147,154,7
Closure45,com.google.javascript.jscomp.RemoveUnusedVars#741,31,22,-9
Closure45,com.google.javascript.jscomp.RemoveUnusedVars#904,151,212,61
Closure46,com.google.javascript.rhino.jstype.RecordType#142,2,1,-1
Closure46,com.google.javascript.rhino.jstype.RecordType#145,36,7,-29
Closure46,com.google.javascript.rhino.jstype.RecordType#146,8,15,7
Closure46,com.google.javascript.rhino.jstype.RecordType#147,13,8,-5
Closure46,com.google.javascript.rhino.jstype.RecordType#150,26,10,-16
Closure46,com.google.javascript.rhino.jstype.RecordType#153,257,166,-91
Closure46,com.google.javascript.rhino.jstype.RecordType#154,141,34,-107
Closure47,com.google.debugging.sourcemap.SourceMapConsumerV3#487,169,25,-144
Closure47,com.google.javascript.jscomp.SourceMap#139,25,4,-21
Closure48,com.google.javascript.jscomp.TypedScopeCreator#1521,41,10,-31
Closure48,com.google.javascript.jscomp.TypedScopeCreator#1523,1,2,1
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#91,712,964,252
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#92,109,109,0
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#93,1598,1151,-447
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#94,130,132,2
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#96,1857,1274,-583
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#97,1233,1114,-119
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#98,3741,3180,-561
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#116,1039,1400,361
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#125,808,874,66
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#152,935,497,-438
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#136,2205,2079,-126
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#174,1841,1664,-177
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#175,3579,3382,-197
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#157,737,912,175
Closure50,com.google.javascript.jscomp.PeepholeReplaceKnownMethods#376,6,3,-3
Closure50,com.google.javascript.jscomp.PeepholeReplaceKnownMethods#391,21,65,44
Closure51,com.google.javascript.jscomp.CodeConsumer#241,1,1,0
Closure52,com.google.javascript.jscomp.CodeGenerator#745,134,98,-36
Closure53,com.google.javascript.jscomp.InlineObjectLiterals#333,82,53,-29
Closure54,com.google.javascript.jscomp.TypedScopeCreator#1413,96,40,-56
Closure54,com.google.javascript.rhino.jstype.FunctionType#340,3169,3213,44
Closure54,com.google.javascript.rhino.jstype.FunctionType#366,4721,4804,83
Closure55,com.google.javascript.jscomp.FunctionRewriter#117,32,33,1
Closure56,com.google.javascript.jscomp.SourceFile#242,141,56,-85
Closure56,com.google.javascript.jscomp.SourceFile#238,16,23,7
Closure57,com.google.javascript.jscomp.ClosureCodingConvention#197,49,40,-9
Closure58,com.google.javascript.jscomp.LiveVariablesAnalysis#206,116,44,-72
Closure59,com.google.javascript.jscomp.Compiler#255,752,881,129
Closure60,com.google.javascript.jscomp.NodeUtil#136,18,70,52
Closure61,com.google.javascript.jscomp.NodeUtil#952,514,182,-332
Closure61,com.google.javascript.jscomp.NodeUtil#959,71,80,9
Closure62,com.google.javascript.jscomp.LightweightMessageFormatter#97,1,1,0
Closure63,com.google.javascript.jscomp.LightweightMessageFormatter#97,1,1,0
