Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,33,34,1
Chart3,1,2,1
Chart4,464,192,-272
Chart5,4,5,1
Chart6,97,96,-1
Chart7,25,28,3
Chart8,1,3,2
Chart9,8,6,-2
Chart10,1,1,0
Chart11,1,2,1
Chart12,60,41,-19
Chart13,2,1,-1
Chart14,1,1,0
Chart15,19,8,-11
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,1,-1
Chart19,1,1,0
Chart20,6,6,0
Chart21,4,3,-1
Chart22,2,1,-1
Chart24,1,1,0
Chart25,55,12,-43
Chart26,24,1,-23
Closure1,92,36,-56
Closure2,85,86,1
Closure3,54,41,-13
Closure4,2,1,-1
Closure5,2,1,-1
Closure6,2,1,-1
Closure7,39,64,25
Closure8,1,3,2
Closure9,1,1,0
Closure10,184,222,38
Closure11,4,3,-1
Closure12,462,332,-130
Closure13,3139,2227,-912
Closure14,30,1,-29
Closure15,56,108,52
Closure16,147,126,-21
Closure17,6,1,-5
Closure18,492,506,14
Closure19,25,25,0
Closure20,57,36,-21
Closure21,1,1,0
Closure22,1,1,0
Closure23,13,7,-6
Closure24,1,1,0
Closure25,20,32,12
Closure26,24,15,-9
Closure27,11,5,-6
Closure29,15,22,7
Closure30,222,143,-79
Closure31,300,294,-6
Closure32,2,1,-1
Closure33,42,18,-24
Closure34,11,2,-9
Closure35,48,75,27
Closure36,35,53,18
Closure37,278,289,11
Closure38,1,1,0
Closure39,2,1,-1
Closure40,3,1,-2
Closure41,615,382,-233
Closure42,5,3,-2
Closure43,278,177,-101
Closure44,147,154,7
Closure45,31,22,-9
Closure46,2,1,-1
Closure47,25,4,-21
Closure48,1,2,1
Closure49,109,109,0
Closure50,6,3,-3
Closure51,1,1,0
Closure52,134,98,-36
Closure53,82,53,-29
Closure54,96,40,-56
Closure55,32,33,1
Closure56,16,23,7
Closure57,49,40,-9
Closure58,116,44,-72
Closure59,752,881,129
Closure60,18,70,52
Closure61,71,80,9
Closure62,1,1,0
Closure63,1,1,0
Closure64,476,604,128
Closure65,96,46,-50
Closure66,5,6,1
Closure67,31,8,-23
Closure68,7,4,-3
Closure69,298,508,210
Closure70,14,1,-13
Closure71,1,1,0
Closure72,58,207,149
Closure73,1,1,0
Closure74,6,5,-1
Closure75,15,24,9
Closure76,11,4,-7
Closure77,84,5,-79
Closure78,30,9,-21
Closure79,191,101,-90
Closure80,22,97,75
Closure81,12,3,-9
Closure82,2341,2336,-5
Closure83,1,1,0
Closure84,13,8,-5
Closure85,3,5,2
Closure86,1,28,27
Closure87,116,78,-38
Closure88,32,1,-31
Closure89,4,7,3
Closure90,166,19,-147
Closure91,94,133,39
Closure92,2,2,0
Closure93,2,2,0
Closure94,1,19,18
Closure95,1812,1070,-742
Closure96,21,51,30
Closure97,116,88,-28
Closure98,15,70,55
Closure99,9,2,-7
Closure100,40,18,-22
Closure101,2070,2030,-40
Closure102,3675,4087,412
Closure103,709,657,-52
Closure104,1,3,2
Closure105,5,14,9
Closure106,6,2,-4
Closure107,5,7,2
Closure108,28,20,-8
Closure109,35,9,-26
Closure110,14,17,3
Closure111,150,90,-60
Closure112,161,131,-30
Closure113,1,3,2
Closure114,20,12,-8
Closure115,2,3,1
Closure116,95,115,20
Closure117,4,15,11
Closure118,80,51,-29
Closure120,1024,702,-322
Closure121,28,23,-5
Closure122,1,1,0
Closure123,309,138,-171
Closure124,43,32,-11
Closure125,24,50,26
Closure126,1,1,0
Closure127,11,14,3
Closure128,3,4,1
Closure129,522,637,115
Closure130,44,64,20
Closure131,6,9,3
Closure132,13,55,42
Closure133,51,68,17
Lang1,2,1,-1
Lang2,11,15,4
Lang3,2,2,0
Lang4,2,1,-1
Lang5,1,1,0
Lang6,21,14,-7
Lang7,6,10,4
Lang8,5,4,-1
Lang9,40,41,1
Lang10,35,31,-4
Lang11,7,10,3
Lang12,5,7,2
Lang13,2,2,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,8,16,8
Lang17,15,13,-2
Lang18,54,44,-10
Lang19,1,1,0
Lang20,1,1,0
Lang21,1,1,0
Lang22,4,1,-3
Lang24,14,45,31
Lang26,4,1,-3
Lang27,2,1,-1
Lang28,2,2,0
Lang30,23,13,-10
Lang31,2,2,0
Lang32,4,4,0
Lang33,1,1,0
Lang34,1,1,0
Lang35,3,2,-1
Lang36,27,19,-8
Lang37,1,2,1
Lang38,1,1,0
Lang39,3,5,2
Lang40,1,1,0
Lang41,6,5,-1
Lang42,12,12,0
Lang43,10,12,2
Lang44,11,13,2
Lang45,21,22,1
Lang46,1,1,0
Lang47,6,3,-3
Lang48,1,1,0
Lang49,1,1,0
Lang50,14,21,7
Lang53,35,38,3
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,10,3,-7
Lang59,3,4,1
Lang60,5,1,-4
Lang61,39,40,1
Lang62,1,4,3
Lang63,1,1,0
Lang64,1,1,0
Lang65,7,8,1
Math1,5,4,-1
Math2,9,16,7
Math3,9,11,2
Math4,12,9,-3
Math5,2,2,0
Math6,265,133,-132
Math7,2,2,0
Math8,1,1,0
Math9,4,4,0
Math10,12,15,3
Math11,37,55,18
Math13,46,53,7
Math14,52,52,0
Math15,27,22,-5
Math16,4,1,-3
Math17,46,80,34
Math18,34,35,1
Math19,19,32,13
Math20,653,608,-45
Math21,43,42,-1
Math22,1,1,0
Math23,73,54,-19
Math24,64,55,-9
Math25,1,2,1
Math26,12,5,-7
Math27,3,1,-2
Math28,6,9,3
Math29,3,7,4
Math30,4,4,0
Math31,63,40,-23
Math32,20,13,-7
Math33,7,3,-4
Math34,1,1,0
Math35,4,5,1
Math36,3,4,1
Math37,7,10,3
Math38,10,7,-3
Math39,68,86,18
Math40,1,2,1
Math41,12,14,2
Math42,44,19,-25
Math43,10,10,0
Math44,127,142,15
Math45,1,2,1
Math46,1,2,1
Math47,3,2,-1
Math48,83,87,4
Math49,13,17,4
Math50,3,1,-2
Math51,21,8,-13
Math52,2,2,0
Math53,1,1,0
Math54,24,12,-12
Math55,1,1,0
Math56,10,6,-4
Math57,10,10,0
Math58,277,307,30
Math59,2,1,-1
Math60,18,18,0
Math61,1,1,0
Math62,14,12,-2
Math63,1,1,0
Math64,149,163,14
Math65,1,1,0
Math66,28,91,63
Math67,7,6,-1
Math68,77,68,-9
Math69,4,6,2
Math70,1,1,0
Math71,32,36,4
Math72,3,1,-2
Math73,4,4,0
Math74,533,591,58
Math75,5,3,-2
Math76,52,55,3
Math77,1,1,0
Math78,55,45,-10
Math79,27,28,1
Math80,1,1,0
Math81,7,5,-2
Math82,46,46,0
Math83,2,1,-1
Math84,1,1,0
Math85,36,22,-14
Math86,59,15,-44
Math87,40,36,-4
Math88,1,1,0
Math89,1,1,0
Math90,4,3,-1
Math91,3,2,-1
Math92,2,1,-1
Math93,2,2,0
Math94,11,9,-2
Math95,1,4,3
Math96,2,2,0
Math97,1,1,0
Math98,5,7,2
Math99,9,2,-7
Math100,11,5,-6
Math101,46,6,-40
Math102,2,2,0
Math103,15,14,-1
Math105,9,13,4
Math106,4,4,0
Mockito1,25,17,-8
Mockito2,2,3,1
Mockito3,1,1,0
Mockito4,3,1,-2
Mockito6,15,21,6
Mockito7,30,29,-1
Mockito8,6,6,0
Mockito9,5,1,-4
Mockito10,18,14,-4
Mockito11,1,1,0
Mockito12,5,7,2
Mockito13,37,34,-3
Mockito14,30,9,-21
Mockito15,84,102,18
Mockito16,3,4,1
Mockito17,6,2,-4
Mockito18,7,15,8
Mockito19,3,10,7
Mockito20,57,90,33
Mockito21,1,3,2
Mockito22,10,10,0
Mockito23,25,4,-21
Mockito24,1,1,0
Mockito25,1,1,0
Mockito26,29,94,65
Mockito27,11,14,3
Mockito28,141,183,42
Mockito29,1,1,0
Mockito30,6,1,-5
Mockito31,3,5,2
Mockito32,12,1,-11
Mockito33,35,93,58
Mockito34,15,2,-13
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,16,7,-9
Mockito38,1,3,2
Time1,32,13,-19
Time2,18,3,-15
Time3,1,1,0
Time4,10,6,-4
Time5,28,17,-11
Time6,47,8,-39
Time7,34,20,-14
Time8,5,12,7
Time9,3,2,-1
Time10,17,55,38
Time11,508,550,42
Time12,24,15,-9
Time13,16,14,-2
Time14,1,1,0
Time15,3,2,-1
Time16,7,16,9
Time17,11,11,0
Time18,16,23,7
Time19,1,1,0
Time20,51,22,-29
Time21,3,1,-2
Time22,18,83,65
Time23,52,31,-21
Time24,298,387,89
Time25,216,236,20
Time26,284,304,20
Time27,104,173,69
