Project,now,before,Difference
Chart1,1,1,0
Chart2,34,26,-8
Chart3,1,2,1
Chart4,273,137,-136
Chart5,6,9,3
Chart6,97,99,2
Chart7,25,26,1
Chart8,4,5,1
Chart9,9,11,2
Chart10,1,1,0
Chart11,1,1,0
Chart12,269,243,-26
Chart13,2,2,0
Chart14,6,2,-4
Chart15,11,4,-7
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,2,1
Chart20,40,57,17
Chart21,4,5,1
Chart22,2,2,0
Chart24,1,2,1
Chart25,726,729,3
Chart26,1690,1533,-157
Closure1,1138,867,-271
Closure2,432,367,-65
Closure3,428,260,-168
Closure4,1096,1099,3
Closure5,601,647,46
Closure6,1163,1205,42
Closure7,265,503,238
Closure8,40,168,128
Closure9,2,1,-1
Closure10,21,30,9
Closure11,920,893,-27
Closure12,731,550,-181
Closure13,1655,1576,-79
Closure14,5,1,-4
Closure15,798,955,157
Closure16,766,763,-3
Closure17,1,1,0
Closure18,39,41,2
Closure19,744,848,104
Closure20,1132,1129,-3
Closure21,477,478,1
Closure22,443,503,60
Closure23,67,65,-2
Closure24,358,422,64
Closure25,22,26,4
Closure26,1471,1588,117
Closure27,10,5,-5
Closure29,1187,1323,136
Closure30,402,484,82
Closure31,41,41,0
Closure32,1,1,0
Closure33,1302,1305,3
Closure34,9,2,-7
Closure35,146,144,-2
Closure36,1621,1657,36
Closure37,745,783,38
Closure38,6,22,16
Closure39,33,102,69
Closure40,446,408,-38
Closure41,287,189,-98
Closure42,86,140,54
Closure43,714,617,-97
Closure44,6,63,57
Closure45,337,471,134
Closure46,1,3,2
Closure47,1299,1065,-234
Closure48,1,1,0
Closure49,844,560,-284
Closure50,12,48,36
Closure51,1,1,0
Closure52,83,47,-36
Closure53,184,181,-3
Closure54,30,29,-1
Closure55,970,963,-7
Closure56,15,15,0
Closure57,8,9,1
Closure58,495,380,-115
Closure59,945,1100,155
Closure60,1493,1537,44
Closure61,206,73,-133
Closure62,45,45,0
Closure63,54,57,3
Closure64,1,76,75
Closure65,43,22,-21
Closure66,142,140,-2
Closure67,4,1,-3
Closure68,10,13,3
Closure69,61,111,50
Closure70,1,1,0
Closure71,378,372,-6
Closure72,1142,1142,0
Closure73,1,1,0
Closure74,18,39,21
Closure75,156,191,35
Closure76,166,89,-77
Closure77,29,17,-12
Closure78,601,597,-4
Closure79,762,963,201
Closure80,7,141,134
Closure81,8,8,0
Closure82,598,515,-83
Closure83,1,1,0
Closure84,10,9,-1
Closure85,180,168,-12
Closure86,1,1,0
Closure87,144,147,3
Closure88,652,525,-127
Closure89,1,1,0
Closure90,736,440,-296
Closure91,725,806,81
Closure92,100,89,-11
Closure93,85,74,-11
Closure94,303,857,554
Closure95,254,214,-40
Closure96,4,7,3
Closure97,726,710,-16
Closure98,70,119,49
Closure99,282,281,-1
Closure100,843,747,-96
Closure101,884,674,-210
Closure102,1169,1276,107
Closure103,86,85,-1
Closure104,34,115,81
Closure105,7,12,5
Closure106,560,561,1
Closure107,582,601,19
Closure108,301,277,-24
Closure109,56,17,-39
Closure110,288,287,-1
Closure111,946,746,-200
Closure112,512,506,-6
Closure113,624,676,52
Closure114,488,343,-145
Closure115,233,209,-24
Closure116,50,49,-1
Closure117,1,6,5
Closure118,1174,1126,-48
Closure119,518,522,4
Closure120,267,187,-80
Closure121,918,907,-11
Closure122,238,380,142
Closure123,470,372,-98
Closure124,445,417,-28
Closure125,4,4,0
Closure126,940,941,1
Closure127,120,114,-6
Closure128,1,1,0
Closure129,1341,1560,219
Closure130,1115,1271,156
Closure131,893,1069,176
Closure132,923,972,49
Closure133,28,38,10
Lang1,3,2,-1
Lang2,18,18,0
Lang3,6,2,-4
Lang4,2,2,0
Lang5,1,1,0
Lang6,17,16,-1
Lang7,5,6,1
Lang8,3,2,-1
Lang9,30,31,1
Lang10,53,35,-18
Lang11,6,6,0
Lang12,2,2,0
Lang13,1,1,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,14,22,8
Lang17,6,5,-1
Lang18,85,91,6
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,25,40,15
Lang26,9,5,-4
Lang27,1,1,0
Lang28,1,1,0
Lang30,10,8,-2
Lang31,3,1,-2
Lang32,4,4,0
Lang33,2,1,-1
Lang34,1,1,0
Lang35,6,7,1
Lang37,1,3,2
Lang38,4,9,5
Lang39,4,5,1
Lang40,1,1,0
Lang41,7,6,-1
Lang43,8,6,-2
Lang44,6,7,1
Lang45,12,11,-1
Lang46,1,1,0
Lang47,7,3,-4
Lang48,1,1,0
Lang49,1,4,3
Lang50,14,20,6
Lang53,31,37,6
Lang54,3,2,-1
Lang55,1,1,0
Lang57,1,1,0
Lang58,4,2,-2
Lang59,3,2,-1
Lang60,4,3,-1
Lang61,33,34,1
Lang63,1,1,0
Lang64,1,1,0
Lang65,10,11,1
Math1,36,177,141
Math2,7,11,4
Math3,14,13,-1
Math4,30,52,22
Math5,4,4,0
Math6,637,650,13
Math7,27,26,-1
Math8,1,1,0
Math9,3,4,1
Math10,21,29,8
Math12,345,343,-2
Math13,60,51,-9
Math14,55,52,-3
Math15,13,10,-3
Math16,1,5,4
Math17,59,93,34
Math18,55,35,-20
Math19,7,16,9
Math20,569,421,-148
Math21,34,36,2
Math22,1,4,3
Math23,53,30,-23
Math24,29,35,6
Math25,1,1,0
Math26,345,155,-190
Math27,3,1,-2
Math28,100,104,4
Math29,1,7,6
Math30,1,4,3
Math31,6,6,0
Math32,558,494,-64
Math33,4,3,-1
Math34,1,1,0
Math35,2,3,1
Math36,2,2,0
Math37,8,11,3
Math38,39,34,-5
Math39,92,120,28
Math40,2,1,-1
Math41,6,11,5
Math42,37,17,-20
Math43,10,9,-1
Math44,36,38,2
Math45,2,2,0
Math46,5,15,10
Math47,389,376,-13
Math48,19,116,97
Math49,20,22,2
Math50,3,2,-1
Math51,39,39,0
Math52,2,2,0
Math53,1,1,0
Math54,23,19,-4
