Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,69,65,-4
Chart2,org.jfree.data.general.DatasetUtilities#757,44,26,-18
Chart2,org.jfree.data.general.DatasetUtilities#1242,34,31,-3
Chart2,org.jfree.data.general.DatasetUtilities#1243,64,56,-8
Chart3,org.jfree.data.time.TimeSeries#1056,6,2,-4
Chart3,org.jfree.data.time.TimeSeries#1057,1,3,2
Chart4,org.jfree.chart.plot.XYPlot#4493,273,137,-136
Chart5,org.jfree.data.xy.XYSeries#548,6,9,3
Chart6,org.jfree.chart.util.ShapeList#111,97,99,2
Chart7,org.jfree.data.time.TimePeriodValues#300,31,39,8
Chart7,org.jfree.data.time.TimePeriodValues#302,25,26,1
Chart8,org.jfree.data.time.Week#175,4,5,1
Chart9,org.jfree.data.time.TimeSeries#944,9,11,2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,1,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,269,243,-26
Chart13,org.jfree.chart.block.BorderArrangement#454,2,2,0
Chart14,org.jfree.chart.plot.XYPlot#2293,11,4,-7
Chart14,org.jfree.chart.plot.XYPlot#2529,6,2,-4
Chart15,org.jfree.chart.plot.PiePlot#2051,11,4,-7
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,20,17,-3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,2,3,1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#335,29,16,-13
Chart19,org.jfree.chart.plot.CategoryPlot#698,10,2,-8
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,3,2
Chart20,org.jfree.chart.plot.ValueMarker#95,40,57,17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,77,66,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,31,25,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,75,36,-39
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,64,68,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,23,26,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,55,47,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,24,24,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,54,51,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,92,85,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,91,84,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,80,80,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,104,109,5
