Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,10,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,159,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,161,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1242,103,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1243,137,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1056,66,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1057,110,-1,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,381,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,1,1,0
Chart6,org.jfree.chart.util.ShapeList#111,97,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,71,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#302,90,-1,-1
Chart8,org.jfree.data.time.Week#175,27,-1,-1
Chart9,org.jfree.data.time.TimeSeries#944,166,-1,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,18,-1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,2,16,14
Chart13,org.jfree.chart.block.BorderArrangement#454,79,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,505,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,140,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2166,136,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,380,-1,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,6,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,26,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,27,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,29,-1,-1
Chart17,org.jfree.data.time.TimeSeries#857,31,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#335,6,6,0
Chart18,org.jfree.data.DefaultKeyedValues2D#455,19,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,11,-1,-1
