Project,MinRank1,MinRank2,Difference
Chart1,10,-1,-1
Chart2,103,-1,-1
Chart3,66,-1,-1
Chart4,381,-1,-1
Chart5,1,1,0
Chart6,97,-1,-1
Chart7,71,-1,-1
Chart8,27,-1,-1
Chart9,166,-1,-1
Chart10,1,1,0
Chart11,18,-1,-1
Chart12,2,16,14
Chart13,79,-1,-1
Chart14,136,-1,-1
Chart15,6,-1,-1
Chart16,26,-1,-1
Chart17,31,-1,-1
Chart18,2,2,0
Chart19,599,-1,-1
Chart20,1,3,2
Chart21,1,3,2
Chart22,7,7,0
Chart24,8,-1,-1
Chart25,11,23,12
Chart26,8,19,11
Closure1,3209,-1,-1
Closure2,435,-1,-1
Closure3,227,-1,-1
Closure4,3468,-1,-1
Closure5,987,-1,-1
Closure6,3,31,28
Closure7,768,-1,-1
Closure8,797,-1,-1
Closure9,13,-1,-1
Closure10,2599,-1,-1
Closure11,8,30,22
Closure12,102,-1,-1
Closure13,2790,-1,-1
Closure14,1814,-1,-1
Closure15,3,4,1
Closure16,1,1,0
Closure17,5224,-1,-1
Closure18,7,11,4
Closure19,3,27,24
Closure20,2,9,7
Closure21,2,7,5
Closure22,2,5,3
Closure23,1866,-1,-1
Closure24,3,6,3
Closure25,2006,-1,-1
Closure26,6396,-1,-1
Closure27,64,-1,-1
Closure29,4727,-1,-1
Closure30,1,1,0
Closure31,3506,-1,-1
Closure32,1585,-1,-1
Closure33,2,2,0
Closure34,115,-1,-1
Closure35,8,16,8
Closure36,4413,-1,-1
Closure37,505,-1,-1
Closure38,1170,-1,-1
Closure39,12,22,10
Closure40,526,-1,-1
Closure41,953,-1,-1
Closure42,927,-1,-1
Closure43,827,-1,-1
Closure44,589,-1,-1
Closure45,2423,-1,-1
Closure46,4,4,0
Closure47,257,-1,-1
Closure48,1057,-1,-1
Closure49,2,2,0
Closure50,2,5,3
Closure51,3,3,0
Closure52,1564,-1,-1
Closure53,879,-1,-1
Closure54,2788,-1,-1
Closure55,2561,-1,-1
Closure56,312,-1,-1
Closure57,1630,-1,-1
