Project,now,before,Difference
Chart1,1,1,0
Chart2,46,38,-8
Chart3,1,3,2
Chart4,223,153,-70
Chart5,7,8,1
Chart6,96,94,-2
Chart7,32,31,-1
Chart8,6,7,1
Chart9,9,8,-1
Chart10,1,1,0
Chart11,1,1,0
Chart12,37,36,-1
Chart13,3,1,-2
Chart14,1,1,0
Chart15,22,19,-3
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,2,1
Chart19,1,1,0
Chart20,6,6,0
Chart21,4,3,-1
Chart22,2,2,0
Chart24,1,1,0
Chart25,3,3,0
Chart26,5,1,-4
Closure1,54,37,-17
Closure2,93,96,3
Closure3,42,42,0
Closure4,1,1,0
Closure5,2,1,-1
Closure6,1,1,0
Closure7,62,93,31
Closure8,1,3,2
Closure9,1,1,0
Closure10,157,195,38
Closure11,3,3,0
Closure12,271,199,-72
Closure13,3796,3272,-524
Closure14,17,1,-16
Closure15,57,66,9
Closure16,148,137,-11
Closure17,2,1,-1
Closure18,197,205,8
Closure19,27,27,0
Closure20,60,53,-7
Closure21,1,1,0
Closure22,1,1,0
Closure23,64,71,7
Closure24,1,1,0
Closure25,12,20,8
Closure26,16,17,1
Closure27,9,5,-4
Closure29,18,20,2
Closure30,182,163,-19
Closure31,247,235,-12
Closure32,2,1,-1
Closure33,24,19,-5
Closure34,3,1,-2
Closure35,108,143,35
Closure36,65,64,-1
Closure37,341,346,5
Closure38,1,1,0
Closure39,4,5,1
Closure40,1,1,0
Closure41,699,571,-128
Closure42,6,6,0
Closure43,207,168,-39
Closure44,126,130,4
Closure45,31,30,-1
Closure46,2,1,-1
Closure47,7,5,-2
Closure48,1,2,1
Closure49,6,6,0
Closure50,4,3,-1
Closure51,1,1,0
Closure52,104,73,-31
Closure53,73,67,-6
Closure54,86,72,-14
Closure55,35,36,1
Closure56,26,25,-1
Closure57,36,34,-2
Closure58,71,42,-29
Closure59,1579,1687,108
Closure60,23,53,30
Closure61,42,41,-1
Closure62,1,1,0
Closure63,1,1,0
Closure64,341,410,69
Closure65,43,29,-14
Closure66,5,4,-1
Closure67,9,8,-1
Closure68,6,7,1
Closure69,382,482,100
Closure70,1,1,0
Closure71,1,1,0
Closure72,93,210,117
Closure73,1,1,0
Closure74,4,1,-3
Closure75,27,42,15
Closure76,5,6,1
Closure77,53,29,-24
Closure78,24,21,-3
Closure79,155,111,-44
Closure80,62,150,88
Closure81,14,12,-2
Closure82,1922,1825,-97
Closure83,1,1,0
Closure84,18,17,-1
Closure85,2,8,6
Closure86,1,1,0
Closure87,72,55,-17
Closure88,6,1,-5
Closure89,10,10,0
Closure90,90,34,-56
Closure91,137,165,28
Closure92,1,1,0
Closure93,1,1,0
Closure94,2,26,24
Closure95,1457,1154,-303
Closure96,43,63,20
Closure97,80,69,-11
Closure98,19,47,28
Closure99,7,4,-3
Closure100,15,7,-8
Closure101,1890,1850,-40
Closure102,2998,3413,415
Closure103,611,569,-42
Closure104,2,3,1
Closure105,15,38,23
Closure106,6,2,-4
Closure107,4,4,0
Closure108,20,19,-1
Closure109,35,19,-16
Closure110,26,33,7
Closure111,162,134,-28
Closure112,150,139,-11
Closure113,1,3,2
Closure114,17,12,-5
Closure115,3,3,0
Closure116,76,84,8
Closure117,2,3,1
Closure118,51,49,-2
Closure120,663,552,-111
Closure121,37,28,-9
Closure122,1,1,0
Closure123,175,112,-63
Closure124,43,37,-6
Closure125,33,50,17
Closure126,1,1,0
Closure127,15,15,0
Closure128,5,4,-1
Closure129,546,612,66
Closure130,53,59,6
Closure131,6,7,1
Closure132,33,71,38
Closure133,59,64,5
Lang1,1,1,0
Lang2,16,16,0
Lang3,2,2,0
Lang4,2,1,-1
Lang5,1,1,0
Lang6,21,16,-5
Lang7,8,10,2
Lang8,1,1,0
Lang9,40,47,7
Lang10,42,35,-7
Lang11,7,8,1
Lang12,2,2,0
Lang13,2,2,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,23,33,10
Lang17,13,13,0
Lang18,60,43,-17
Lang19,1,2,1
Lang20,2,1,-1
Lang21,1,1,0
Lang22,1,1,0
Lang24,14,40,26
Lang26,6,5,-1
Lang27,1,1,0
Lang28,2,3,1
Lang30,15,9,-6
Lang31,2,1,-1
Lang32,4,6,2
Lang33,1,1,0
Lang34,1,1,0
Lang35,3,3,0
Lang36,42,35,-7
Lang37,1,1,0
Lang38,1,1,0
