Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,92,97,5
Chart2,org.jfree.data.general.DatasetUtilities#757,61,38,-23
Chart2,org.jfree.data.general.DatasetUtilities#1242,41,49,8
Chart2,org.jfree.data.general.DatasetUtilities#1243,75,60,-15
Chart3,org.jfree.data.time.TimeSeries#1056,8,3,-5
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,324,153,-171
Chart5,org.jfree.data.xy.XYSeries#548,7,8,1
Chart6,org.jfree.chart.util.ShapeList#111,94,94,0
Chart7,org.jfree.data.time.TimePeriodValues#300,40,46,6
Chart7,org.jfree.data.time.TimePeriodValues#302,29,31,2
Chart8,org.jfree.data.time.Week#175,4,7,3
Chart9,org.jfree.data.time.TimeSeries#944,7,8,1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,1,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,36,36,0
Chart13,org.jfree.chart.block.BorderArrangement#454,3,1,-2
Chart14,org.jfree.chart.plot.XYPlot#2293,7,2,-5
Chart14,org.jfree.chart.plot.XYPlot#2529,2,4,2
Chart14,org.jfree.chart.plot.CategoryPlot#2166,5,1,-4
Chart14,org.jfree.chart.plot.CategoryPlot#2448,8,3,-5
Chart15,org.jfree.chart.plot.PiePlot#2051,24,19,-5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,21,22,1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,57,52,-5
Chart18,org.jfree.data.DefaultKeyedValues2D#455,13,12,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,5,4,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,12,14,2
Chart19,org.jfree.chart.plot.CategoryPlot#698,14,10,-4
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,1,0
Chart20,org.jfree.chart.plot.ValueMarker#95,6,6,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,78,71,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,38,34,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,64,41,-23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,72,74,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,27,33,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,51,53,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,28,31,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,47,46,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,93,93,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,86,86,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,17,17,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,5,3,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,7,8,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,6,7,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,25,29,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,50,45,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,40,38,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,39,37,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,15,9,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,9,10,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,14,16,2
Chart22,org.jfree.data.KeyedObjects2D#231,75,75,0
Chart22,org.jfree.data.KeyedObjects2D#233,73,69,-4
Chart22,org.jfree.data.KeyedObjects2D#378,2,2,0
Chart22,org.jfree.data.KeyedObjects2D#345,46,35,-11
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,1,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,167,200,33
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,3,3,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,234,199,-35
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,1969,2005,36
Chart26,org.jfree.chart.axis.Axis#1192,18,1,-17
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,97,37,-60
Closure2,com.google.javascript.jscomp.TypeCheck#1574,94,96,2
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,51,42,-9
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,113,47,-66
Closure4,com.google.javascript.rhino.jstype.NamedType#190,2,1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,11,4,-7
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,4,1,-3
Closure6,com.google.javascript.jscomp.TypeValidator#366,2,1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#367,51,83,32
Closure6,com.google.javascript.jscomp.TypeValidator#405,3,3,0
Closure6,com.google.javascript.jscomp.TypeValidator#406,78,96,18
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,51,93,42
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,1,3,2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,5,3,-2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,1,1,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,3,10,7
Closure10,com.google.javascript.jscomp.NodeUtil#1417,142,195,53
Closure11,com.google.javascript.jscomp.TypeCheck#1314,3,3,0
Closure11,com.google.javascript.jscomp.TypeCheck#1315,2482,1462,-1020
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,366,199,-167
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,4884,3272,-1612
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,6058,5987,-71
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,3972,3296,-676
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,41,1,-40
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,57,92,35
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,46,93,47
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,94,66,-28
Closure16,com.google.javascript.jscomp.ScopedAliases#174,592,395,-197
Closure16,com.google.javascript.jscomp.ScopedAliases#180,483,367,-116
Closure16,com.google.javascript.jscomp.ScopedAliases#468,170,137,-33
Closure16,com.google.javascript.jscomp.ScopedAliases#175,390,468,78
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,4,2,-2
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,13,1,-12
Closure18,com.google.javascript.jscomp.Compiler#1288,200,205,5
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,29,27,-2
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,69,53,-16
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,131,185,54
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,184,251,67
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,150,172,22
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,582,420,-162
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,1,2,1
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,2,1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,188,78,-110
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,4,3,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,3,4,1
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,76,103,27
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,237,264,27
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,877,563,-314
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,276,131,-145
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,140,196,56
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,148,12,-136
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,50,58,8
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,1,2,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,2,1,-1
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,112,31,-81
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,4,4,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,590,378,-212
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,3,3,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,684,422,-262
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,101,152,51
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,111,134,23
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,88,67,-21
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,106,80,-26
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,52,71,19
Closure24,com.google.javascript.jscomp.ScopedAliases#278,1,1,0
Closure24,com.google.javascript.jscomp.ScopedAliases#279,25,36,11
Closure24,com.google.javascript.jscomp.ScopedAliases#293,14,6,-8
Closure25,com.google.javascript.jscomp.TypeInference#1038,63,74,11
Closure25,com.google.javascript.jscomp.TypeInference#1054,230,172,-58
Closure25,com.google.javascript.jscomp.TypeInference#1059,163,113,-50
Closure25,com.google.javascript.jscomp.TypeInference#1060,13,20,7
