Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,41,38,-3
Chart3,1,3,2
Chart4,324,153,-171
Chart5,7,8,1
Chart6,94,94,0
Chart7,29,31,2
Chart8,4,7,3
Chart9,7,8,1
Chart10,1,1,0
Chart11,1,1,0
Chart12,36,36,0
Chart13,3,1,-2
Chart14,2,1,-1
Chart15,24,19,-5
Chart16,1,1,0
Chart17,1,1,0
Chart18,3,2,-1
Chart19,1,1,0
Chart20,6,6,0
Chart21,5,3,-2
Chart22,2,2,0
Chart24,1,1,0
Chart25,3,3,0
Chart26,18,1,-17
Closure1,97,37,-60
Closure2,94,96,2
Closure3,51,42,-9
Closure4,2,1,-1
Closure5,4,1,-3
Closure6,2,1,-1
Closure7,51,93,42
Closure8,1,3,2
Closure9,1,1,0
Closure10,142,195,53
Closure11,3,3,0
Closure12,366,199,-167
Closure13,3972,3272,-700
Closure14,41,1,-40
Closure15,46,66,20
Closure16,170,137,-33
Closure17,4,1,-3
Closure18,200,205,5
Closure19,29,27,-2
Closure20,69,53,-16
Closure21,1,1,0
Closure22,1,1,0
Closure23,52,71,19
Closure24,1,1,0
Closure25,13,20,7
Closure26,22,17,-5
Closure27,11,5,-6
Closure29,13,20,7
Closure30,236,163,-73
Closure31,257,235,-22
Closure32,2,1,-1
Closure33,47,19,-28
Closure34,8,1,-7
Closure35,97,143,46
Closure36,57,64,7
Closure37,329,346,17
Closure38,1,1,0
Closure39,5,5,0
Closure40,3,1,-2
Closure41,828,571,-257
Closure42,4,6,2
Closure43,300,168,-132
Closure44,120,130,10
Closure45,37,30,-7
Closure46,2,1,-1
Closure47,57,5,-52
Closure48,1,2,1
Closure49,6,6,0
Closure50,5,3,-2
Closure51,1,1,0
Closure52,129,73,-56
Closure53,96,67,-29
Closure54,114,72,-42
Closure55,29,36,7
Closure56,30,25,-5
Closure57,44,34,-10
Closure58,122,42,-80
Closure59,1514,1687,173
Closure60,19,53,34
Closure61,48,41,-7
Closure62,2,1,-1
Closure63,1,1,0
Closure64,277,410,133
Closure65,79,29,-50
Closure66,7,4,-3
Closure67,16,8,-8
Closure68,11,7,-4
Closure69,274,482,208
Closure70,7,1,-6
Closure71,1,1,0
Closure72,52,210,158
Closure73,1,1,0
Closure74,6,1,-5
Closure75,20,42,22
Closure76,9,6,-3
Closure77,75,29,-46
Closure78,45,21,-24
Closure79,251,111,-140
Closure80,26,150,124
Closure81,26,12,-14
Closure82,1885,1825,-60
Closure83,1,1,0
Closure84,33,17,-16
Closure85,3,8,5
Closure86,1,1,0
Closure87,124,55,-69
Closure88,24,1,-23
Closure89,11,10,-1
Closure90,247,34,-213
Closure91,116,165,49
Closure92,1,1,0
Closure93,1,1,0
Closure94,1,26,25
Closure95,1665,1154,-511
Closure96,29,63,34
Closure97,110,69,-41
Closure98,7,47,40
Closure99,20,4,-16
Closure100,32,7,-25
Closure101,1866,1850,-16
Closure102,2862,3413,551
Closure103,630,569,-61
Closure104,1,3,2
Closure105,5,38,33
Closure106,8,2,-6
