Project,now,before,Difference
Chart1,28,42,14
Chart2,58,51,-7
Chart3,4,12,8
Chart4,260,241,-19
Chart5,5,8,3
Chart6,38,29,-9
Chart7,86,86,0
Chart8,10,15,5
Chart9,11,10,-1
Chart10,1,1,0
Chart11,5,5,0
Chart12,97,97,0
Chart13,18,21,3
Chart14,7,8,1
Chart15,23,16,-7
Chart16,3,5,2
Chart17,5,5,0
Chart18,5,5,0
Chart19,1,1,0
Chart20,26,11,-15
Chart21,1,1,0
Chart22,8,5,-3
Chart24,3,4,1
Chart25,3,3,0
Chart26,669,669,0
Closure1,166,123,-43
Closure2,9,10,1
Closure3,1504,1504,0
Closure4,4943,4943,0
Closure5,53,58,5
Closure6,5,6,1
Closure7,9,12,3
Closure8,2441,2441,0
Closure9,1,1,0
Closure10,1685,1685,0
Closure11,1827,1827,0
Closure12,1888,1888,0
Closure13,5541,5541,0
Closure14,83,38,-45
Closure15,51,61,10
Closure16,163,169,6
Closure17,9,10,1
Closure18,1920,1920,0
Closure19,4,6,2
Closure20,2245,2245,0
Closure21,7,7,0
Closure22,1,1,0
Closure23,59,67,8
Closure24,3,3,0
Closure25,2694,2694,0
Closure26,19,24,5
Closure27,1,1,0
Closure29,2938,2938,0
Closure30,1695,1695,0
Closure31,713,713,0
Closure32,97,50,-47
Closure33,2317,2317,0
Closure34,56,28,-28
Closure35,10,26,16
Closure36,5948,5948,0
Closure37,716,716,0
Closure38,147,147,0
Closure39,4,4,0
Closure40,3814,3814,0
Closure41,4104,4104,0
Closure42,8,11,3
Closure43,2729,2729,0
Closure44,884,884,0
Closure45,1681,1681,0
Closure46,2,2,0
Closure47,243,243,0
Closure48,119,178,59
Closure49,116,99,-17
Closure50,56,64,8
Closure51,16,17,1
Closure52,10,7,-3
Closure53,3126,3126,0
Closure54,95,71,-24
Closure55,1195,1195,0
Closure56,1,1,0
Closure57,4,4,0
Closure58,33,14,-19
Closure59,3588,3588,0
Closure60,1,2,1
Closure61,1118,1118,0
Closure62,1,1,0
Closure63,2,1,-1
Closure64,1345,1345,0
Closure65,1,1,0
Closure66,2785,2785,0
Closure67,2399,2399,0
Closure68,7,7,0
Closure69,91,189,98
Closure70,597,597,0
Closure71,3280,3280,0
Closure72,1608,1608,0
Closure73,24,9,-15
Closure74,43,37,-6
Closure75,1,1,0
Closure76,71,48,-23
Closure77,68,36,-32
Closure78,6,3,-3
Closure79,40,16,-24
Closure80,4,7,3
Closure81,4,4,0
Closure82,258,258,0
Closure83,74,74,0
Closure84,8,9,1
Closure85,86,66,-20
Closure86,6,13,7
Closure87,788,788,0
Closure88,31,55,24
Closure89,68,55,-13
Closure90,582,582,0
Closure91,1939,1939,0
Closure92,2107,2107,0
Closure93,2157,2157,0
Closure94,2,4,2
Closure95,2135,2135,0
Closure96,33,37,4
Closure97,42,35,-7
Closure98,752,752,0
Closure99,87,66,-21
Closure100,72,38,-34
Closure101,3976,3976,0
Closure102,3147,3147,0
Closure103,21,20,-1
Closure104,7,9,2
Closure105,36,42,6
Closure106,40,27,-13
Closure107,51,69,18
Closure108,61,53,-8
Closure109,7,5,-2
Closure110,32,35,3
Closure111,5,4,-1
Closure112,97,65,-32
Closure113,7,8,1
Closure114,142,90,-52
Closure115,10,7,-3
Closure116,54,46,-8
Closure117,109,153,44
Closure118,5618,5618,0
Closure120,2243,2243,0
Closure121,89,90,1
Closure122,2,3,1
Closure123,123,98,-25
Closure124,21,18,-3
Closure125,66,95,29
Closure126,2582,2582,0
Closure127,2062,2062,0
Closure128,2,2,0
Closure129,6780,6780,0
Closure130,3664,3664,0
Closure131,72,84,12
Closure132,1938,1938,0
Closure133,1322,1322,0
Lang1,5,3,-2
Lang2,13,18,5
Lang3,6,5,-1
Lang4,5,5,0
Lang5,1,1,0
Lang6,63,72,9
Lang7,75,23,-52
Lang8,13,11,-2
Lang9,34,62,28
Lang10,61,34,-27
Lang11,2,1,-1
Lang12,5,6,1
Lang13,3,4,1
Lang14,1,1,0
Lang15,249,249,0
Lang16,4,8,4
Lang17,39,19,-20
Lang18,48,46,-2
Lang19,5,9,4
Lang20,2,4,2
Lang21,1,1,0
Lang22,26,27,1
Lang24,153,153,0
Lang26,9,12,3
Lang27,51,27,-24
Lang28,1,1,0
Lang30,2,2,0
Lang31,7,5,-2
Lang32,3,4,1
Lang33,692,692,0
Lang34,47,74,27
Lang35,1,1,0
Lang36,91,91,0
Lang37,3,4,1
Lang38,1,1,0
Lang39,26,38,12
Lang40,2,2,0
Lang41,4,6,2
Lang42,6,3,-3
Lang43,4,6,2
Lang44,4,5,1
Lang45,1,1,0
Lang46,1,1,0
Lang47,23,23,0
Lang48,2,2,0
Lang49,2,2,0
Lang50,13,12,-1
Lang53,123,123,0
Lang54,3,1,-2
Lang55,8,9,1
Lang57,1,1,0
Lang58,34,27,-7
Lang59,1,1,0
Lang60,10,6,-4
Lang61,24,27,3
Lang62,4,6,2
Lang63,2,2,0
Lang64,1,1,0
Lang65,9,6,-3
Math1,3,6,3
Math2,71,71,0
Math3,10,7,-3
Math4,2,2,0
Math5,2,2,0
Math6,196,285,89
Math7,85,46,-39
Math8,2,3,1
Math9,2,3,1
Math10,8,11,3
Math11,60,60,0
Math13,188,188,0
Math14,44,43,-1
Math15,5,2,-3
Math16,6,4,-2
Math17,508,508,0
Math18,3,3,0
Math19,16,18,2
Math20,453,453,0
Math21,7,6,-1
Math22,1,1,0
Math23,56,41,-15
Math24,60,71,11
Math25,2,2,0
Math26,79,24,-55
Math27,2,2,0
Math28,16,22,6
Math29,3,3,0
Math30,20,24,4
Math31,60,81,21
Math32,98,64,-34
Math33,59,51,-8
Math34,1,1,0
Math35,4,6,2
Math36,1,1,0
Math37,1,1,0
Math38,2,2,0
Math39,462,462,0
Math40,131,131,0
Math41,16,14,-2
Math42,331,331,0
Math43,105,96,-9
Math44,14,13,-1
Math45,1,1,0
Math46,1,1,0
Math47,2,1,-1
Math48,687,687,0
Math49,3,5,2
Math50,1,1,0
Math51,51,29,-22
Math52,13,9,-4
Math53,3,2,-1
Math54,11,11,0
Math55,1,1,0
Math56,6,5,-1
Math57,7,8,1
Math58,128,128,0
Math59,2,1,-1
Math60,16,17,1
Math61,590,590,0
Math62,325,325,0
Math63,1,1,0
Math64,105,105,0
Math65,69,70,1
Math66,162,162,0
Math67,173,173,0
Math68,83,83,0
Math69,64,64,0
Math70,1,1,0
Math71,1,2,1
Math72,7,8,1
Math73,10,12,2
Math74,984,984,0
Math75,2,1,-1
Math76,50,60,10
Math77,12,19,7
Math78,42,46,4
Math79,13,12,-1
Math80,31,69,38
Math81,42,46,4
Math82,214,214,0
Math83,45,69,24
Math84,36,13,-23
Math85,111,111,0
Math86,57,40,-17
Math87,30,35,5
Math88,1,1,0
Math89,1,1,0
Math90,5,5,0
Math91,1,1,0
Math92,2,1,-1
Math93,1,2,1
Math94,14,11,-3
Math95,7,8,1
Math96,6,6,0
Math97,1,1,0
Math98,6,3,-3
Math99,7,5,-2
Math100,9,5,-4
Math101,33,15,-18
Math102,1,1,0
Math103,27,30,3
Math105,25,25,0
Math106,9,8,-1
Mockito1,1,1,0
Mockito2,7,16,9
Mockito3,4,3,-1
Mockito4,2100,2100,0
Mockito5,2915,2915,0
Mockito6,1,2,1
Mockito7,44,36,-8
Mockito8,37,37,0
Mockito9,938,938,0
Mockito10,16,9,-7
Mockito11,1,1,0
Mockito12,30,39,9
Mockito13,92,83,-9
Mockito14,509,509,0
Mockito15,174,174,0
Mockito16,4,4,0
Mockito17,2,2,0
Mockito18,14,26,12
Mockito19,493,493,0
Mockito20,66,217,151
Mockito21,2,2,0
Mockito22,10,9,-1
Mockito23,272,272,0
Mockito24,1,1,0
Mockito25,29,58,29
Mockito26,15,41,26
Mockito27,2,3,1
Mockito28,470,470,0
Mockito29,829,829,0
Mockito30,6,6,0
Mockito31,1,1,0
Mockito32,424,424,0
Mockito33,19,84,65
Mockito34,89,42,-47
Mockito35,3,9,6
Mockito36,1857,1857,0
Mockito37,65,10,-55
Mockito38,899,899,0
Time1,4,4,0
Time2,9,6,-3
Time3,1,1,0
Time4,10,16,6
Time5,2,2,0
Time6,6,5,-1
Time7,61,49,-12
Time8,5,10,5
Time9,6,5,-1
Time10,499,499,0
Time11,358,358,0
Time12,35,21,-14
Time13,27,13,-14
Time14,6,8,2
Time15,1,1,0
Time16,1,1,0
Time17,1,1,0
Time18,9,11,2
Time19,254,254,0
Time20,10,6,-4
Time21,2,2,0
Time22,2,11,9
Time23,2,1,-1
Time24,101,157,56
Time25,66,109,43
Time26,92,80,-12
Time27,1271,1271,0
