Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,195,42,-153
Chart2,org.jfree.data.general.DatasetUtilities#755,93,79,-14
Chart2,org.jfree.data.general.DatasetUtilities#757,126,51,-75
Chart2,org.jfree.data.general.DatasetUtilities#758,333,333,0
Chart2,org.jfree.data.general.DatasetUtilities#761,334,334,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,81,153,72
Chart2,org.jfree.data.general.DatasetUtilities#1243,94,154,60
Chart2,org.jfree.data.general.DatasetUtilities#1245,514,514,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,515,515,0
Chart3,org.jfree.data.time.TimeSeries#1056,67,13,-54
Chart3,org.jfree.data.time.TimeSeries#1057,12,12,0
Chart4,org.jfree.chart.plot.XYPlot#4493,1953,241,-1712
Chart5,org.jfree.data.xy.XYSeries#548,6,8,2
Chart6,org.jfree.chart.util.ShapeList#111,77,29,-48
Chart7,org.jfree.data.time.TimePeriodValues#300,30,86,56
Chart7,org.jfree.data.time.TimePeriodValues#302,44,87,43
Chart8,org.jfree.data.time.Week#175,3,15,12
Chart9,org.jfree.data.time.TimeSeries#944,79,10,-69
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,11,5,-6
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,376,97,-279
Chart13,org.jfree.chart.block.BorderArrangement#454,105,21,-84
Chart14,org.jfree.chart.plot.XYPlot#2293,360,8,-352
Chart14,org.jfree.chart.plot.XYPlot#2529,356,29,-327
Chart14,org.jfree.chart.plot.CategoryPlot#2166,376,442,66
Chart14,org.jfree.chart.plot.CategoryPlot#2448,368,16,-352
Chart15,org.jfree.chart.plot.PiePlot#1379,5301,5301,0
Chart15,org.jfree.chart.plot.PiePlot#2051,586,16,-570
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,33,13,-20
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,39,11,-28
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,5,5,0
Chart17,org.jfree.data.time.TimeSeries#857,28,5,-23
Chart18,org.jfree.data.DefaultKeyedValues#318,21,7,-14
Chart18,org.jfree.data.DefaultKeyedValues#335,67,16,-51
Chart18,org.jfree.data.DefaultKeyedValues2D#455,58,5,-53
