Project,MinRank1,MinRank2,Difference
Chart1,195,42,-153
Chart2,81,51,-30
Chart3,12,12,0
Chart4,1953,241,-1712
Chart5,6,8,2
Chart6,77,29,-48
Chart7,30,86,56
Chart8,3,15,12
Chart9,79,10,-69
Chart10,1,1,0
Chart11,11,5,-6
Chart12,376,97,-279
Chart13,105,21,-84
Chart14,356,8,-348
Chart15,586,16,-570
Chart16,5,5,0
Chart17,28,5,-23
Chart18,21,5,-16
Chart19,151,1,-150
Chart20,57,11,-46
Chart21,27,1,-26
Chart22,57,5,-52
Chart24,3,4,1
Chart25,1426,3,-1423
Chart26,4631,669,-3962
Closure1,8315,123,-8192
Closure2,1571,10,-1561
Closure3,2791,1504,-1287
Closure4,3899,4943,1044
Closure5,1451,58,-1393
Closure6,1300,6,-1294
Closure7,489,12,-477
Closure8,163,2441,2278
Closure9,1,1,0
Closure10,787,1685,898
Closure11,2940,1827,-1113
Closure12,3548,1888,-1660
Closure13,6114,5541,-573
Closure14,3464,38,-3426
Closure15,796,61,-735
Closure16,2844,169,-2675
Closure17,3072,10,-3062
Closure18,2313,1920,-393
Closure19,1502,6,-1496
Closure20,1403,2245,842
Closure21,484,7,-477
Closure22,315,1,-314
Closure23,866,67,-799
Closure24,711,3,-708
Closure25,1092,2694,1602
Closure26,2167,24,-2143
Closure27,14,1,-13
Closure29,3253,2938,-315
Closure30,1681,1695,14
Closure31,1866,713,-1153
Closure32,2106,50,-2056
Closure33,3218,2317,-901
Closure34,136,28,-108
Closure35,857,26,-831
Closure36,3298,5948,2650
Closure37,1040,716,-324
Closure38,838,147,-691
Closure39,77,4,-73
Closure40,2735,3814,1079
Closure41,1004,4104,3100
Closure42,195,11,-184
Closure43,3645,2729,-916
Closure44,745,884,139
Closure45,930,1681,751
Closure46,357,2,-355
Closure47,3512,243,-3269
Closure48,1949,178,-1771
Closure49,627,99,-528
Closure50,366,64,-302
Closure51,811,17,-794
Closure52,1182,7,-1175
Closure53,1665,3126,1461
Closure54,2853,71,-2782
Closure55,1638,1195,-443
Closure56,454,1,-453
Closure57,592,4,-588
Closure58,1982,14,-1968
Closure59,2872,3588,716
Closure60,820,2,-818
Closure61,1198,1118,-80
Closure62,38,1,-37
Closure63,39,1,-38
Closure64,1632,1345,-287
Closure65,979,1,-978
Closure66,2156,2785,629
Closure67,1437,2399,962
Closure68,313,7,-306
Closure69,1126,189,-937
Closure70,4440,597,-3843
Closure71,2763,3280,517
Closure72,552,1608,1056
Closure73,723,9,-714
Closure74,904,37,-867
Closure75,336,1,-335
Closure76,656,48,-608
Closure77,882,36,-846
Closure78,1114,3,-1111
Closure79,886,16,-870
Closure80,20,7,-13
Closure81,460,4,-456
