Project,now,before,Difference
Chart1,101,42,-59
Chart2,117,92,-25
Chart3,1,3,2
Chart4,1617,165,-1452
Chart5,5,8,3
Chart6,92,57,-35
Chart7,44,81,37
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,21,13,-8
Chart13,40,47,7
Chart14,20,15,-5
Chart15,29,29,0
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,19,5,-14
Chart21,2,3,1
Chart22,47,51,4
Chart24,1,3,2
Chart25,2648,2745,97
Chart26,143,134,-9
Closure1,7333,122,-7211
Closure2,96,96,0
Closure3,2429,279,-2150
Closure4,3377,168,-3209
Closure5,656,154,-502
Closure6,1,1,0
Closure7,1,2,1
Closure8,120,123,3
Closure9,1,1,0
Closure10,384,264,-120
Closure11,2884,2712,-172
Closure12,3608,1081,-2527
Closure13,6395,5651,-744
Closure14,1,1,0
Closure15,177,185,8
Closure16,102,93,-9
Closure17,601,114,-487
Closure18,2657,1805,-852
Closure19,9,9,0
Closure20,12,2,-10
Closure21,18,15,-3
Closure22,18,14,-4
Closure23,7,8,1
Closure24,1,1,0
Closure25,107,107,0
Closure26,14,11,-3
Closure27,8,3,-5
Closure29,1468,357,-1111
Closure30,927,220,-707
Closure31,2581,1492,-1089
Closure32,38,30,-8
Closure33,3027,573,-2454
Closure34,767,199,-568
Closure35,6,6,0
Closure36,1198,1062,-136
Closure37,1829,967,-862
Closure38,1423,284,-1139
Closure39,27,73,46
Closure40,328,120,-208
Closure41,991,902,-89
Closure42,1,1,0
Closure43,3411,465,-2946
Closure44,1232,571,-661
Closure45,857,280,-577
Closure46,1,1,0
Closure47,629,274,-355
Closure48,1841,2192,351
Closure49,721,1090,369
Closure50,76,76,0
Closure51,1424,274,-1150
Closure52,1561,138,-1423
Closure53,156,47,-109
Closure54,33,31,-2
Closure55,1100,329,-771
Closure56,61,50,-11
Closure57,459,50,-409
Closure58,7,7,0
Closure59,3219,5974,2755
Closure60,190,26,-164
Closure61,1268,115,-1153
Closure62,2,4,2
Closure63,2,4,2
Closure64,86,1556,1470
Closure65,1957,283,-1674
Closure66,2590,2784,194
Closure67,1453,223,-1230
Closure68,1,3,2
Closure69,1310,2398,1088
Closure70,4755,2674,-2081
Closure71,2992,390,-2602
Closure72,594,241,-353
Closure73,1184,1355,171
Closure74,81,38,-43
Closure75,100,9,-91
Closure76,221,114,-107
Closure77,1392,1329,-63
Closure78,2,1,-1
Closure79,58,45,-13
Closure80,12,58,46
Closure81,671,137,-534
Closure82,2773,599,-2174
Closure83,103,10,-93
Closure84,277,172,-105
Closure85,140,162,22
Closure86,1,1,0
Closure87,1040,150,-890
Closure88,12,69,57
Closure89,766,159,-607
Closure90,309,46,-263
Closure91,429,284,-145
Closure92,142,85,-57
Closure93,142,85,-57
Closure94,1,1,0
Closure95,3028,1640,-1388
Closure96,945,424,-521
Closure97,14,1,-13
Closure98,376,425,49
Closure99,46,17,-29
Closure100,69,38,-31
Closure101,2848,2775,-73
Closure102,3053,4752,1699
Closure103,730,290,-440
Closure104,7,13,6
Closure105,26,7,-19
Closure106,102,113,11
Closure107,666,132,-534
Closure108,517,237,-280
Closure109,865,33,-832
Closure110,2,2,0
Closure111,1,1,0
Closure112,89,89,0
Closure113,15,17,2
Closure114,2839,215,-2624
Closure115,8,8,0
Closure116,110,10,-100
Closure117,1400,280,-1120
Closure118,2,2,0
Closure120,2843,287,-2556
Closure121,1317,388,-929
Closure122,8,9,1
Closure123,1939,222,-1717
Closure124,10,10,0
Closure125,955,564,-391
Closure126,55,5,-50
Closure127,234,194,-40
Closure128,450,139,-311
Closure129,1648,2329,681
Closure130,526,545,19
Closure131,962,340,-622
Closure132,77,80,3
Closure133,457,597,140
Lang1,2,3,1
Lang2,6,3,-3
Lang3,2,3,1
Lang4,2,2,0
Lang5,1,1,0
Lang6,94,98,4
Lang7,150,122,-28
Lang8,8,6,-2
Lang9,76,84,8
Lang10,44,42,-2
Lang11,3,3,0
Lang12,2,4,2
Lang13,1,5,4
Lang14,1,4,3
Lang15,29,12,-17
Lang16,26,27,1
Lang17,74,102,28
Lang18,52,41,-11
Lang19,5,8,3
Lang20,3,8,5
Lang21,1,2,1
Lang22,25,26,1
Lang24,14,64,50
Lang26,50,7,-43
Lang27,133,127,-6
Lang28,1,3,2
Lang30,5,8,3
Lang31,2,4,2
Lang32,5,26,21
Lang33,3,7,4
Lang34,63,53,-10
Lang35,1,2,1
Lang36,56,42,-14
Lang37,1,6,5
Lang38,1,3,2
Lang39,10,27,17
Lang40,1,2,1
Lang41,9,6,-3
Lang42,14,13,-1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,7,5,-2
Lang48,2,2,0
Lang49,2,1,-1
Lang50,19,15,-4
Lang53,20,16,-4
Lang54,4,3,-1
Lang55,6,7,1
Lang57,3,6,3
Lang58,22,20,-2
Lang59,3,6,3
Lang60,4,2,-2
Lang61,6,8,2
Lang62,1,4,3
Lang63,1,1,0
Lang64,4,4,0
Lang65,11,7,-4
Math1,13,11,-2
Math2,38,44,6
Math3,10,3,-7
Math4,14,17,3
Math5,2,1,-1
Math6,302,64,-238
Math7,43,42,-1
Math8,1,4,3
Math9,1,1,0
Math10,2,12,10
Math11,46,31,-15
Math13,117,159,42
Math14,134,99,-35
Math15,258,211,-47
Math16,214,214,0
Math17,169,258,89
Math18,21,14,-7
Math19,54,56,2
Math20,875,598,-277
Math21,45,41,-4
Math22,1,1,0
Math23,212,148,-64
Math24,175,150,-25
Math25,1,1,0
Math26,406,38,-368
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,31,41,10
Math31,70,101,31
Math32,7,4,-3
Math33,181,44,-137
Math34,2,3,1
Math35,1,3,2
Math36,2,2,0
Math37,17,13,-4
Math38,9,5,-4
Math39,76,117,41
Math40,74,33,-41
Math41,21,43,22
Math42,73,72,-1
Math43,118,52,-66
Math44,15,14,-1
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
