Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,35,42,7
Chart2,org.jfree.data.general.DatasetUtilities#755,101,102,1
Chart2,org.jfree.data.general.DatasetUtilities#757,105,104,-1
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,91,92,1
Chart2,org.jfree.data.general.DatasetUtilities#1243,93,93,0
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,7,3,-4
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,195,165,-30
Chart5,org.jfree.data.xy.XYSeries#548,5,8,3
Chart6,org.jfree.chart.util.ShapeList#111,59,57,-2
Chart7,org.jfree.data.time.TimePeriodValues#300,44,81,37
Chart7,org.jfree.data.time.TimePeriodValues#302,54,82,28
Chart8,org.jfree.data.time.Week#175,2,1,-1
Chart9,org.jfree.data.time.TimeSeries#944,10,14,4
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,11,5,-6
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,18,13,-5
Chart13,org.jfree.chart.block.BorderArrangement#454,40,47,7
Chart14,org.jfree.chart.plot.XYPlot#2293,21,28,7
Chart14,org.jfree.chart.plot.XYPlot#2529,17,35,18
Chart14,org.jfree.chart.plot.CategoryPlot#2166,19,15,-4
Chart14,org.jfree.chart.plot.CategoryPlot#2448,23,22,-1
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,29,29,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,35,37,2
Chart17,org.jfree.data.time.TimeSeries#857,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#318,3,3,0
Chart18,org.jfree.data.DefaultKeyedValues#335,9,9,0
Chart18,org.jfree.data.DefaultKeyedValues2D#455,14,10,-4
Chart18,org.jfree.data.DefaultKeyedValues2D#458,13,13,0
Chart18,org.jfree.data.DefaultKeyedValues2D#460,12,15,3
Chart19,org.jfree.chart.plot.CategoryPlot#698,2,1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,2,1
Chart20,org.jfree.chart.plot.ValueMarker#95,5,5,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,95,80,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,88,81,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,114,82,-32
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,61,83,22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,49,84,35
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,80,85,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,56,86,30
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,78,87,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,85,88,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,74,89,15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,20,24,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,2,3,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,4,4,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,3,5,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,58,90,32
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,96,91,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,86,92,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,82,93,11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,9,12,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,8,13,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,7,14,7
Chart22,org.jfree.data.KeyedObjects2D#231,60,65,5
Chart22,org.jfree.data.KeyedObjects2D#233,63,67,4
Chart22,org.jfree.data.KeyedObjects2D#378,44,51,7
Chart22,org.jfree.data.KeyedObjects2D#345,82,88,6
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2651,2745,94
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,2714,2764,50
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2901,2956,55
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2856,2937,81
Chart26,org.jfree.chart.axis.Axis#1192,144,134,-10
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,124,122,-2
Closure2,com.google.javascript.jscomp.TypeCheck#1574,91,96,5
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,481,438,-43
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,286,279,-7
Closure4,com.google.javascript.rhino.jstype.NamedType#190,188,168,-20
Closure4,com.google.javascript.rhino.jstype.NamedType#202,17972,17972,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,163,166,3
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,143,154,11
Closure6,com.google.javascript.jscomp.TypeValidator#366,103,106,3
Closure6,com.google.javascript.jscomp.TypeValidator#367,1,1,0
Closure6,com.google.javascript.jscomp.TypeValidator#405,3667,3859,192
Closure6,com.google.javascript.jscomp.TypeValidator#406,15,15,0
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,1,2,1
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,117,123,6
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2866,2866,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,12,11,-1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,1,1,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,4,12,8
Closure10,com.google.javascript.jscomp.NodeUtil#1417,236,264,28
Closure11,com.google.javascript.jscomp.TypeCheck#1314,2794,2791,-3
Closure11,com.google.javascript.jscomp.TypeCheck#1315,3833,2712,-1121
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,1144,1081,-63
