Project,MinRank1,MinRank2,Difference
Chart1,35,42,7
Chart2,91,92,1
Chart3,1,3,2
Chart4,195,165,-30
Chart5,5,8,3
Chart6,59,57,-2
Chart7,44,81,37
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,18,13,-5
Chart13,40,47,7
Chart14,17,15,-2
Chart15,29,29,0
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,5,5,0
Chart21,2,3,1
Chart22,44,51,7
Chart24,1,3,2
Chart25,2651,2745,94
Chart26,144,134,-10
Closure1,124,122,-2
Closure2,91,96,5
Closure3,286,279,-7
Closure4,188,168,-20
Closure5,143,154,11
Closure6,1,1,0
Closure7,1,2,1
Closure8,117,123,6
Closure9,1,1,0
Closure10,236,264,28
Closure11,2794,2712,-82
Closure12,1144,1081,-63
Closure13,5678,5651,-27
Closure14,1,1,0
Closure15,181,185,4
Closure16,101,93,-8
Closure17,123,114,-9
Closure18,1619,1805,186
Closure19,7,9,2
Closure20,12,2,-10
Closure21,16,15,-1
Closure22,14,14,0
Closure23,7,8,1
Closure24,1,1,0
Closure25,107,107,0
Closure26,12,11,-1
Closure27,8,3,-5
Closure29,334,357,23
Closure30,217,220,3
Closure31,1425,1492,67
Closure32,36,30,-6
Closure33,576,573,-3
Closure34,204,199,-5
Closure35,5,6,1
Closure36,1009,1062,53
Closure37,959,967,8
Closure38,278,284,6
Closure39,61,73,12
Closure40,113,120,7
Closure41,1361,902,-459
Closure42,1,1,0
Closure43,489,465,-24
Closure44,677,571,-106
Closure45,258,280,22
Closure46,1,1,0
Closure47,393,274,-119
Closure48,1798,2192,394
Closure49,1073,1090,17
Closure50,75,76,1
Closure51,263,274,11
Closure52,153,138,-15
Closure53,47,47,0
Closure54,33,31,-2
Closure55,326,329,3
Closure56,61,50,-11
Closure57,46,50,4
Closure58,7,7,0
Closure59,5692,5974,282
Closure60,24,26,2
Closure61,110,115,5
Closure62,2,4,2
Closure63,2,4,2
Closure64,1505,1556,51
Closure65,294,283,-11
Closure66,2897,2784,-113
Closure67,254,223,-31
Closure68,1,3,2
Closure69,2370,2398,28
Closure70,3363,2674,-689
Closure71,407,390,-17
Closure72,207,241,34
Closure73,1238,1355,117
Closure74,35,38,3
Closure75,9,9,0
Closure76,112,114,2
Closure77,1276,1329,53
Closure78,2,1,-1
Closure79,57,45,-12
Closure80,26,58,32
Closure81,140,137,-3
Closure82,839,599,-240
Closure83,10,10,0
Closure84,164,172,8
Closure85,158,162,4
Closure86,1,1,0
Closure87,152,150,-2
Closure88,7,69,62
Closure89,178,159,-19
Closure90,62,46,-16
Closure91,281,284,3
Closure92,86,85,-1
Closure93,86,85,-1
Closure94,1,1,0
Closure95,2750,1640,-1110
Closure96,403,424,21
Closure97,14,1,-13
Closure98,361,425,64
Closure99,53,17,-36
Closure100,74,38,-36
Closure101,3516,2775,-741
Closure102,4668,4752,84
Closure103,276,290,14
Closure104,6,13,7
Closure105,26,7,-19
Closure106,102,113,11
Closure107,150,132,-18
Closure108,258,237,-21
Closure109,33,33,0
Closure110,2,2,0
Closure111,1,1,0
Closure112,89,89,0
Closure113,15,17,2
Closure114,235,215,-20
Closure115,8,8,0
Closure116,12,10,-2
Closure117,272,280,8
Closure118,2,2,0
Closure120,293,287,-6
Closure121,345,388,43
Closure122,8,9,1
Closure123,248,222,-26
Closure124,9,10,1
Closure125,534,564,30
Closure126,55,5,-50
Closure127,192,194,2
Closure128,142,139,-3
Closure129,2249,2329,80
Closure130,467,545,78
Closure131,337,340,3
Closure132,76,80,4
Closure133,592,597,5
Lang1,2,3,1
Lang2,4,3,-1
Lang3,1,3,2
Lang4,4,2,-2
Lang5,1,1,0
Lang6,89,98,9
Lang7,148,122,-26
Lang8,8,6,-2
Lang9,71,84,13
Lang10,42,42,0
Lang11,3,3,0
Lang12,2,4,2
Lang13,1,5,4
Lang14,1,4,3
Lang15,9,12,3
Lang16,26,27,1
Lang17,88,102,14
Lang18,50,41,-9
Lang19,5,8,3
Lang20,3,8,5
Lang21,1,2,1
Lang22,23,26,3
Lang24,14,64,50
Lang26,9,7,-2
Lang27,130,127,-3
Lang28,1,3,2
Lang30,7,8,1
Lang31,2,4,2
Lang32,5,26,21
Lang33,3,7,4
Lang34,51,53,2
Lang35,1,2,1
Lang36,56,42,-14
Lang37,1,6,5
Lang38,1,3,2
Lang39,10,27,17
Lang40,2,2,0
Lang41,7,6,-1
Lang42,14,13,-1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,5,5,0
Lang48,2,2,0
Lang49,2,1,-1
Lang50,19,15,-4
Lang53,20,16,-4
Lang54,6,3,-3
Lang55,6,7,1
Lang57,3,6,3
Lang58,22,20,-2
Lang59,3,6,3
Lang60,4,2,-2
Lang61,6,8,2
Lang62,1,4,3
Lang63,1,1,0
Lang64,3,4,1
Lang65,11,7,-4
Math1,13,11,-2
Math2,39,44,5
Math3,10,3,-7
Math4,14,17,3
Math5,2,1,-1
Math6,123,64,-59
Math7,44,42,-2
Math8,1,4,3
Math9,1,1,0
Math10,2,12,10
Math11,46,31,-15
Math13,118,159,41
Math14,132,99,-33
Math15,213,211,-2
Math16,210,214,4
Math17,253,258,5
Math18,21,14,-7
Math19,56,56,0
Math20,800,598,-202
Math21,45,41,-4
Math22,1,1,0
Math23,149,148,-1
Math24,150,150,0
Math25,1,1,0
Math26,48,38,-10
Math27,1,1,0
Math28,12,12,0
Math29,1,6,5
Math30,31,41,10
Math31,99,101,2
Math32,7,4,-3
Math33,50,44,-6
Math34,2,3,1
Math35,1,3,2
Math36,2,2,0
Math37,13,13,0
Math38,9,5,-4
Math39,88,117,29
Math40,34,33,-1
Math41,21,43,22
Math42,160,72,-88
Math43,71,52,-19
Math44,12,14,2
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,353,355,2
Math49,6,7,1
Math50,1,1,0
Math51,35,30,-5
Math52,24,22,-2
Math53,1,1,0
Math54,306,306,0
Math55,1,1,0
Math56,7,20,13
Math57,6,4,-2
Math58,589,545,-44
Math59,2,2,0
Math60,37,36,-1
Math61,1,1,0
Math62,2,128,126
Math63,2,1,-1
Math64,180,143,-37
Math65,39,41,2
Math66,12,37,25
Math67,172,8,-164
Math68,128,127,-1
Math69,22,44,22
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,1,1,0
Math74,704,777,73
Math75,2,1,-1
Math76,52,99,47
Math77,3,19,16
Math78,110,117,7
Math79,30,29,-1
Math80,1,14,13
Math81,11,10,-1
Math82,147,151,4
Math83,26,40,14
Math84,27,34,7
Math85,86,77,-9
Math86,133,71,-62
Math87,122,115,-7
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,2,2,0
Math93,2,2,0
Math94,15,6,-9
Math95,4,15,11
Math96,5,5,0
Math97,2,1,-1
Math98,7,4,-3
Math99,2,4,2
Math100,15,9,-6
Math101,38,12,-26
Math102,3,3,0
Math103,35,32,-3
Math105,7,25,18
Math106,8,10,2
Mockito1,1,2,1
Mockito2,1,3,2
Mockito3,1,1,0
Mockito4,25,24,-1
Mockito5,4060,4060,0
Mockito6,2,2,0
Mockito7,43,50,7
Mockito8,19,31,12
Mockito9,1827,1827,0
Mockito10,24,12,-12
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,102,85,-17
Mockito14,92,96,4
Mockito15,165,178,13
Mockito16,4,4,0
Mockito17,1,4,3
Mockito18,1,5,4
Mockito19,5,12,7
Mockito20,79,71,-8
Mockito21,1,1,0
Mockito22,10,11,1
Mockito23,306,317,11
Mockito24,3,10,7
Mockito25,61,61,0
Mockito26,2995,-1,-1
Mockito27,31,42,11
Mockito28,217,198,-19
Mockito29,27,31,4
Mockito30,4,1,-3
Mockito31,1,2,1
Mockito32,1,2,1
Mockito33,74,82,8
Mockito34,54,51,-3
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,10,4,-6
Mockito38,2,2,0
Time1,2,2,0
Time2,3,3,0
Time3,1,1,0
Time4,16,30,14
Time5,2,2,0
Time6,1,3,2
Time7,17,16,-1
Time8,22,24,2
Time9,3,3,0
Time10,145,191,46
Time11,433,448,15
Time12,20,21,1
Time13,22,19,-3
Time14,3,5,2
Time15,2,2,0
Time16,1,7,6
Time17,5,5,0
Time18,2,3,1
Time19,598,620,22
Time20,1419,1399,-20
Time21,32,33,1
Time22,5,16,11
Time23,92,41,-51
Time24,387,466,79
Time25,264,276,12
Time26,301,317,16
Time27,290,346,56
