Project,now,before,Difference
Chart1,94,42,-52
Chart2,103,92,-11
Chart3,1,3,2
Chart4,431,179,-252
Chart5,5,8,3
Chart6,98,104,6
Chart7,43,81,38
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,22,13,-9
Chart13,40,47,7
Chart14,16,6,-10
Chart15,29,29,0
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,19,5,-14
Chart21,2,3,1
Chart22,11,12,1
Chart24,1,3,2
Chart25,2556,2640,84
Chart26,146,134,-12
Closure1,4051,619,-3432
Closure2,51,66,15
Closure3,1656,279,-1377
Closure4,3377,191,-3186
Closure5,601,154,-447
Closure6,1,1,0
Closure7,1,2,1
Closure8,115,123,8
Closure9,1,1,0
Closure10,191,221,30
Closure11,2826,1147,-1679
Closure12,3610,1081,-2529
Closure13,6410,5651,-759
Closure14,4,4,0
Closure15,171,185,14
Closure16,174,200,26
Closure17,160,86,-74
Closure18,2726,2060,-666
Closure19,1,1,0
Closure20,12,2,-10
Closure21,10,6,-4
Closure22,7,4,-3
Closure23,7,8,1
Closure24,1,1,0
Closure25,107,107,0
Closure26,8,5,-3
Closure27,8,3,-5
Closure29,451,432,-19
Closure30,478,242,-236
Closure31,2660,1664,-996
Closure32,40,35,-5
Closure33,2900,510,-2390
Closure34,770,230,-540
Closure35,3,6,3
Closure36,1151,1062,-89
Closure37,1877,1226,-651
Closure38,1446,345,-1101
Closure39,26,21,-5
Closure40,128,120,-8
Closure41,934,695,-239
Closure42,1,1,0
Closure43,3394,506,-2888
Closure44,1257,778,-479
Closure45,829,280,-549
Closure46,1,1,0
Closure47,334,338,4
Closure48,1787,389,-1398
Closure49,1516,1260,-256
Closure50,85,88,3
Closure51,1439,326,-1113
Closure52,1121,116,-1005
Closure53,137,47,-90
Closure54,60,55,-5
Closure55,1050,329,-721
Closure56,77,65,-12
Closure57,43,25,-18
Closure58,7,7,0
Closure59,3584,6779,3195
Closure60,20,19,-1
Closure61,1046,138,-908
Closure62,2,4,2
Closure63,2,4,2
Closure64,145,1484,1339
Closure65,619,78,-541
Closure66,2674,2743,69
Closure67,1342,281,-1061
Closure68,1,3,2
Closure69,1332,1006,-326
Closure70,4757,2011,-2746
Closure71,2152,284,-1868
Closure72,589,241,-348
Closure73,1177,305,-872
Closure74,111,117,6
Closure75,8,8,0
Closure76,131,136,5
Closure77,1389,306,-1083
Closure78,2,1,-1
Closure79,64,51,-13
Closure80,10,13,3
Closure81,683,173,-510
Closure82,2839,1092,-1747
Closure83,99,10,-89
Closure84,290,195,-95
Closure85,131,164,33
Closure86,2,2,0
Closure87,993,150,-843
Closure88,62,69,7
Closure89,391,164,-227
Closure90,436,46,-390
Closure91,419,284,-135
Closure92,154,85,-69
Closure93,154,85,-69
Closure94,1,4,3
Closure95,3230,1764,-1466
Closure96,926,247,-679
Closure97,14,1,-13
Closure98,375,425,50
Closure99,21,19,-2
Closure100,7,7,0
Closure101,2861,2775,-86
Closure102,3097,4752,1655
Closure103,811,289,-522
Closure104,6,13,7
Closure105,26,7,-19
Closure106,90,105,15
Closure107,600,132,-468
Closure108,841,237,-604
Closure109,818,33,-785
Closure110,2,2,0
Closure111,1,1,0
Closure112,313,109,-204
Closure113,15,17,2
Closure114,2834,215,-2619
Closure115,8,8,0
Closure116,41,30,-11
Closure117,1235,225,-1010
Closure118,2,2,0
Closure120,2572,239,-2333
Closure121,1311,388,-923
Closure122,8,9,1
Closure123,1835,159,-1676
Closure124,13,10,-3
Closure125,876,396,-480
Closure126,55,5,-50
Closure127,214,210,-4
Closure128,308,102,-206
Closure129,1828,3293,1465
Closure130,526,545,19
Closure131,979,300,-679
Closure132,74,80,6
Closure133,478,516,38
Lang1,2,3,1
Lang2,6,3,-3
Lang3,3,3,0
Lang4,2,2,0
Lang5,1,1,0
Lang6,94,98,4
Lang7,150,122,-28
Lang8,8,6,-2
Lang9,125,142,17
Lang10,95,56,-39
Lang11,3,3,0
Lang12,3,5,2
Lang13,1,5,4
Lang14,1,4,3
Lang15,247,191,-56
Lang16,26,27,1
Lang17,74,102,28
Lang18,54,41,-13
Lang19,7,8,1
Lang20,3,8,5
Lang21,1,2,1
Lang22,26,31,5
Lang24,14,64,50
Lang26,50,7,-43
Lang27,133,127,-6
Lang28,1,3,2
Lang30,5,8,3
Lang31,3,4,1
Lang32,5,26,21
Lang33,3,7,4
Lang34,62,64,2
Lang35,1,2,1
Lang36,56,42,-14
Lang37,1,6,5
Lang38,1,3,2
Lang39,10,27,17
Lang40,1,2,1
Lang41,7,6,-1
Lang42,14,13,-1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,6,5,-1
Lang48,2,2,0
Lang49,2,1,-1
Lang50,11,8,-3
Lang53,20,16,-4
Lang54,6,3,-3
Lang55,6,7,1
Lang57,3,6,3
Lang58,23,20,-3
Lang59,3,6,3
Lang60,4,2,-2
Lang61,19,21,2
Lang62,1,4,3
Lang63,1,1,0
Lang64,4,4,0
Lang65,11,7,-4
Math1,10,8,-2
Math2,36,44,8
Math3,10,3,-7
Math4,14,17,3
Math5,2,1,-1
Math6,155,170,15
Math7,44,42,-2
Math8,1,4,3
Math9,1,1,0
Math10,2,12,10
Math11,46,31,-15
Math13,112,159,47
Math14,133,99,-34
Math15,248,211,-37
Math16,1,1,0
Math17,139,89,-50
Math18,20,14,-6
Math19,51,56,5
Math20,875,598,-277
Math21,46,41,-5
Math22,1,1,0
Math23,209,148,-61
Math24,173,150,-23
Math25,1,1,0
Math26,405,38,-367
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,31,41,10
Math31,95,190,95
Math32,7,4,-3
Math33,176,44,-132
Math34,2,3,1
Math35,1,3,2
Math36,2,2,0
Math37,8,6,-2
Math38,9,5,-4
Math39,78,117,39
Math40,73,33,-40
Math41,21,43,22
Math42,75,72,-3
Math43,126,72,-54
Math44,18,14,-4
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,334,355,21
Math49,6,7,1
Math50,1,1,0
Math51,336,30,-306
Math52,24,22,-2
Math53,1,1,0
Math54,175,136,-39
Math55,1,1,0
Math56,7,20,13
Math57,6,4,-2
Math58,526,545,19
Math59,2,2,0
Math60,54,36,-18
Math61,1,1,0
Math62,2,128,126
Math63,2,1,-1
Math64,187,144,-43
Math65,39,41,2
Math66,40,54,14
Math67,172,8,-164
Math68,128,127,-1
Math69,22,44,22
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,1,1,0
Math74,576,777,201
Math75,2,1,-1
Math76,51,99,48
Math77,3,19,16
Math78,111,117,6
Math79,31,29,-2
Math80,1,14,13
Math81,11,10,-1
Math82,145,151,6
Math83,28,40,12
Math84,33,45,12
Math85,91,77,-14
Math86,156,75,-81
Math87,105,115,10
Math88,1,1,0
Math89,1,1,0
Math90,4,3,-1
Math91,2,1,-1
Math92,2,2,0
Math93,2,2,0
Math94,15,6,-9
Math95,4,15,11
Math96,9,5,-4
Math97,2,1,-1
Math98,7,4,-3
Math99,2,4,2
Math100,15,9,-6
Math101,38,12,-26
Math102,3,3,0
Math103,42,32,-10
Math105,7,25,18
Math106,8,10,2
Mockito1,1,2,1
Mockito2,4,8,4
Mockito3,1,1,0
Mockito4,2,7,5
Mockito5,-1,4060,-1
Mockito6,1,1,0
Mockito7,252,50,-202
Mockito8,20,31,11
Mockito9,-1,1827,-1
Mockito10,60,12,-48
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,350,85,-265
Mockito14,115,96,-19
Mockito15,186,178,-8
Mockito16,4,4,0
Mockito17,3,4,1
Mockito18,1,5,4
Mockito19,5,12,7
Mockito20,150,118,-32
Mockito21,1,1,0
Mockito22,114,11,-103
Mockito23,70,66,-4
Mockito24,1,1,0
Mockito25,62,63,1
Mockito27,23,37,14
Mockito28,227,198,-29
Mockito29,28,31,3
Mockito30,2,1,-1
Mockito31,1,2,1
Mockito32,1,2,1
Mockito33,12,197,185
Mockito34,466,62,-404
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,318,4,-314
Mockito38,4,5,1
Time1,49,2,-47
Time2,3,3,0
Time3,1,1,0
Time4,191,30,-161
Time5,35,26,-9
Time6,1,4,3
Time7,197,17,-180
Time8,44,24,-20
Time9,4,3,-1
Time10,107,199,92
Time11,433,448,15
Time12,8,7,-1
Time13,26,19,-7
Time14,4,5,1
Time15,5,2,-3
Time16,1,7,6
Time17,5,5,0
Time18,2,3,1
Time19,262,620,358
Time20,1342,556,-786
Time21,28,33,5
Time22,4,16,12
Time23,132,41,-91
Time24,466,466,0
Time25,395,383,-12
Time26,484,344,-140
Time27,72,346,274
