Project,MinRank1,MinRank2,Difference
Chart1,35,42,7
Chart2,91,92,1
Chart3,1,3,2
Chart4,314,179,-135
Chart5,5,8,3
Chart6,105,104,-1
Chart7,45,81,36
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,18,13,-5
Chart13,40,47,7
Chart14,16,6,-10
Chart15,29,29,0
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,5,5,0
Chart21,2,3,1
Chart22,11,12,1
Chart24,1,3,2
Chart25,2513,2640,127
Chart26,150,134,-16
Closure1,614,619,5
Closure2,62,66,4
Closure3,286,279,-7
Closure4,214,191,-23
Closure5,142,154,12
Closure6,1,1,0
Closure7,1,2,1
Closure8,117,123,6
Closure9,1,1,0
Closure10,197,221,24
Closure11,1336,1147,-189
Closure12,1145,1081,-64
Closure13,5676,5651,-25
Closure14,4,4,0
Closure15,179,185,6
Closure16,189,200,11
Closure17,85,86,1
Closure18,1960,2060,100
Closure19,1,1,0
Closure20,12,2,-10
Closure21,8,6,-2
Closure22,6,4,-2
Closure23,7,8,1
Closure24,1,1,0
Closure25,107,107,0
Closure26,8,5,-3
Closure27,8,3,-5
Closure29,385,432,47
Closure30,237,242,5
Closure31,1605,1664,59
Closure32,39,35,-4
Closure33,512,510,-2
Closure34,249,230,-19
Closure35,5,6,1
Closure36,1006,1062,56
Closure37,1232,1226,-6
Closure38,341,345,4
Closure39,21,21,0
Closure40,113,120,7
Closure41,909,695,-214
Closure42,1,1,0
Closure43,529,506,-23
Closure44,836,778,-58
Closure45,258,280,22
Closure46,1,1,0
Closure47,325,338,13
Closure48,386,389,3
Closure49,1225,1260,35
Closure50,86,88,2
Closure51,321,326,5
Closure52,119,116,-3
Closure53,47,47,0
Closure54,49,55,6
Closure55,326,329,3
Closure56,73,65,-8
Closure57,22,25,3
Closure58,7,7,0
Closure59,6374,6779,405
Closure60,19,19,0
Closure61,136,138,2
Closure62,2,4,2
Closure63,2,4,2
Closure64,1446,1484,38
Closure65,81,78,-3
Closure66,2869,2743,-126
Closure67,342,281,-61
Closure68,1,3,2
Closure69,957,1006,49
Closure70,3451,2011,-1440
Closure71,272,284,12
Closure72,207,241,34
Closure73,325,305,-20
Closure74,107,117,10
Closure75,8,8,0
Closure76,127,136,9
Closure77,329,306,-23
Closure78,2,1,-1
Closure79,64,51,-13
Closure80,11,13,2
Closure81,174,173,-1
Closure82,1378,1092,-286
Closure83,10,10,0
Closure84,189,195,6
Closure85,158,164,6
Closure86,2,2,0
Closure87,152,150,-2
Closure88,29,69,40
Closure89,129,164,35
Closure90,62,46,-16
Closure91,280,284,4
Closure92,84,85,1
Closure93,84,85,1
Closure94,1,4,3
Closure95,2896,1764,-1132
Closure96,248,247,-1
Closure97,14,1,-13
Closure98,360,425,65
Closure99,19,19,0
Closure100,11,7,-4
Closure101,3498,2775,-723
Closure102,4667,4752,85
Closure103,276,289,13
Closure104,6,13,7
Closure105,26,7,-19
Closure106,90,105,15
Closure107,150,132,-18
Closure108,258,237,-21
Closure109,33,33,0
Closure110,2,2,0
Closure111,1,1,0
Closure112,110,109,-1
Closure113,15,17,2
Closure114,236,215,-21
Closure115,8,8,0
Closure116,30,30,0
Closure117,215,225,10
Closure118,2,2,0
Closure120,242,239,-3
Closure121,345,388,43
Closure122,8,9,1
Closure123,190,159,-31
Closure124,9,10,1
Closure125,380,396,16
Closure126,55,5,-50
Closure127,209,210,1
Closure128,104,102,-2
Closure129,3229,3293,64
Closure130,466,545,79
Closure131,299,300,1
Closure132,76,80,4
Closure133,488,516,28
Lang1,3,3,0
Lang2,4,3,-1
Lang3,2,3,1
Lang4,4,2,-2
Lang5,1,1,0
Lang6,89,98,9
Lang7,148,122,-26
Lang8,8,6,-2
Lang9,123,142,19
Lang10,69,56,-13
Lang11,3,3,0
Lang12,3,5,2
Lang13,1,5,4
Lang14,1,4,3
Lang15,193,191,-2
Lang16,26,27,1
Lang17,86,102,16
Lang18,49,41,-8
Lang19,6,8,2
Lang20,3,8,5
Lang21,1,2,1
Lang22,25,31,6
Lang24,14,64,50
Lang26,9,7,-2
Lang27,130,127,-3
Lang28,1,3,2
Lang30,5,8,3
Lang31,3,4,1
Lang32,5,26,21
Lang33,3,7,4
Lang34,59,64,5
Lang35,1,2,1
Lang36,56,42,-14
Lang37,1,6,5
Lang38,1,3,2
Lang39,10,27,17
Lang40,2,2,0
Lang41,7,6,-1
Lang42,14,13,-1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,6,5,-1
Lang48,2,2,0
Lang49,2,1,-1
Lang50,11,8,-3
Lang53,20,16,-4
Lang54,6,3,-3
Lang55,6,7,1
Lang57,3,6,3
Lang58,24,20,-4
Lang59,3,6,3
Lang60,4,2,-2
Lang61,19,21,2
Lang62,1,4,3
Lang63,1,1,0
Lang64,2,4,2
Lang65,11,7,-4
Math1,8,8,0
Math2,39,44,5
Math3,10,3,-7
Math4,14,17,3
Math5,2,1,-1
Math6,144,170,26
Math7,45,42,-3
Math8,1,4,3
Math9,1,1,0
Math10,2,12,10
Math11,46,31,-15
Math13,118,159,41
Math14,132,99,-33
Math15,210,211,1
Math16,2,1,-1
Math17,93,89,-4
Math18,20,14,-6
Math19,56,56,0
Math20,798,598,-200
Math21,40,41,1
Math22,1,1,0
Math23,149,148,-1
Math24,150,150,0
Math25,1,1,0
Math26,48,38,-10
Math27,1,1,0
Math28,12,12,0
Math29,1,6,5
Math30,31,41,10
Math31,187,190,3
Math32,7,4,-3
Math33,51,44,-7
Math34,2,3,1
Math35,1,3,2
Math36,2,2,0
Math37,7,6,-1
Math38,9,5,-4
Math39,88,117,29
Math40,34,33,-1
Math41,21,43,22
Math42,169,72,-97
Math43,99,72,-27
Math44,12,14,2
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,351,355,4
Math49,6,7,1
Math50,1,1,0
Math51,36,30,-6
Math52,24,22,-2
Math53,1,1,0
Math54,142,136,-6
Math55,1,1,0
Math56,7,20,13
Math57,6,4,-2
Math58,581,545,-36
Math59,2,2,0
Math60,37,36,-1
Math61,1,1,0
Math62,2,128,126
Math63,2,1,-1
Math64,182,144,-38
Math65,39,41,2
Math66,33,54,21
Math67,172,8,-164
Math68,127,127,0
Math69,22,44,22
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,1,1,0
Math74,704,777,73
Math75,2,1,-1
Math76,48,99,51
Math77,3,19,16
Math78,110,117,7
Math79,30,29,-1
Math80,1,14,13
Math81,11,10,-1
Math82,147,151,4
Math83,26,40,14
Math84,34,45,11
Math85,85,77,-8
Math86,157,75,-82
Math87,122,115,-7
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,2,2,0
Math93,2,2,0
Math94,15,6,-9
Math95,4,15,11
Math96,5,5,0
Math97,2,1,-1
Math98,7,4,-3
Math99,2,4,2
Math100,15,9,-6
Math101,38,12,-26
Math102,3,3,0
Math103,35,32,-3
Math105,7,25,18
Math106,8,10,2
Mockito1,1,2,1
Mockito2,4,8,4
Mockito3,1,1,0
Mockito4,2,7,5
Mockito5,4060,4060,0
Mockito6,1,1,0
Mockito7,43,50,7
Mockito8,19,31,12
Mockito9,1827,1827,0
Mockito10,25,12,-13
Mockito11,1,1,0
Mockito12,2,2,0
Mockito13,102,85,-17
Mockito14,92,96,4
Mockito15,167,178,11
Mockito16,4,4,0
Mockito17,1,4,3
Mockito18,1,5,4
Mockito19,5,12,7
Mockito20,123,118,-5
Mockito21,1,1,0
Mockito22,10,11,1
Mockito23,64,66,2
Mockito24,1,1,0
Mockito25,62,63,1
Mockito26,2995,-1,-1
Mockito27,25,37,12
Mockito28,219,198,-21
Mockito29,28,31,3
Mockito30,5,1,-4
Mockito31,1,2,1
Mockito32,1,2,1
Mockito33,146,197,51
Mockito34,86,62,-24
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,10,4,-6
Mockito38,5,5,0
Time1,2,2,0
Time2,3,3,0
Time3,1,1,0
Time4,16,30,14
Time5,32,26,-6
Time6,1,4,3
Time7,18,17,-1
Time8,22,24,2
Time9,3,3,0
Time10,145,199,54
Time11,433,448,15
Time12,8,7,-1
Time13,22,19,-3
Time14,4,5,1
Time15,2,2,0
Time16,1,7,6
Time17,5,5,0
Time18,2,3,1
Time19,598,620,22
Time20,570,556,-14
Time21,31,33,2
Time22,5,16,11
Time23,92,41,-51
Time24,386,466,80
Time25,363,383,20
Time26,338,344,6
Time27,290,346,56
